,actual_deaths,Baseline,IHME-CurveFit,IowaStateLW-STEM,UCLA-SuEIR,USACE-ERDC_SEIR,YYG-ParamSearch,error-Baseline,error-IHME-CurveFit,error-IowaStateLW-STEM,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-YYG-ParamSearch,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-YYG-ParamSearch
Alabama,1286,1329.4,1161.6,728.0,1164.7,890.5,2033.0,43.4,-124.4,-558.0,-121.3,-395.5,747.0,False,False,False,False,False
Alaska,18,10.0,3.0,,14.1,11.7,13.8,-8.0,-15.0,,-3.9,-6.3,-4.2,False,,True,True,True
Arizona,2730,1955.4,4809.4,1297.5,3662.4,1730.9,3575.2,-774.6,2079.4,-1432.5,932.4,-999.1,845.2,False,False,False,False,False
Arkansas,357,160.0,115.2,248.0,147.8,216.1,193.4,-197.0,-241.8,-109.0,-209.2,-140.9,-163.6,False,True,False,True,True
California,7702,7881.1,6591.6,4869.0,5927.1,7261.0,7789.1,179.1,-1110.4,-2833.0,-1774.9,-441.0,87.1,False,False,False,False,True
Colorado,1752,3376.1,2245.3,1439.0,1672.4,1870.5,3282.5,1624.1,493.3,-313.0,-79.6,118.5,1530.5,True,True,True,True,True
Connecticut,4396,7314.0,4845.6,3970.5,4848.0,3900.1,5194.9,2918.0,449.6,-425.5,452.0,-495.9,798.9,True,True,True,True,True
Delaware,523,901.1,538.0,432.0,597.6,400.1,1039.7,378.1,15.0,-91.0,74.6,-122.9,516.7,True,True,True,True,False
District of Columbia,578,914.4,576.9,556.0,586.2,531.0,837.1,336.4,-1.1,-22.0,8.2,-47.0,259.1,True,True,True,True,True
Florida,4895,4205.0,4479.4,2672.0,2952.9,2595.4,4550.5,-690.0,-415.6,-2223.0,-1942.1,-2299.6,-344.5,True,False,False,False,True
Georgia,3169,3416.9,2361.6,1893.0,2238.6,2012.6,3587.2,247.9,-807.4,-1276.0,-930.4,-1156.4,418.2,False,False,False,False,False
Hawaii,24,17.0,19.0,,23.8,19.4,26.6,-7.0,-5.0,,-0.2,-4.6,2.6,True,,True,True,True
Idaho,119,126.1,81.0,77.0,118.7,87.1,96.9,7.1,-38.0,-42.0,-0.3,-31.9,-22.1,False,False,True,False,False
Illinois,7483,11005.9,8689.1,7326.0,8476.7,6122.1,13782.1,3522.9,1206.1,-157.0,993.7,-1360.9,6299.1,True,True,True,True,False
Indiana,2820,3903.3,2383.0,2420.0,2532.8,2890.3,5526.2,1083.3,-437.0,-400.0,-287.2,70.3,2706.2,True,True,True,True,False
Iowa,789,1112.7,1011.1,577.5,935.3,420.1,2186.6,323.7,222.1,-211.5,146.3,-368.9,1397.6,True,True,True,False,False
Kansas,308,381.0,322.1,281.0,294.6,451.4,342.6,73.0,14.1,-27.0,-13.4,143.4,34.6,True,True,True,False,True
Kentucky,667,599.7,503.1,464.0,445.5,795.9,574.5,-67.3,-163.9,-203.0,-221.5,128.9,-92.5,False,False,False,False,False
Louisiana,3509,4306.7,3136.4,3176.5,3107.4,2723.1,3635.3,797.7,-372.6,-332.5,-401.6,-785.9,126.3,True,True,True,True,True
Maine,117,123.1,79.5,844.0,123.5,141.9,109.8,6.1,-37.5,727.0,6.5,24.9,-7.2,False,False,False,False,False
Maryland,3368,5074.3,4173.2,3064.0,3663.4,2965.4,4838.3,1706.3,805.2,-304.0,295.4,-402.6,1470.3,True,True,True,True,True
Massachusetts,8419,13042.1,8908.3,8299.0,9953.7,6515.5,9976.5,4623.1,489.3,-120.0,1534.7,-1903.5,1557.5,True,True,True,True,True
Michigan,6364,7867.0,6033.4,5861.0,6188.9,4942.5,6526.7,1736.0,-97.6,-270.0,57.9,-1188.5,395.7,True,True,True,True,True
Minnesota,1578,2086.1,1771.2,2405.5,1849.7,2539.6,2691.3,508.1,193.2,827.5,271.7,961.6,1113.3,True,False,True,False,False
Mississippi,1346,1327.0,969.2,888.0,997.9,877.0,2273.0,-19.0,-376.8,-458.0,-348.1,-469.0,927.0,False,False,False,False,False
Missouri,1136,1459.1,1448.1,997.0,1002.0,866.7,2072.7,421.1,410.1,-41.0,-36.0,-171.3,1034.7,True,True,True,True,False
Montana,37,16.0,12.0,16.0,21.5,17.8,22.0,-21.0,-25.0,-21.0,-15.5,-19.2,-15.0,False,False,True,True,True
Nebraska,301,415.3,240.0,351.0,444.3,141.3,508.7,114.3,-61.0,50.0,143.3,-159.7,207.7,True,True,False,False,False
Nevada,646,704.3,600.5,514.0,548.2,513.7,726.8,58.3,-45.5,-132.0,-97.8,-132.3,80.8,True,False,False,False,False
New Hampshire,396,517.4,313.9,336.0,478.7,342.5,846.0,121.4,-82.1,-60.0,82.7,-53.5,450.0,True,True,True,True,False
New Jersey,15699,20167.9,14034.6,13131.0,13559.2,10967.6,15768.7,6223.9,90.6,-813.0,-384.8,-2976.4,1824.7,True,True,True,True,True
New Mexico,569,840.7,516.6,329.0,908.7,536.2,1084.1,271.7,-52.4,-240.0,339.7,-32.8,515.1,True,True,False,True,False
New York,32497,42323.7,32120.9,32765.5,32108.4,29115.0,33107.9,10565.7,362.9,1007.5,350.4,-2643.0,1349.9,True,True,True,True,True
North Carolina,1648,1766.6,2258.6,747.0,1424.2,1852.0,1810.9,118.6,610.6,-901.0,-223.8,204.0,162.9,False,False,False,False,False
North Dakota,90,113.9,130.4,87.0,81.4,113.3,177.2,23.9,40.4,-3.0,-8.6,23.3,87.2,False,True,True,True,False
Ohio,3132,4140.4,2933.1,2143.0,2875.8,3335.0,5360.9,1008.4,-198.9,-989.0,-256.2,203.0,2228.9,True,True,True,True,False
