,total_deaths_2020-06-21,predicted_deaths,actual_deaths,predicted_addl_deaths,actual_addl_deaths,error,perc_error
OliverWyman-Navigator,122833,138098.5,140825,18129.5,17992,137.5,0.8%
UMass-MechBayes,122833,138728.0,140825,18759.0,17992,767.0,4.3%
LANL-GrowthRate,122833,138738.5,140825,18769.5,17992,777.5,4.3%
epiforecasts-ensemble1,122833,136891.0,140825,16922.0,17992,-1070.0,-5.9%
COVIDhub-baseline,122833,136838.5,140825,16869.5,17992,-1122.5,-6.2%
UT-Mobility,122833,136696.5,140825,16727.5,17992,-1264.5,-7.0%
COVIDhub-ensemble,122833,139276.3,140825,19307.3,17992,1315.3,7.3%
UA-EpiCovDA,122833,136308.0,140825,16339.0,17992,-1653.0,-9.2%
Baseline,122833,136300.1,140825,16331.1,17992,-1660.9,-9.2%
CovidAnalytics-DELPHI,122833,136168.0,140825,16199.0,17992,-1793.0,-10.0%
IHME-CurveFit,122833,135942.0,140825,15973.0,17992,-2019.0,-11.2%
Covid19Sim-Simulator,122833,135638.6,140825,15669.6,17992,-2322.4,-12.9%
PSI-DRAFT,122833,135442.0,140825,15473.0,17992,-2519.0,-14.0%
YYG-ParamSearch,122833,135026.5,140825,15057.5,17992,-2934.5,-16.3%
USACE-ERDC_SEIR,122833,134214.4,140825,14245.4,17992,-3746.6,-20.8%
IowaStateLW-STEM,122833,134154.0,140825,14185.0,17992,-3807.0,-21.2%
GT-DeepCOVID,122833,133403.2,140825,13434.2,17992,-4557.8,-25.3%
MOBS-GLEAM_COVID,122833,133082.9,140825,13113.9,17992,-4878.1,-27.1%
STH-3PU,122833,130475.0,140825,10506.0,17992,-7486.0,-41.6%
UCLA-SuEIR,122833,130250.1,140825,10281.1,17992,-7710.9,-42.9%
JHU_IDD-CovidSP,122833,150541.0,140825,30572.0,17992,12580.0,69.9%
NotreDame-mobility,122833,124487.8,140825,4518.8,17992,-13473.2,-74.9%
CU-select,122833,159428.0,140825,39459.0,17992,21467.0,119.3%
Auquan-SEIR,122833,171192.0,140825,51223.0,17992,33231.0,184.7%
CovidActNow-SEIR_CAN,122833,,140825,,17992,,
GT_CHHS-COVID19,122833,,140825,,17992,,
NotreDame-FRED,122833,,140825,,17992,,
