,actual_deaths,Baseline,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IHME-CurveFit,IowaStateLW-STEM,LANL-GrowthRate,NotreDame-FRED,PSI-DRAFT,STH-3PU,SWC-TerminusCM,UCLA-SuEIR,USACE-ERDC_SEIR,YYG-ParamSearch,error-Baseline,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IHME-CurveFit,error-IowaStateLW-STEM,error-LANL-GrowthRate,error-NotreDame-FRED,error-PSI-DRAFT,error-STH-3PU,error-SWC-TerminusCM,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-YYG-ParamSearch,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-LANL-GrowthRate,beat_baseline-NotreDame-FRED,beat_baseline-PSI-DRAFT,beat_baseline-STH-3PU,beat_baseline-SWC-TerminusCM,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-YYG-ParamSearch
Alabama,1286,1166.4,1236.4,1263.0,1492.3,945.0,1375.6,,1075.0,,1091.0,1183.9,1230.6,1253.4,-119.6,-49.6,-23.0,206.3,-341.0,89.6,,-211.0,,-195.0,-102.1,-55.4,-32.6,True,True,False,False,True,,False,,False,True,True,True
Alaska,18,21.7,17.2,16.0,14.9,,17.2,,12.0,,32.0,13.3,22.2,13.1,3.7,-0.8,-2.0,-3.1,,-0.8,,-6.0,,14.0,-4.7,4.2,-4.9,True,True,True,,True,,False,,False,False,False,False
Arizona,2730,1871.0,3085.1,5832.0,2890.3,2135.0,2220.2,,1966.0,,2128.0,1920.8,2736.3,2073.9,-859.0,355.1,3102.0,160.3,-595.0,-509.8,,-764.0,,-602.0,-809.2,6.3,-656.1,True,False,True,True,True,,True,,True,True,True,True
Arkansas,357,300.4,329.0,373.0,401.2,370.0,371.2,,267.0,,279.0,328.8,352.9,324.7,-56.6,-28.0,16.0,44.2,13.0,14.2,,-90.0,,-78.0,-28.2,-4.1,-32.3,True,True,True,True,True,,False,,False,True,True,True
California,7702,7367.3,7126.0,7935.0,7602.6,6827.0,7150.9,,6902.0,,7063.0,6723.2,7859.5,7687.0,-334.7,-576.0,233.0,-99.4,-875.0,-551.1,,-800.0,,-639.0,-978.8,157.5,-15.0,False,True,True,False,False,,False,,False,False,True,True
Colorado,1752,1942.9,1866.7,1765.0,2360.5,1743.0,1766.6,,1852.5,,2030.0,1811.3,1805.5,2007.1,190.9,114.7,13.0,608.5,-9.0,14.6,,100.5,,278.0,59.3,53.5,255.1,True,True,False,True,True,,True,,False,True,True,False
Connecticut,4396,4832.4,4606.1,4395.0,4352.1,4478.0,4644.2,,4506.0,,4543.0,4556.1,4342.2,4667.7,436.4,210.1,-1.0,-43.9,82.0,248.2,,110.0,,147.0,160.1,-53.8,271.7,True,True,True,True,True,,True,,True,True,True,True
Delaware,523,538.6,500.4,465.0,493.2,479.0,482.9,,486.0,,527.0,492.1,473.6,531.2,15.6,-22.6,-58.0,-29.8,-44.0,-40.1,,-37.0,,4.0,-30.9,-49.4,8.2,False,False,False,False,False,,False,,True,False,False,True
District of Columbia,578,641.3,616.5,562.0,587.8,637.0,576.3,,540.0,,565.0,598.6,574.0,607.4,63.3,38.5,-16.0,9.8,59.0,-1.7,,-38.0,,-13.0,20.6,-4.0,29.4,True,True,True,True,True,,True,,True,True,True,True
Florida,4895,4053.0,4486.0,4519.0,4847.8,4370.0,4902.4,,3827.5,,4054.0,4028.2,4440.6,4416.6,-842.0,-409.0,-376.0,-47.2,-525.0,7.4,,-1067.5,,-841.0,-866.8,-454.4,-478.4,True,True,True,True,True,,False,,True,False,True,True
Georgia,3169,3767.3,2921.6,2924.0,3829.9,2882.0,3420.0,,3228.5,,3359.0,3453.1,2861.7,3665.9,598.3,-247.4,-245.0,660.9,-287.0,251.0,,59.5,,190.0,284.1,-307.3,496.9,True,True,False,True,True,,True,,True,True,True,True
Hawaii,24,17.0,18.8,17.0,18.9,,25.7,,17.0,,31.0,18.0,22.9,18.6,-7.0,-5.2,-7.0,-5.1,,1.7,,-7.0,,7.0,-6.0,-1.1,-5.4,True,False,True,,True,,False,,False,True,True,True
Idaho,119,106.4,108.1,158.0,94.9,87.0,97.6,,87.0,,94.0,94.3,103.9,96.9,-12.6,-10.9,39.0,-24.1,-32.0,-21.4,,-32.0,,-25.0,-24.7,-15.1,-22.1,True,False,False,False,False,,False,,False,False,False,False
Illinois,7483,8270.3,7175.7,6964.0,7222.7,7908.0,7224.5,10506.5,13003.0,,9167.0,7311.5,6934.1,8067.1,787.3,-307.3,-519.0,-260.3,425.0,-258.5,3023.5,5520.0,,1684.0,-171.5,-548.9,584.1,True,True,True,True,True,False,False,,False,True,True,True
