,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,LANL-GrowthRate,NotreDame-FRED,PSI-DRAFT,SWC-TerminusCM,UCLA-SuEIR,USACE-ERDC_SEIR,YYG-ParamSearch,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-LANL-GrowthRate,error-NotreDame-FRED,error-PSI-DRAFT,error-SWC-TerminusCM,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-YYG-ParamSearch,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-LANL-GrowthRate,beat_baseline-NotreDame-FRED,beat_baseline-PSI-DRAFT,beat_baseline-SWC-TerminusCM,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-YYG-ParamSearch
Nebraska,301,286.6,312.4,414.9,264.0,237.1,,531.0,313.0,297.6,209.1,346.1,-14.4,11.4,113.9,-37.0,-63.9,,230.0,12.0,-3.4,-91.9,45.1,True,False,False,False,,False,True,True,False,False
Nevada,646,561.0,496.2,600.0,559.0,588.1,,475.0,596.0,558.5,547.4,615.6,-85.0,-149.8,-46.0,-87.0,-57.9,,-171.0,-50.0,-87.5,-98.6,-30.4,False,True,False,True,,False,True,False,False,True
New Hampshire,396,526.1,288.7,441.0,309.0,384.4,,562.5,709.0,454.9,357.8,516.1,130.1,-107.3,45.0,-87.0,-11.6,,166.5,313.0,58.9,-38.2,120.1,True,True,True,True,,False,False,True,True,True
New Jersey,15699,14975.7,12603.5,13179.2,13584.0,13279.3,,14747.0,13443.0,13789.9,11876.7,13776.8,1116.7,-1255.5,-679.8,-275.0,-579.7,,888.0,-416.0,-69.1,-1982.3,-82.2,False,True,True,True,,True,True,True,False,True
New Mexico,569,630.3,441.7,622.8,487.0,628.9,,480.0,676.0,641.6,440.1,658.3,61.3,-127.3,53.8,-82.0,59.9,,-89.0,107.0,72.6,-128.9,89.3,False,True,False,True,,False,False,False,False,False
New York,32478,33829.7,31593.8,31714.2,32398.0,31937.0,,29131.0,30914.0,31335.4,29575.6,32071.8,2045.7,-190.2,-69.8,614.0,153.0,,-2653.0,-870.0,-448.6,-2208.4,287.8,True,True,True,True,,False,True,True,False,True
North Carolina,1648,1588.4,1543.1,2307.1,1431.0,1666.9,,1599.0,2571.0,1717.5,2330.7,1873.7,-59.6,-104.9,659.1,-217.0,18.9,,-49.0,923.0,69.5,682.7,225.7,False,False,False,True,,True,False,False,False,False
North Dakota,90,136.4,88.0,126.1,103.0,103.0,,145.0,2254.0,95.6,79.1,133.3,46.4,-2.0,36.1,13.0,13.0,,55.0,2164.0,5.6,-10.9,43.3,True,True,True,True,,False,False,True,True,True
Ohio,3132,3691.0,2687.0,3440.0,3025.0,3089.9,4294.5,4299.0,4420.0,3169.6,2989.5,4003.3,559.0,-445.0,308.0,-107.0,-42.1,1162.5,1167.0,1288.0,37.6,-142.5,871.3,True,True,True,True,False,False,False,True,True,False
Oklahoma,451,430.0,389.9,435.0,366.0,419.1,,365.0,483.0,398.5,434.2,449.4,-21.0,-61.1,-16.0,-85.0,-31.9,,-86.0,32.0,-52.5,-16.8,-1.6,False,True,False,False,,False,False,False,True,True
Oregon,257,221.6,177.8,203.3,187.0,208.8,,160.0,172.0,209.5,210.5,198.3,-35.4,-79.2,-53.7,-70.0,-48.2,,-97.0,-85.0,-47.5,-46.5,-58.7,False,False,False,False,,False,False,False,False,False
Pennsylvania,7015,8215.6,6309.3,7199.4,6503.0,7170.2,,8196.5,8529.0,7692.2,6287.0,7619.9,1200.6,-705.7,184.4,-512.0,155.2,,1181.5,1514.0,677.2,-728.0,604.9,True,True,True,True,,True,False,True,True,True
Rhode Island,990,1088.3,826.6,971.7,932.0,885.2,,1088.5,1190.0,950.4,636.7,1207.6,98.3,-163.4,-18.3,-58.0,-104.8,,98.5,200.0,-39.6,-353.3,217.6,False,True,True,False,,False,False,True,False,False
South Carolina,1135,850.6,667.5,788.8,635.0,978.9,,704.0,963.0,798.0,899.8,1042.3,-284.4,-467.5,-346.2,-500.0,-156.1,,-431.0,-172.0,-337.0,-235.2,-92.7,False,False,False,True,,False,True,False,True,True
South Dakota,116,82.6,99.3,92.1,80.0,95.5,,155.0,117.0,85.3,74.1,118.7,-33.4,-16.7,-23.9,-36.0,-20.5,,39.0,1.0,-30.7,-41.9,2.7,True,True,False,True,,False,True,True,False,True
Tennessee,838,734.3,633.4,702.4,679.0,558.0,,504.0,656.0,597.0,628.5,754.0,-103.7,-204.6,-135.6,-159.0,-280.0,,-334.0,-182.0,-241.0,-209.5,-84.0,False,False,False,False,,False,False,False,False,True
Texas,3939,2813.3,2539.0,2918.1,2310.0,2397.7,,2744.0,3830.0,2601.5,3174.1,3255.7,-1125.7,-1400.0,-1020.9,-1629.0,-1541.3,,-1195.0,-109.0,-1337.5,-764.9,-683.3,False,True,False,False,,False,True,False,True,True
Utah,243,167.9,246.8,245.0,223.0,224.6,,297.5,9541.0,221.5,215.0,229.2,-75.1,3.8,2.0,-20.0,-18.4,,54.5,9298.0,-21.5,-28.0,-13.8,True,True,True,True,,True,False,True,True,True
Vermont,56,55.0,57.5,60.5,56.0,94.4,,50.0,55.0,62.7,51.6,59.2,-1.0,1.5,4.5,0.0,38.4,,-6.0,-1.0,6.7,-4.4,3.2,False,False,True,False,,False,False,False,False,False
Virginia,2025,1964.7,1943.4,2102.6,1956.0,1667.6,,2005.0,2249.0,2074.5,2066.4,2246.7,-49.3,-70.6,88.6,-58.0,-346.4,,-9.0,235.0,60.5,52.4,232.7,False,False,False,False,,True,False,False,False,False
Washington,1444,1385.4,1311.5,1222.4,1349.0,1402.4,,1248.5,,1280.7,1355.9,1416.5,-58.6,-132.5,-221.6,-95.0,-41.6,,-195.5,,-163.3,-88.1,-27.5,False,False,False,True,,False,,False,False,True
West Virginia,100,136.7,101.9,118.1,85.0,95.9,,70.0,4549.0,117.5,112.2,118.0,36.7,1.9,18.1,-15.0,-4.1,,-30.0,4449.0,17.5,12.2,18.0,True,True,True,True,,True,False,True,True,True
Wisconsin,843,969.1,874.1,1361.6,903.0,833.2,1061.5,945.5,965.0,815.8,965.4,1100.9,126.1,31.1,518.6,60.0,-9.8,218.5,102.5,122.0,-27.2,122.4,257.9,True,False,True,True,False,True,True,True,True,False
Wyoming,24,22.9,22.2,22.8,17.0,20.8,,5.0,,18.2,22.7,26.7,-1.1,-1.8,-1.2,-7.0,-3.2,,-19.0,,-5.8,-1.3,2.7,False,False,False,False,,False,,False,False,False
US,140119,146435.9,122599.1,136391.5,129372.0,135114.0,,147071.5,,129545.8,124645.9,143278.2,8911.9,-14924.9,-1132.5,-8152.0,-2410.0,,9547.5,,-7978.2,-12878.1,5754.2,False,True,True,True,,False,,True,False,True
