,actual_deaths,Baseline,Auquan-SEIR,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Covid19Sim-Simulator,CovidAnalytics-DELPHI,GT-DeepCOVID,GT_CHHS-COVID19,IHME-CurveFit,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,MITCovAlliance-SIR,MOBS-GLEAM_COVID,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,STH-3PU,SWC-TerminusCM,UA-EpiCovDA,UCLA-SuEIR,UMass-MechBayes,USACE-ERDC_SEIR,USC-SI_kJalpha,UT-Mobility,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-Auquan-SEIR,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-STH-3PU,error-SWC-TerminusCM,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UMass-MechBayes,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UT-Mobility,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-Auquan-SEIR,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-STH-3PU,beat_baseline-SWC-TerminusCM,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Alabama,1286,1147.6,1118.0,1162.0,1205.5,1934.0,1169.5,1447.0,1077.4,,1187.8,1062.0,1308.7,1077.5,1389.1,1097.4,,1108.7,1299.2,1103.0,,1047.0,1095.0,1111.0,1149.0,1031.7,1104.6,1226.0,1198.9,,-138.4,-168.0,-124.0,-80.5,648.0,-116.5,161.0,-208.6,,-98.2,-224.0,22.7,-208.5,103.1,-188.6,,-177.3,13.2,-183.0,,-239.0,-191.0,-175.0,-137.0,-254.3,-181.4,-60.0,-87.1,,False,True,True,False,True,False,False,,True,False,True,False,True,False,,False,True,False,,False,False,False,True,False,False,True,True,
Alaska,18,19.7,17.0,20.0,16.4,14.0,17.0,18.0,18.0,,13.2,,26.7,17.4,12.3,16.6,,26.5,19.4,14.0,,14.0,18.0,14.5,19.0,19.8,17.6,14.0,17.9,,1.7,-1.0,2.0,-1.6,-4.0,-1.0,0.0,0.0,,-4.8,,8.7,-0.6,-5.7,-1.4,,8.5,1.4,-4.0,,-4.0,0.0,-3.5,1.0,1.8,-0.4,-4.0,-0.1,,True,False,True,False,True,True,True,,False,,False,True,False,True,,False,True,False,,False,True,False,True,False,True,False,True,
Arizona,2730,2294.0,2357.0,2282.1,2496.4,3554.0,2868.7,3490.0,2381.2,,2460.4,1925.0,2583.4,2529.8,1801.1,2225.2,,2308.7,2493.3,2255.0,,1933.0,2565.0,2234.6,2946.0,2251.4,2604.7,2537.5,2361.7,2201.3,-436.0,-373.0,-447.9,-233.6,824.0,138.7,760.0,-348.8,,-269.6,-805.0,-146.6,-200.2,-928.9,-504.8,,-421.3,-236.7,-475.0,,-797.0,-165.0,-495.4,216.0,-478.6,-125.3,-192.5,-368.3,-528.7,True,False,True,False,True,False,True,,True,False,True,True,False,False,,True,True,False,,False,True,False,True,False,True,True,True,False
Arkansas,357,375.4,416.0,364.0,438.5,912.0,362.3,466.0,383.7,,406.2,295.0,452.8,369.2,308.3,411.6,,419.7,438.6,355.0,,387.0,381.0,329.2,423.0,367.0,331.3,474.0,391.7,,18.4,59.0,7.0,81.5,555.0,5.3,109.0,26.7,,49.2,-62.0,95.8,12.2,-48.7,54.6,,62.7,81.6,-2.0,,30.0,24.0,-27.8,66.0,10.0,-25.7,117.0,34.7,,False,True,False,False,True,False,False,,False,False,False,True,False,False,,False,False,True,,False,False,False,False,True,False,False,False,
California,7702,7123.4,7267.0,7114.1,7421.0,9258.0,7267.9,8854.0,7282.1,,7263.4,6593.0,8838.7,6909.0,8993.3,6972.8,,6844.2,7315.2,7051.5,,6918.0,6944.0,7039.5,7438.0,6976.7,7234.5,7464.0,7365.0,7277.3,-578.6,-435.0,-587.9,-281.0,1556.0,-434.1,1152.0,-419.9,,-438.6,-1109.0,1136.7,-793.0,1291.3,-729.2,,-857.8,-386.8,-650.5,,-784.0,-758.0,-662.5,-264.0,-725.3,-467.5,-238.0,-337.0,-424.7,True,False,True,False,True,False,True,,True,False,False,False,False,False,,False,True,False,,False,False,False,True,False,True,True,True,True
Colorado,1752,1758.9,1810.0,1765.2,1788.8,1811.0,1798.0,1750.0,1829.9,,1768.6,1782.0,1889.0,1818.2,1795.4,1794.1,,1739.9,1784.1,1760.0,,1823.0,1743.0,1766.1,1783.0,1841.6,1824.3,1755.0,1795.4,,6.9,58.0,13.2,36.8,59.0,46.0,-2.0,77.9,,16.6,30.0,137.0,66.2,43.4,42.1,,-12.1,32.1,8.0,,71.0,-9.0,14.1,31.0,89.6,72.3,3.0,43.4,,False,False,False,False,False,True,False,,False,False,False,False,False,False,,False,False,False,,False,False,False,False,False,False,True,False,
Connecticut,4396,4476.0,4498.0,4516.2,4427.4,4386.0,4456.8,4379.0,4433.3,,4415.3,4404.0,4526.3,4445.5,4524.3,4488.0,,4419.8,4392.0,4417.0,,4396.0,4408.0,4441.7,4399.0,4531.1,4392.5,4426.0,4454.3,,80.0,102.0,120.2,31.4,-10.0,60.8,-17.0,37.3,,19.3,8.0,130.3,49.5,128.3,92.0,,23.8,-4.0,21.0,,0.0,12.0,45.7,3.0,135.1,-3.5,30.0,58.3,,False,False,True,True,True,True,True,,True,True,False,True,False,False,,True,True,True,,True,True,True,True,False,True,True,True,
Delaware,523,712.7,580.0,726.0,562.1,557.0,505.0,530.0,,,541.8,570.0,639.5,557.0,519.8,591.3,,511.9,537.0,542.0,,584.0,515.0,536.5,634.0,526.1,598.6,572.0,546.6,,189.7,57.0,203.0,39.1,34.0,-18.0,7.0,,,18.8,47.0,116.5,34.0,-3.2,68.3,,-11.1,14.0,19.0,,61.0,-8.0,13.5,111.0,3.1,75.6,49.0,23.6,,True,False,True,True,True,True,,,True,True,True,True,True,True,,True,True,True,,True,True,True,True,True,True,True,True,
District of Columbia,578,598.6,592.0,599.1,583.0,575.0,573.7,566.0,589.0,,590.2,615.0,610.9,574.8,551.3,,,578.4,575.7,558.0,,586.0,580.0,588.2,574.0,585.9,569.9,585.0,589.2,,20.6,14.0,21.1,5.0,-3.0,-4.3,-12.0,11.0,,12.2,37.0,32.9,-3.2,-26.7,,,0.4,-2.3,-20.0,,8.0,2.0,10.2,-4.0,7.9,-8.1,7.0,11.2,,True,False,True,True,True,True,True,,True,False,False,True,False,,,True,True,True,,True,True,True,True,True,True,True,True,
Florida,4895,4156.1,4380.0,4128.0,4974.1,12183.0,5783.9,4945.0,,,4606.9,4002.0,4742.5,4887.2,4993.6,3888.4,,4008.2,4912.9,3892.0,,3902.0,5783.0,4293.9,6747.0,5021.2,6563.1,4665.0,4411.2,4171.0,-738.9,-515.0,-767.0,79.1,7288.0,888.9,50.0,,,-288.1,-893.0,-152.5,-7.8,98.6,-1006.6,,-886.8,17.9,-1003.0,,-993.0,888.0,-601.1,1852.0,126.2,1668.1,-230.0,-483.8,-724.0,True,False,True,False,False,True,,,True,False,True,True,True,False,,False,True,False,,False,False,True,False,True,False,True,True,True
