,predicted_cases,actual_cases,error,perc_error
Columbia_UNC-SurvCon,1131063.0,1131099,-36.0,-0.0%
USACE-ERDC_SEIR,1115745.8,1131099,-15353.2,-1.4%
LNQ-ens1,1159465.2,1131099,28366.2,2.5%
TTU-squider,1159540.7,1131099,28441.7,2.5%
CovidAnalytics-DELPHI,1159885.0,1131099,28786.0,2.5%
COVIDhub-ensemble,1162154.0,1131099,31055.0,2.7%
UCLA-SuEIR,1167056.1,1131099,35957.1,3.2%
Covid19Sim-Simulator,1019087.2,1131099,-112011.8,-9.9%
IowaStateLW-STEM,1264822.0,1131099,133723.0,11.8%
USC-SI_kJalpha,995240.0,1131099,-135859.0,-12.0%
Karlen-pypm,1330626.1,1131099,199527.1,17.6%
OliverWyman-Navigator,923716.0,1131099,-207383.0,-18.3%
LANL-GrowthRate,865804.1,1131099,-265294.9,-23.5%
RobertWalraven-ESG,863841.0,1131099,-267258.0,-23.6%
QJHong-Encounter,1417562.4,1131099,286463.4,25.3%
CEID-Walk,1426305.4,1131099,295206.4,26.1%
COVIDhub-baseline,1452944.0,1131099,321845.0,28.5%
JHU_IDD-CovidSP,1504980.6,1131099,373881.6,33.1%
DDS-NBDS,1600745.6,1131099,469646.6,41.5%
UMich-RidgeTfReg,1693977.7,1131099,562878.7,49.8%
CU-select,1734735.0,1131099,603636.0,53.4%
Geneva-DetGrowth,371449.6,1131099,-759649.4,-67.2%
