,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IHME-CurveFit,IowaStateLW-STEM,LANL-GrowthRate,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IHME-CurveFit,error-IowaStateLW-STEM,error-LANL-GrowthRate,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-LANL-GrowthRate,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Alabama,48297,67314.0,,111341.9,86514.0,115030.8,69536.0,59065.8,137070.2,50230.0,29905.0,19017.0,,63044.9,38217.0,66733.8,21239.0,10768.8,88773.2,1933.0,-18392.0,,False,False,False,False,True,False,True,True
Alaska,3263,4782.0,,6192.9,5693.0,43.9,,4537.8,8462.7,10585.1,6415.0,1519.0,,2929.9,2430.0,-3219.1,,1274.8,5199.7,7322.1,3152.0,,False,False,False,,True,False,False,False
Arizona,31126,101766.0,,66768.6,66306.0,196041.8,90741.0,49587.0,66783.7,50602.6,40547.0,70640.0,,35642.6,35180.0,164915.8,59615.0,18461.0,35657.7,19476.6,9421.0,,True,True,False,True,True,True,True,True
Arkansas,26937,31152.0,,32850.6,39645.0,25475.5,37771.0,18651.0,25899.0,19852.4,17626.0,4215.0,,5913.6,12708.0,-1461.5,10834.0,-8286.0,-1038.0,-7084.6,-9311.0,,False,False,True,False,False,True,False,False
California,252320,360966.0,,375794.6,442324.0,402476.5,390008.0,159018.7,388671.0,179889.0,192742.0,108646.0,,123474.6,190004.0,150156.5,137688.0,-93301.3,136351.0,-72431.0,-59578.0,,False,False,False,False,True,False,True,True
Colorado,13627,20868.0,,30530.0,4457.0,39506.2,17334.0,11514.1,15887.1,13670.9,14687.0,7241.0,,16903.0,-9170.0,25879.2,3707.0,-2112.9,2260.1,43.9,1060.0,,False,False,False,True,True,True,True,True
Connecticut,4528,6204.0,,5992.3,128.0,18856.0,3006.0,2845.3,5851.1,7657.0,12265.0,1676.0,,1464.3,-4400.0,14328.0,-1522.0,-1682.7,1323.1,3129.0,7737.0,,True,False,False,True,False,True,False,False
Delaware,3865,4212.0,,3916.0,386.0,5577.0,3268.0,1856.9,6000.3,2570.8,3746.0,347.0,,51.0,-3479.0,1712.0,-597.0,-2008.1,2135.3,-1294.2,-119.0,,True,False,False,False,False,False,False,True
District of Columbia,2288,2040.0,,3941.1,442.0,3265.3,3100.0,402.7,3679.3,605.8,764.0,-248.0,,1653.1,-1846.0,977.3,812.0,-1885.3,1391.3,-1682.2,-1524.0,,False,False,False,False,False,False,False,False
Florida,181543,393102.0,,428884.1,399850.0,500356.6,362298.0,192892.5,245282.1,158067.8,172084.0,211559.0,,247341.1,218307.0,318813.6,180755.0,11349.5,63739.1,-23475.2,-9459.0,,False,False,False,True,True,True,True,True
Georgia,102893,148944.0,,146333.3,112228.0,411001.7,120718.0,93045.5,124922.0,99360.8,94719.0,46051.0,,43440.3,9335.0,308108.7,17825.0,-9847.5,22029.0,-3532.2,-8174.0,,True,True,False,True,True,True,True,True
Hawaii,8391,3462.0,,3661.9,497.0,68.5,,3705.3,3324.5,20694.5,13437.0,-4929.0,,-4729.1,-7894.0,-8322.5,,-4685.7,-5066.5,12303.5,5046.0,,True,False,False,,True,False,False,False
Idaho,14057,19704.0,,26855.5,16500.0,11520.4,16881.0,6885.8,13727.7,6203.5,12816.0,5647.0,,12798.5,2443.0,-2536.6,2824.0,-7171.2,-329.3,-7853.5,-1241.0,,False,True,True,True,False,True,False,True
Illinois,80245,63792.0,,80786.3,657.0,37988.8,57125.0,40566.5,81746.4,89275.5,56689.0,-16453.0,,541.3,-79588.0,-42256.2,-23120.0,-39678.5,1501.4,9030.5,-23556.0,,True,False,False,False,False,True,True,False
Indiana,37439,33612.0,,41904.0,9735.0,51789.4,32927.0,21752.5,38477.5,31519.1,27248.0,-3827.0,,4465.0,-27704.0,14350.4,-4512.0,-15686.5,1038.5,-5919.9,-10191.0,,False,False,False,False,False,True,False,False
Iowa,28912,20442.0,,22272.7,3675.0,34753.3,16991.0,13515.7,16795.8,18369.6,14758.0,-8470.0,,-6639.3,-25237.0,5841.3,-11921.0,-15396.3,-12116.2,-10542.4,-14154.0,,True,False,True,False,False,False,False,False
Kansas,21066,15498.0,,23899.7,4179.0,12519.7,22438.0,7382.0,11820.4,7339.9,8958.0,-5568.0,,2833.7,-16887.0,-8546.3,1372.0,-13684.0,-9245.6,-13726.1,-12108.0,,True,False,False,True,False,False,False,False
Kentucky,25692,23754.0,,36321.5,17789.0,18749.0,25692.0,15841.6,18730.5,20358.0,22575.0,-1938.0,,10629.5,-7903.0,-6943.0,0.0,-9850.4,-6961.5,-5334.0,-3117.0,,False,False,False,True,False,False,False,False
Louisiana,39894,75276.0,,83398.3,54268.0,132118.4,77378.0,73939.0,54694.0,34831.4,27048.0,35382.0,,43504.3,14374.0,92224.4,37484.0,34045.0,14800.0,-5062.6,-12846.0,,False,True,False,False,True,True,True,True
Maine,898,882.0,,657.9,230.0,1025.2,620.0,566.8,904.2,1263.2,1438.0,-16.0,,-240.1,-668.0,127.2,-278.0,-331.2,6.2,365.2,540.0,,False,False,False,False,False,True,False,False
Maryland,26168,37866.0,,50177.6,10384.0,27344.3,25322.0,24429.6,72850.2,44200.6,35003.0,11698.0,,24009.6,-15784.0,1176.3,-846.0,-1738.4,46682.2,18032.6,8835.0,,False,False,True,True,True,False,False,True
Massachusetts,12832,16632.0,,19011.2,143.0,45099.3,13085.0,10336.9,29143.7,38736.7,23299.0,3800.0,,6179.2,-12689.0,32267.3,253.0,-2495.1,16311.7,25904.7,10467.0,,False,False,False,True,True,False,False,False
Michigan,31726,34260.0,,34977.8,5319.0,20345.9,37560.0,16571.4,47401.0,29632.4,35683.0,2534.0,,3251.8,-26407.0,-11380.1,5834.0,-15154.6,15675.0,-2093.6,3957.0,,False,False,False,False,False,False,True,False
Minnesota,28400,29382.0,,39953.7,6920.0,17901.6,38137.0,20235.5,34284.4,32172.9,30055.0,982.0,,11553.7,-21480.0,-10498.4,9737.0,-8164.5,5884.4,3772.9,1655.0,,False,False,False,False,False,False,False,False
Mississippi,29739,53400.0,,65350.7,51745.0,97046.0,49369.0,24351.1,43776.6,25976.1,22832.0,23661.0,,35611.7,22006.0,67307.0,19630.0,-5387.9,14037.6,-3762.9,-6907.0,,False,True,False,True,True,True,True,True
Missouri,50658,63588.0,,110075.7,60847.0,50797.6,53553.0,24091.6,76606.6,48069.4,86740.0,12930.0,,59417.7,10189.0,139.6,2895.0,-26566.4,25948.6,-2588.6,36082.0,,False,True,True,True,False,False,True,False
Montana,4844,4932.0,,9191.5,2967.0,2517.1,7113.0,4968.9,3274.6,5711.7,5544.0,88.0,,4347.5,-1877.0,-2326.9,2269.0,124.9,-1569.4,867.7,700.0,,False,False,False,False,False,False,False,False
Nebraska,11729,11976.0,,17501.7,1225.0,26068.0,10114.0,7889.2,17203.4,14357.8,8248.0,247.0,,5772.7,-10504.0,14339.0,-1615.0,-3839.8,5474.4,2628.8,-3481.0,,False,False,False,False,False,False,False,False
Nevada,24146,43548.0,,49461.4,37776.0,99419.8,37245.0,31694.1,34591.6,34014.6,24044.0,19402.0,,25315.4,13630.0,75273.8,13099.0,7548.1,10445.6,9868.6,-102.0,,False,True,False,True,True,True,True,True
New Hampshire,1038,1194.0,,1455.8,65.0,3056.5,978.0,611.1,1277.0,2417.3,944.0,156.0,,417.8,-973.0,2018.5,-60.0,-426.9,239.0,1379.3,-94.0,,False,False,False,True,False,False,False,True
New Jersey,14308,19026.0,,10805.1,139.0,49457.8,15043.0,9083.1,14992.7,29779.0,30934.0,4718.0,,-3502.9,-14169.0,35149.8,735.0,-5224.9,684.7,15471.0,16626.0,,True,False,False,True,False,True,False,False
New Mexico,5865,12048.0,,13095.8,4901.0,12290.5,10861.0,5867.7,11720.2,5032.5,10305.0,6183.0,,7230.8,-964.0,6425.5,4996.0,2.7,5855.2,-832.5,4440.0,,False,True,False,True,True,True,True,True
New York,27873,27402.0,,21015.5,474.0,83064.2,14229.0,14676.5,30383.4,26393.0,23233.0,-471.0,,-6857.5,-27399.0,55191.2,-13644.0,-13196.5,2510.4,-1480.0,-4640.0,,False,False,False,False,False,False,False,False
North Carolina,61865,75510.0,,72506.9,123793.0,98624.6,92324.0,39948.5,59062.0,41860.6,54505.0,13645.0,,10641.9,61928.0,36759.6,30459.0,-21916.5,-2803.0,-20004.4,-7360.0,,True,False,False,False,False,True,False,True
North Dakota,8549,5196.0,,9093.6,793.0,3670.2,4501.0,2465.0,6162.0,3136.7,3886.0,-3353.0,,544.6,-7756.0,-4878.8,-4048.0,-6084.0,-2387.0,-5412.3,-4663.0,,True,False,False,False,False,True,False,False
Ohio,44481,53418.0,,53077.2,25442.0,107437.9,49645.0,29420.5,45365.0,40903.4,40208.0,8937.0,,8596.2,-19039.0,62956.9,5164.0,-15060.5,884.0,-3577.6,-4273.0,,True,False,False,True,False,True,True,True
Oklahoma,30928,45900.0,,46353.5,34568.0,44412.1,47524.0,20690.9,32287.3,23538.6,40188.0,14972.0,,15425.5,3640.0,13484.1,16596.0,-10237.1,1359.3,-7389.4,9260.0,,False,True,True,False,True,True,True,True
Oregon,10339,13950.0,,14589.3,17558.0,14513.5,10193.0,9053.6,12345.5,12873.9,13214.0,3611.0,,4250.3,7219.0,4174.5,-146.0,-1285.4,2006.5,2534.9,2875.0,,False,False,False,True,True,True,True,True
Pennsylvania,31167,38118.0,,43705.9,1253.0,48103.6,27763.0,17323.2,39978.6,28661.1,31327.0,6951.0,,12538.9,-29914.0,16936.6,-3404.0,-13843.8,8811.6,-2505.9,160.0,,False,False,False,True,False,False,True,True
Rhode Island,3883,4788.0,,5587.0,40.0,2196.7,3529.0,1285.9,4097.6,3277.6,2324.0,905.0,,1704.0,-3843.0,-1686.3,-354.0,-2597.1,214.6,-605.4,-1559.0,,False,False,False,True,False,True,True,False
South Carolina,39379,63546.0,,51909.8,67470.0,75349.7,57157.0,36110.4,43439.6,35263.7,36499.0,24167.0,,12530.8,28091.0,35970.7,17778.0,-3268.6,4060.6,-4115.3,-2880.0,,True,False,False,True,True,True,True,True
South Dakota,7570,3372.0,,3532.4,849.0,3452.5,2931.0,2361.0,8183.1,5839.1,3111.0,-4198.0,,-4037.6,-6721.0,-4117.5,-4639.0,-5209.0,613.1,-1730.9,-4459.0,,True,False,True,False,False,True,True,False
Tennessee,62707,104328.0,,108877.5,100911.0,58860.5,81990.0,47786.4,104351.7,67043.5,66805.0,41621.0,,46170.5,38204.0,-3846.5,19283.0,-14920.6,41644.7,4336.5,4098.0,,False,True,True,True,True,False,True,True
Texas,232887,326712.0,,342874.7,461036.0,1168011.0,371309.0,88545.5,236557.7,138150.1,150314.0,93825.0,,109987.7,228149.0,935124.0,138422.0,-144341.5,3670.7,-94736.9,-82573.0,,False,False,False,False,False,True,False,True
Utah,16545,18474.0,,23506.6,23065.0,16117.3,16312.0,10915.0,18330.5,10401.0,10797.0,1929.0,,6961.6,6520.0,-427.7,-233.0,-5630.0,1785.5,-6144.0,-5748.0,,False,False,True,True,False,True,False,False
Vermont,256,150.0,,88.4,19.0,4.7,169.0,71.4,399.6,117.2,96.0,-106.0,,-167.6,-237.0,-251.3,-87.0,-184.6,143.6,-138.8,-160.0,,False,False,False,True,False,False,False,False
Virginia,42067,43152.0,,59392.4,11910.0,8890.6,34564.0,24610.9,57425.3,29684.8,0.0,1085.0,,17325.4,-30157.0,-33176.4,-7503.0,-17456.1,15358.3,-12382.2,-42067.0,,False,False,False,False,False,False,False,False
