,actual_cases,COVIDhub-baseline,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Geneva-DetGrowth,IBF-TimeSeries,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Geneva-DetGrowth,error-IBF-TimeSeries,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Geneva-DetGrowth,beat_baseline-IBF-TimeSeries,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Alabama,6252,7914.0,7543.4,6135.0,5502.0,,7074.2,5614.0,6764.5,7878.8,,8627.0,7107.0,9490.9,7254.1,5363.8,5493.5,4851.4,6683.3,,,2716.3,7029.0,8079.1,4295.4,7747.0,1662.0,1291.4,-117.0,-750.0,,822.2,-638.0,512.5,1626.8,,2375.0,855.0,3238.9,1002.1,-888.2,-758.5,-1400.6,431.3,,,-3535.7,777.0,1827.1,-1956.6,1495.0,True,True,True,,True,True,True,True,,False,True,False,True,True,True,True,True,,,False,True,False,False,True
Alaska,547,495.0,493.9,494.0,359.0,,559.7,449.0,468.5,486.3,,,,497.7,784.9,767.4,394.7,610.8,547.9,,,427.4,456.6,443.3,692.4,491.0,-52.0,-53.1,-53.0,-188.0,,12.7,-98.0,-78.5,-60.7,,,,-49.3,237.9,220.4,-152.3,63.8,0.9,,,-119.6,-90.4,-103.7,145.4,-56.0,False,False,False,,True,False,False,False,,,,True,False,False,False,False,True,,,False,False,False,False,False
Arizona,2611,4230.0,4381.5,3633.0,4403.0,,3232.2,3076.0,2942.3,4191.0,,4702.0,4210.0,3759.7,4995.6,2674.0,1589.2,3661.9,3434.2,,,1111.0,4586.1,5903.8,3603.4,4367.0,1619.0,1770.5,1022.0,1792.0,,621.2,465.0,331.3,1580.0,,2091.0,1599.0,1148.7,2384.6,63.0,-1021.8,1050.9,823.2,,,-1500.0,1975.1,3292.8,992.4,1756.0,False,True,False,,True,True,True,True,,False,True,True,False,True,True,True,True,,,True,False,False,True,False
Arkansas,5020,4312.0,4400.1,4393.0,4542.0,,4223.9,5057.0,3843.1,4818.2,,4582.0,4385.0,4425.8,8047.1,2974.5,3040.5,4765.6,4438.1,,,3726.4,4177.2,3939.5,4909.4,4495.0,-708.0,-619.9,-627.0,-478.0,,-796.1,37.0,-1176.9,-201.8,,-438.0,-635.0,-594.2,3027.1,-2045.5,-1979.5,-254.4,-581.9,,,-1293.6,-842.8,-1080.5,-110.6,-525.0,True,True,True,,False,True,False,True,,True,True,True,False,False,False,True,True,,,False,False,False,True,True
California,23619,33276.0,33979.7,31301.0,33576.0,,26180.9,35053.0,32176.6,32816.3,,34839.0,60360.0,28514.6,29280.9,31726.6,32673.9,25007.2,28453.7,,,18678.7,31433.3,35714.0,27385.4,28179.0,9657.0,10360.7,7682.0,9957.0,,2561.9,11434.0,8557.6,9197.3,,11220.0,36741.0,4895.6,5661.9,8107.6,9054.9,1388.2,4834.7,,,-4940.3,7814.3,12095.0,3766.4,4560.0,False,True,False,,True,False,True,True,,False,False,True,True,True,True,True,True,,,True,True,False,True,True
Colorado,1910,1946.0,1976.2,1913.0,1827.0,,1780.5,469.0,1949.1,1911.3,,2175.0,2149.0,1881.0,604.2,2554.2,1456.7,1925.0,2048.4,,,1481.8,1762.3,2339.6,2177.8,1934.0,36.0,66.2,3.0,-83.0,,-129.5,-1441.0,39.1,1.3,,265.0,239.0,-29.0,-1305.8,644.2,-453.3,15.0,138.4,,,-428.2,-147.7,429.6,267.8,24.0,False,True,False,,False,False,False,True,,False,False,True,False,False,False,True,False,,,False,False,False,False,True
Connecticut,961,870.0,882.6,847.0,954.0,,586.9,30.0,783.0,964.9,,584.0,1031.0,984.4,823.8,1185.9,955.8,361.5,734.9,,,172.9,955.3,1337.2,749.0,759.0,-91.0,-78.4,-114.0,-7.0,,-374.1,-931.0,-178.0,3.9,,-377.0,70.0,23.4,-137.2,224.9,-5.2,-599.5,-226.1,,,-788.1,-5.7,376.2,-212.0,-202.0,True,False,True,,False,False,False,True,,False,True,True,False,False,True,False,False,,,False,True,False,False,False
Delaware,834,543.0,506.6,564.0,583.0,,658.7,14.0,673.9,808.5,,635.0,545.0,537.9,592.7,434.6,477.9,682.3,731.7,,,881.7,524.0,749.9,733.5,862.0,-291.0,-327.4,-270.0,-251.0,,-175.3,-820.0,-160.1,-25.5,,-199.0,-289.0,-296.1,-241.3,-399.4,-356.1,-151.7,-102.3,,,47.7,-310.0,-84.1,-100.5,28.0,False,True,True,,True,False,True,True,,True,True,False,True,False,False,True,True,,,True,False,True,True,True
District of Columbia,255,313.0,324.9,315.0,295.0,,308.7,65.0,349.8,259.3,,325.0,338.0,342.0,358.5,413.5,312.4,277.7,307.5,,,225.1,316.0,,353.1,324.0,58.0,69.9,60.0,40.0,,53.7,-190.0,94.8,4.3,,70.0,83.0,87.0,103.5,158.5,57.4,22.7,52.5,,,-29.9,61.0,,98.1,69.0,False,False,True,,True,False,False,True,,False,False,False,False,False,True,True,True,,,True,False,,False,False
Florida,17704,24864.0,24491.6,20630.0,29007.0,,18158.1,14841.0,20329.7,18334.2,,26052.0,25417.0,21777.0,21052.9,18449.5,18245.2,17193.6,20206.8,,,11953.7,25656.8,24752.2,21067.2,23965.0,7160.0,6787.6,2926.0,11303.0,,454.1,-2863.0,2625.7,630.2,,8348.0,7713.0,4073.0,3348.9,745.5,541.2,-510.4,2502.8,,,-5750.3,7952.8,7048.2,3363.2,6261.0,True,True,False,,True,True,True,True,,False,False,True,True,True,True,True,True,,,True,False,True,True,True
