,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IHME-CurveFit,IowaStateLW-STEM,LANL-GrowthRate,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IHME-CurveFit,error-IowaStateLW-STEM,error-LANL-GrowthRate,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-LANL-GrowthRate,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Alabama,58978,90272.0,,120994.3,121237.0,114739.4,87934.0,42136.6,93663.9,40880.2,54904.0,31294.0,,62016.3,62259.0,55761.4,28956.0,-16841.4,34685.9,-18097.8,-4074.0,,False,False,False,True,True,False,True,True
Alaska,4218,3801.0,,5490.5,3709.0,29.1,,5468.6,5765.9,15058.1,8636.0,-417.0,,1272.5,-509.0,-4188.9,,1250.6,1547.9,10840.1,4418.0,,False,False,False,,False,False,False,False
Arizona,48087,131432.0,,160291.6,105964.0,116991.5,93258.0,60044.2,87582.9,64901.9,53177.0,83345.0,,112204.6,57877.0,68904.5,45171.0,11957.2,39495.9,16814.9,5090.0,,False,True,True,True,True,True,True,True
Arkansas,32129,38136.0,,43214.0,38507.0,28822.3,45462.0,22462.0,25199.4,31097.3,28732.0,6007.0,,11085.0,6378.0,-3306.7,13333.0,-9667.0,-6929.6,-1031.7,-3397.0,,False,False,True,False,False,False,True,True
California,312481,459949.0,,617774.9,525991.0,692161.6,434274.0,182694.4,458047.4,241937.2,301175.0,147468.0,,305293.9,213510.0,379680.6,121793.0,-129786.6,145566.4,-70543.8,-11306.0,,False,False,False,True,True,True,True,True
Colorado,17107,28007.0,,38479.0,5021.0,56794.7,16611.0,18754.8,77673.6,67106.7,27089.0,10900.0,,21372.0,-12086.0,39687.7,-496.0,1647.8,60566.6,49999.7,9982.0,,False,False,False,True,True,False,False,True
Connecticut,5562,6181.0,,2945.0,117.0,17706.6,2257.0,3159.1,10173.8,7568.2,9464.0,619.0,,-2617.0,-5445.0,12144.6,-3305.0,-2402.9,4611.8,2006.2,3902.0,,False,False,False,False,False,False,False,False
Delaware,4567,5222.0,,6870.3,538.0,2057.0,2157.0,2912.0,6102.1,5172.0,3859.0,655.0,,2303.3,-4029.0,-2510.0,-2410.0,-1655.0,1535.1,605.0,-708.0,,False,False,False,False,False,False,True,False
District of Columbia,2776,3661.0,,3118.3,501.0,6743.9,2150.0,1734.3,6556.6,5163.6,4303.0,885.0,,342.3,-2275.0,3967.9,-626.0,-1041.7,3780.6,2387.6,1527.0,,True,False,False,True,False,False,False,False
Florida,247060,538594.0,,794405.3,445218.0,605427.8,439372.0,333513.0,345451.0,327493.8,186531.0,291534.0,,547345.3,198158.0,358367.8,192312.0,86453.0,98391.0,80433.8,-60529.0,,False,True,False,True,True,True,True,True
Georgia,127717,177156.0,,246089.0,144685.0,282314.7,130310.0,94117.0,185876.1,108204.8,81355.0,49439.0,,118372.0,16968.0,154597.7,2593.0,-33600.0,58159.1,-19512.2,-46362.0,,False,True,False,True,True,False,True,True
Hawaii,9102,1862.0,,2412.2,100.0,56.4,,2269.5,2853.4,29538.9,5459.0,-7240.0,,-6689.8,-9002.0,-9045.6,,-6832.5,-6248.6,20436.9,-3643.0,,True,False,False,,True,True,False,True
Idaho,17341,20734.0,,55208.0,14752.0,17422.3,22118.0,18859.5,16317.5,11386.0,11141.0,3393.0,,37867.0,-2589.0,81.3,4777.0,1518.5,-1023.5,-5955.0,-6200.0,,False,True,True,False,True,True,False,False
Illinois,90877,65359.0,,84034.5,1181.0,58833.2,55815.0,42912.0,91186.4,127257.9,80440.0,-25518.0,,-6842.5,-89696.0,-32043.8,-35062.0,-47965.0,309.4,36380.9,-10437.0,,True,False,False,False,False,True,False,True
Indiana,43041,41062.0,,43459.2,10001.0,28188.8,38409.0,25897.0,98265.6,62850.6,58454.0,-1979.0,,418.2,-33040.0,-14852.2,-4632.0,-17144.0,55224.6,19809.6,15413.0,,True,False,False,False,False,False,False,False
Iowa,32319,25011.0,,34152.7,4220.0,47903.0,17932.0,14966.1,24442.1,18409.9,14830.0,-7308.0,,1833.7,-28099.0,15584.0,-14387.0,-17352.9,-7876.9,-13909.1,-17489.0,,True,False,False,False,False,False,False,False
Kansas,23649,23212.0,,38559.7,3367.0,5279.4,22093.0,12840.2,19433.5,18204.7,18097.0,-437.0,,14910.7,-20282.0,-18369.6,-1556.0,-10808.8,-4215.5,-5444.3,-5552.0,,False,False,False,False,False,False,False,False
Kentucky,29651,32060.0,,46911.0,18471.0,23419.8,26029.0,16577.0,65073.7,42674.1,27737.0,2409.0,,17260.0,-11180.0,-6231.2,-3622.0,-13074.0,35422.7,13023.1,-1914.0,,False,False,False,False,False,False,False,True
Louisiana,53375,106008.0,,132707.2,55451.0,75821.1,128505.0,108975.6,123477.6,58461.0,56263.0,52633.0,,79332.2,2076.0,22446.1,75130.0,55600.6,70102.6,5086.0,2888.0,,False,True,True,False,False,False,True,True
Maine,1045,1015.0,,285.0,319.0,2703.8,452.0,474.4,1074.6,1826.5,1271.0,-30.0,,-760.0,-726.0,1658.8,-593.0,-570.6,29.6,781.5,226.0,,False,False,False,False,False,True,False,False
