,actual_cases,COVIDhub-baseline,CDDEP-SEIR_MCMC,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,IowaStateLW-STEM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-CDDEP-SEIR_MCMC,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-CDDEP-SEIR_MCMC,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
01001,299,480.0,475.0,500.2,,318.0,785.0,,,,,318.0,243.6,,105.7,226.0,,,250.7,,385.7,,,,,,181.0,176.0,201.2,,19.0,486.0,,,,,19.0,-55.4,,-193.3,-73.0,,,-48.3,,86.7,,,,,,True,False,,True,False,,,,,True,True,,False,True,,,True,,True,,,,,
01003,992,1348.0,3909.8,1371.7,,1183.0,1431.0,,,,,1860.0,1778.5,,999.3,822.8,,,524.1,,942.0,518.0,,,,,356.0,2917.8,379.7,,191.0,439.0,,,,,868.0,786.5,,7.3,-169.2,,,-467.9,,-50.0,-474.0,,,,,False,False,,True,False,,,,,False,False,,True,True,,,False,,True,False,,,,
01005,117,100.0,,91.2,,78.0,31.0,,,,,177.0,97.1,,54.8,103.3,,,41.4,,127.7,,,,,,-17.0,,-25.8,,-39.0,-86.0,,,,,60.0,-19.9,,-62.2,-13.7,,,-75.6,,10.7,,,,,,,False,,False,False,,,,,False,False,,False,True,,,False,,True,,,,,
01007,115,172.0,,167.4,,140.0,173.0,,,,,127.0,188.4,,65.5,111.2,,,33.6,,187.7,,,,,,57.0,,52.4,,25.0,58.0,,,,,12.0,73.4,,-49.5,-3.8,,,-81.4,,72.7,,,,,,,True,,True,False,,,,,True,False,,True,True,,,False,,False,,,,,
01009,458,264.0,764.5,248.9,,249.0,130.0,,,,,305.0,480.1,,151.2,163.9,,,137.7,,531.2,,,,,,-194.0,306.5,-209.1,,-209.0,-328.0,,,,,-153.0,22.1,,-306.8,-294.1,,,-320.3,,73.2,,,,,,False,False,,False,False,,,,,True,True,,False,False,,,False,,True,,,,,
01011,78,128.0,,125.8,,74.0,28.0,,,,,97.0,44.2,,19.4,84.0,,,88.0,,75.3,,,,,,50.0,,47.8,,-4.0,-50.0,,,,,19.0,-33.8,,-58.6,6.0,,,10.0,,-2.7,,,,,,,True,,True,False,,,,,True,True,,False,True,,,True,,True,,,,,
01013,89,120.0,,133.0,,92.0,89.0,,,,,151.0,43.0,,38.2,92.9,,,91.2,,115.4,,,,,,31.0,,44.0,,3.0,0.0,,,,,62.0,-46.0,,-50.8,3.9,,,2.2,,26.4,,,,,,,False,,True,True,,,,,False,False,,False,True,,,True,,True,,,,,
01015,1023,568.0,1811.6,461.8,,477.0,196.0,,,,,705.0,1350.3,,345.1,419.6,,,175.9,,631.3,,,,,,-455.0,788.6,-561.2,,-546.0,-827.0,,,,,-318.0,327.3,,-677.9,-603.4,,,-847.1,,-391.7,,,,,,False,False,,False,False,,,,,True,True,,False,False,,,False,,True,,,,,
01017,158,56.0,,58.8,,56.0,25.0,,,,,192.0,139.3,,10.7,47.2,,,38.3,,68.9,,,,,,-102.0,,-99.2,,-102.0,-133.0,,,,,34.0,-18.7,,-147.3,-110.8,,,-119.7,,-89.1,,,,,,,True,,False,False,,,,,True,True,,False,False,,,False,,True,,,,,
01019,165,116.0,,101.0,,107.0,105.0,,,,,135.0,181.3,,69.7,105.7,,,118.8,,79.2,,,,,,-49.0,,-64.0,,-58.0,-60.0,,,,,-30.0,16.3,,-95.3,-59.3,,,-46.2,,-85.8,,,,,,,False,,False,False,,,,,True,True,,False,False,,,True,,False,,,,,
01021,478,276.0,,283.2,,217.0,173.0,,,,,255.0,394.3,,124.6,168.9,,,75.4,,331.5,,,,,,-202.0,,-194.8,,-261.0,-305.0,,,,,-223.0,-83.7,,-353.4,-309.1,,,-402.6,,-146.5,,,,,,,True,,False,False,,,,,False,True,,False,False,,,False,,True,,,,,
01023,38,44.0,,42.9,,36.0,39.0,,,,,99.0,47.9,,4.5,28.3,,,32.4,,51.4,,,,,,6.0,,4.9,,-2.0,1.0,,,,,61.0,9.9,,-33.5,-9.7,,,-5.6,,13.4,,,,,,,True,,True,True,,,,,False,False,,False,False,,,True,,False,,,,,
