,actual_cases,COVIDhub-baseline,CDDEP-SEIR_MCMC,CU-select,Columbia_UNC-SurvCon,CovidAnalytics-DELPHI,IHME-CurveFit,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,QJHong-Encounter,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CDDEP-SEIR_MCMC,error-CU-select,error-Columbia_UNC-SurvCon,error-CovidAnalytics-DELPHI,error-IHME-CurveFit,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-QJHong-Encounter,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CDDEP-SEIR_MCMC,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IHME-CurveFit,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-QJHong-Encounter,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
01001,376,490.0,925.7,487.0,,,,390.9,,1006.8,,432.0,,,114.0,549.7,111.0,,,,14.9,,630.8,,56.0,,,False,True,,,,True,,False,,True,,
01003,1340,2035.0,5823.7,1243.0,,,,3106.1,,1896.4,,917.7,,,695.0,4483.7,-97.0,,,,1766.1,,556.4,,-422.3,,,False,True,,,,False,,True,,True,,
01005,157,95.0,,49.0,,,,131.1,,18.8,,225.5,,,-62.0,,-108.0,,,,-25.9,,-138.2,,68.5,,,,False,,,,True,,False,,False,,
01007,150,330.0,,411.0,,,,259.2,,326.3,,288.4,,,180.0,,261.0,,,,109.2,,176.3,,138.4,,,,False,,,,True,,True,,True,,
01009,527,420.0,804.3,154.0,,,,769.4,,300.1,,1183.9,,,-107.0,277.3,-373.0,,,,242.4,,-226.9,,656.9,,,False,False,,,,False,,False,,False,,
01011,110,135.0,,34.0,,,,43.1,,51.2,,50.8,,,25.0,,-76.0,,,,-66.9,,-58.8,,-59.2,,,,False,,,,False,,False,,False,,
01013,117,75.0,,108.0,,,,46.0,,20.4,,61.9,,,-42.0,,-9.0,,,,-71.0,,-96.6,,-55.1,,,,True,,,,False,,False,,False,,
01015,1202,1615.0,2469.1,925.0,,,,2012.3,,1072.5,,1103.1,,,413.0,1267.1,-277.0,,,,810.3,,-129.5,,-98.9,,,False,True,,,,False,,True,,True,,
01017,179,165.0,,114.0,,,,257.9,,26.5,,130.6,,,-14.0,,-65.0,,,,78.9,,-152.5,,-48.4,,,,False,,,,False,,False,,False,,
01019,201,240.0,,269.0,,,,273.7,,85.5,,220.4,,,39.0,,68.0,,,,72.7,,-115.5,,19.4,,,,False,,,,False,,False,,True,,
01021,550,575.0,,388.0,,,,504.7,,384.1,,913.2,,,25.0,,-162.0,,,,-45.3,,-165.9,,363.2,,,,False,,,,False,,False,,False,,
01023,50,50.0,,71.0,,,,65.6,,10.3,,58.4,,,0.0,,21.0,,,,15.6,,-39.7,,8.4,,,,False,,,,False,,False,,False,,
01025,348,915.0,,674.0,,,,223.5,,2217.6,,728.9,,,567.0,,326.0,,,,-124.5,,1869.6,,380.9,,,,True,,,,True,,False,,True,,
01027,219,260.0,,302.0,,,,146.9,,108.9,,139.4,,,41.0,,83.0,,,,-72.1,,-110.1,,-79.6,,,,False,,,,False,,False,,False,,
01029,209,70.0,,70.0,,,,87.1,,6.1,,49.7,,,-139.0,,-139.0,,,,-121.9,,-202.9,,-159.3,,,,False,,,,True,,False,,False,,
01031,406,305.0,487.6,179.0,,,,392.4,,191.0,,218.7,,,-101.0,81.6,-227.0,,,,-13.6,,-215.0,,-187.3,,,True,False,,,,True,,False,,False,,
