,actual_cases,COVIDhub-baseline,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Geneva-DetGrowth,IowaStateLW-STEM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,OliverWyman-Navigator,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Geneva-DetGrowth,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-OliverWyman-Navigator,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Geneva-DetGrowth,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-OliverWyman-Navigator,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
01001,182,174.0,189.1,,120.0,97.0,,,,,,223.0,136.3,,50.9,105.8,134.0,0.0,,163.3,,124.8,,,,,241.2,-8.0,7.1,,-62.0,-85.0,,,,,,41.0,-45.7,,-131.1,-76.2,-48.0,-182.0,,-18.7,,-57.2,,,,,59.2,True,,False,False,,,,,,False,False,,False,False,False,False,,False,,False,,,,,False
01003,715,594.0,595.6,,515.0,363.0,,,,,,878.0,1059.8,,554.3,515.7,455.0,600.0,,289.6,,489.4,308.0,,,,796.0,-121.0,-119.4,,-200.0,-352.0,,,,,,163.0,344.8,,-160.7,-199.3,-260.0,-115.0,,-425.4,,-225.6,-407.0,,,,81.0,True,,False,False,,,,,,False,False,,False,False,False,True,,False,,False,False,,,,True
01005,28,84.0,76.9,,57.0,36.0,,,,,,132.0,67.0,,37.3,69.0,70.0,110.0,,13.3,,83.4,,,,,106.3,56.0,48.9,,29.0,8.0,,,,,,104.0,39.0,,9.3,41.0,42.0,82.0,,-14.7,,55.4,,,,,78.3,True,,True,True,,,,,,False,True,,True,True,True,False,,True,,True,,,,,False
01007,73,102.0,96.4,,93.0,61.0,,,,,,107.0,114.8,,80.9,97.1,67.0,123.0,,71.6,,122.2,,,,,104.9,29.0,23.4,,20.0,-12.0,,,,,,34.0,41.8,,7.9,24.1,-6.0,50.0,,-1.4,,49.2,,,,,31.9,True,,True,True,,,,,,False,False,,True,True,True,False,,True,,False,,,,,False
01009,192,231.0,227.4,,208.0,200.0,,,,,,258.0,306.3,,109.4,145.8,126.0,225.0,,50.7,,269.4,,,,,248.2,39.0,35.4,,16.0,8.0,,,,,,66.0,114.3,,-82.6,-46.2,-66.0,33.0,,-141.3,,77.4,,,,,56.2,True,,True,True,,,,,,False,False,,False,False,False,True,,False,,False,,,,,False
01011,27,96.0,93.7,,53.0,24.0,,,,,,78.0,27.6,,25.6,49.3,63.0,106.0,,64.7,,61.1,,,,,89.4,69.0,66.7,,26.0,-3.0,,,,,,51.0,0.6,,-1.4,22.3,36.0,79.0,,37.7,,34.1,,,,,62.4,True,,True,True,,,,,,True,True,,True,True,True,False,,True,,True,,,,,True
01013,65,42.0,46.9,,43.0,47.0,,,,,,99.0,27.6,,7.9,34.6,71.0,9.0,,48.5,,40.5,,,,,64.9,-23.0,-18.1,,-22.0,-18.0,,,,,,34.0,-37.5,,-57.1,-30.4,6.0,-56.0,,-16.5,,-24.5,,,,,-0.1,True,,True,True,,,,,,False,False,,False,False,True,False,,True,,False,,,,,True
01015,594,693.0,613.4,,553.0,1373.0,,,,,,455.0,902.7,,493.6,477.7,322.0,841.0,,402.4,,707.1,,,,,634.5,99.0,19.4,,-41.0,779.0,,,,,,-139.0,308.7,,-100.4,-116.3,-272.0,247.0,,-191.6,,113.1,,,,,40.5,True,,True,False,,,,,,False,False,,False,False,False,False,,False,,False,,,,,True
01017,28,45.0,47.7,,44.0,10.0,,,,,,128.0,83.9,,13.8,40.9,80.0,39.0,,31.7,,53.4,,,,,61.2,17.0,19.7,,16.0,-18.0,,,,,,100.0,55.9,,-14.2,12.9,52.0,11.0,,3.7,,25.4,,,,,33.2,False,,True,False,,,,,,False,False,,True,True,False,True,,True,,False,,,,,False
01019,67,93.0,87.1,,81.0,79.0,,,,,,105.0,120.3,,29.1,69.0,43.0,30.0,,25.3,,83.3,,,,,95.0,26.0,20.1,,14.0,12.0,,,,,,38.0,53.3,,-37.9,2.0,-24.0,-37.0,,-41.7,,16.3,,,,,28.0,True,,True,True,,,,,,False,False,,False,True,True,False,,False,,True,,,,,False
