,actual_cases,COVIDhub-baseline,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Geneva-DetGrowth,IBF-TimeSeries,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,OliverWyman-Navigator,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,Yu_Group-CLEP,error-COVIDhub-baseline,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Geneva-DetGrowth,error-IBF-TimeSeries,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-OliverWyman-Navigator,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,error-Yu_Group-CLEP,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Geneva-DetGrowth,beat_baseline-IBF-TimeSeries,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-OliverWyman-Navigator,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-Yu_Group-CLEP
01001,74,62.0,65.7,,63.0,65.0,,,,,,,,94.0,,75.8,35.9,,19.0,37.4,,56.0,0.0,,47.2,64.9,,,,,91.7,85.6,-12.0,-8.3,,-11.0,-9.0,,,,,,,,20.0,,1.8,-38.1,,-55.0,-36.6,,-18.0,-74.0,,-26.8,-9.1,,,,,17.7,11.6,True,,True,True,,,,,,,,False,,True,False,,False,False,,False,False,,False,True,,,,,False,True
01003,231,235.0,248.7,,208.0,267.0,,,,,,,,198.0,,274.6,264.0,,138.3,182.2,,230.0,51.0,,137.3,255.3,191.0,,,,334.7,317.4,4.0,17.7,,-23.0,36.0,,,,,,,,-33.0,,43.6,33.0,,-92.7,-48.8,,-1.0,-180.0,,-93.7,24.3,-40.0,,,,103.7,86.4,False,,False,False,,,,,,,,False,,False,False,,False,False,,True,False,,False,False,False,,,,False,False
01005,18,0.0,0.0,,6.0,7.0,,,,,,,,44.0,,23.3,19.1,,16.0,5.0,,,2.0,,3.0,0.0,,,,,5.5,50.5,-18.0,-18.0,,-12.0,-11.0,,,,,,,,26.0,,5.3,1.1,,-2.0,-13.0,,,-16.0,,-15.0,-18.0,,,,,-12.5,32.5,False,,True,True,,,,,,,,False,,True,True,,True,True,,,True,,True,False,,,,,True,False
01007,20,27.0,25.1,,24.0,14.0,,,,,,,,53.0,,40.8,28.6,,13.0,22.6,,,4.0,,11.6,29.1,,,,,37.3,49.4,7.0,5.1,,4.0,-6.0,,,,,,,,33.0,,20.8,8.6,,-7.0,2.6,,,-16.0,,-8.4,9.1,,,,,17.3,29.4,True,,True,True,,,,,,,,False,,False,False,,True,True,,,False,,False,False,,,,,False,False
01009,73,58.0,58.7,,58.0,80.0,,,,,,,,83.0,,98.6,87.3,,17.4,48.2,,57.0,25.0,,43.7,54.7,,,,,83.8,164.8,-15.0,-14.3,,-15.0,7.0,,,,,,,,10.0,,25.6,14.3,,-55.6,-24.8,,-16.0,-48.0,,-29.3,-18.3,,,,,10.8,91.8,True,,False,True,,,,,,,,True,,False,True,,False,False,,False,False,,False,False,,,,,True,False
01011,9,9.0,9.0,,8.0,2.0,,,,,,,,37.0,,12.8,8.0,,1.8,7.3,,,9.0,,7.8,9.6,,,,,16.0,31.7,0.0,0.0,,-1.0,-7.0,,,,,,,,28.0,,3.8,-1.0,,-7.2,-1.7,,,0.0,,-1.2,0.6,,,,,7.0,22.7,False,,False,False,,,,,,,,False,,False,False,,False,False,,,True,,False,False,,,,,False,False
01013,9,26.0,28.0,,23.0,21.0,,,,,,,,33.0,,61.4,8.3,,10.8,22.0,,35.0,0.0,,15.7,24.9,,,,,23.9,21.2,17.0,19.0,,14.0,12.0,,,,,,,,24.0,,52.4,-0.7,,1.8,13.0,,26.0,-9.0,,6.7,15.9,,,,,14.9,12.2,False,,True,True,,,,,,,,False,,False,True,,True,True,,False,True,,True,True,,,,,True,True
01015,226,231.0,237.2,,212.0,255.0,,,,,,,,162.0,,415.8,242.0,,134.4,174.7,,255.0,91.0,,79.6,227.6,,,,,345.3,255.4,5.0,11.2,,-14.0,29.0,,,,,,,,-64.0,,189.8,16.0,,-91.6,-51.3,,29.0,-135.0,,-146.4,1.6,,,,,119.3,29.4,False,,False,False,,,,,,,,False,,False,False,,False,False,,False,False,,False,True,,,,,False,False
01017,30,0.0,0.0,,4.0,2.0,,,,,,,,40.0,,9.9,25.0,,2.2,10.4,,,2.0,,5.2,0.0,,,,,7.0,38.6,-30.0,-30.0,,-26.0,-28.0,,,,,,,,10.0,,-20.1,-5.0,,-27.8,-19.6,,,-28.0,,-24.9,-30.0,,,,,-23.0,8.6,False,,True,True,,,,,,,,True,,True,True,,True,True,,,True,,True,False,,,,,True,True
01019,53,23.0,22.7,,23.0,14.0,,,,,,,,26.0,,56.7,36.5,,5.2,16.2,,,0.0,,13.5,22.7,,,,,30.7,67.3,-30.0,-30.3,,-30.0,-39.0,,,,,,,,-27.0,,3.7,-16.5,,-47.8,-36.8,,,-53.0,,-39.5,-30.3,,,,,-22.3,14.3,False,,False,False,,,,,,,,True,,True,True,,False,False,,,False,,False,False,,,,,True,True
