,actual_cases,COVIDhub-baseline,CDDEP-SEIR_MCMC,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IHME-CurveFit,IowaStateLW-STEM,LANL-GrowthRate,MITCovAlliance-SIR,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CDDEP-SEIR_MCMC,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IHME-CurveFit,error-IowaStateLW-STEM,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CDDEP-SEIR_MCMC,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
01001,598,630.0,687.4,,,,,1024.0,447.3,,292.7,,,32.0,89.4,,,,,426.0,-150.7,,-305.3,,,False,,,,,False,False,,False,,
01003,2240,5768.0,7665.8,,,,,4971.0,11712.1,,4400.0,,,3528.0,5425.8,,,,,2731.0,9472.1,,2160.0,,,False,,,,,True,False,,True,,
01005,226,357.0,,,,,,389.0,168.7,,257.1,,,131.0,,,,,,163.0,-57.3,,31.1,,,,,,,,False,True,,True,,
01007,272,364.0,,,,,,290.0,295.0,,393.3,,,92.0,,,,,,18.0,23.0,,121.3,,,,,,,,True,True,,False,,
01009,818,1036.0,1185.6,,,,,886.0,1404.3,,1163.6,,,218.0,367.6,,,,,68.0,586.3,,345.6,,,False,,,,,True,False,,False,,
01011,167,112.0,,,,,,158.0,29.3,,58.4,,,-55.0,,,,,,-9.0,-137.7,,-108.6,,,,,,,,True,False,,False,,
01013,170,273.0,,,,,,522.0,69.5,,169.3,,,103.0,,,,,,352.0,-100.5,,-0.7,,,,,,,,False,True,,True,,
01015,1937,2135.0,2725.3,,,,,2073.0,2722.4,,781.9,,,198.0,788.3,,,,,136.0,785.4,,-1155.1,,,False,,,,,True,False,,False,,
01017,265,259.0,,,,,,473.0,161.0,,202.1,,,-6.0,,,,,,208.0,-104.0,,-62.9,,,,,,,,False,False,,False,,
01019,293,238.0,,,,,,239.0,94.5,,224.5,,,-55.0,,,,,,-54.0,-198.5,,-68.5,,,,,,,,True,False,,False,,
01021,781,1001.0,,,,,,855.0,1129.3,,2678.4,,,220.0,,,,,,74.0,348.3,,1897.4,,,,,,,,True,False,,False,,
01023,76,147.0,,,,,,323.0,41.7,,71.8,,,71.0,,,,,,247.0,-34.3,,-4.2,,,,,,,,False,True,,True,,
01025,592,385.0,,,,,,717.0,196.8,,249.2,,,-207.0,,,,,,125.0,-395.2,,-342.8,,,,,,,,True,False,,False,,
01027,310,280.0,,,,,,100.0,215.2,,173.0,,,-30.0,,,,,,-210.0,-94.8,,-137.0,,,,,,,,False,False,,False,,
01029,243,161.0,,,,,,105.0,58.8,,524.2,,,-82.0,,,,,,-138.0,-184.2,,281.2,,,,,,,,False,False,,False,,
01031,559,693.0,369.0,,,,,1288.0,639.3,,579.2,,,134.0,-190.0,,,,,729.0,80.3,,20.2,,,False,,,,,False,True,,True,,
01033,647,1148.0,1140.0,,,,,1222.0,607.5,,1599.2,,,501.0,493.0,,,,,575.0,-39.5,,952.2,,,True,,,,,False,True,,False,,
01035,172,350.0,,,,,,333.0,155.9,94.7,225.1,,,178.0,,,,,,161.0,-16.1,-77.3,53.1,,,,,,,,True,True,True,True,,
01037,76,84.0,,,,,,49.0,70.2,,61.4,,,8.0,,,,,,-27.0,-5.8,,-14.6,,,,,,,,False,True,,False,,
01039,531,735.0,,,,,,1178.0,461.4,271.0,512.6,,,204.0,,,,,,647.0,-69.6,-260.0,-18.4,,,,,,,,False,True,False,True,,
