,count,mean,median,std,min,25%,75%,max
LNQ-ens1,3141,47.6,12.4,159.0,0.0,4.1,35.8,4210.2
COVIDhub-ensemble,3141,50.5,13.0,150.6,0.0,4.0,38.0,2658.0
COVIDhub-baseline,3141,61.6,14.0,229.1,0.0,4.0,41.0,4768.0
CEID-Walk,3141,63.2,14.5,240.7,0.0,4.5,41.6,4887.0
UCLA-SuEIR,2906,66.5,14.9,262.3,0.0,4.8,43.4,5461.4
LANL-GrowthRate,2951,66.8,21.5,197.8,0.0,7.1,57.3,4902.0
JHUAPL-Bucky,3141,67.4,17.9,185.5,0.0,5.5,52.9,4450.8
JHU_IDD-CovidSP,3139,67.9,18.3,169.5,0.0,5.8,53.7,2374.3
OliverWyman-Navigator,2671,68.7,17.0,200.5,0.0,6.0,50.0,4042.0
IowaStateLW-STEM,3103,79.9,17.0,457.9,0.0,5.0,53.0,16659.0
CU-select,3096,82.3,19.0,274.0,0.0,6.0,57.0,6166.0
USC-SI_kJalpha,2784,84.2,18.0,498.2,0.0,6.0,50.0,15648.0
RobertWalraven-ESG,3141,96.9,22.0,290.1,0.0,6.1,68.8,4198.2
MITCovAlliance-SIR,2237,98.0,21.0,350.6,0.0,6.9,66.3,10621.3
PandemicCentral-USCounty,3048,118.9,27.0,545.2,0.0,8.0,77.0,15224.0
UVA-Ensemble,2781,164.5,24.5,1022.6,0.0,6.4,85.8,45571.3
Yu_Group-CLEP,3139,187.9,39.3,614.6,0.0,13.8,121.8,17368.9
