,actual_cases,COVIDhub-baseline,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,IowaStateLW-STEM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Georgia,57737,86964.0,87102.8,67824.0,73096.0,,62607.4,74230.0,92421.6,75942.0,64003.5,80379.4,41961.6,56414.0,,49505.3,62064.3,68837.3,115049.6,49752.6,68542.0,29227.0,29365.8,10087.0,15359.0,,4870.4,16493.0,34684.6,18205.0,6266.5,22642.4,-15775.4,-1323.0,,-8231.7,4327.3,11100.3,57312.6,-7984.4,10805.0,False,True,True,,True,True,False,True,True,True,True,True,,True,True,True,False,True,True
Hawaii,5897,5916.0,5927.6,7469.0,7543.0,,10842.8,5693.0,18048.6,,10970.8,31058.1,7886.5,6763.2,,4892.6,7113.4,7830.4,,11815.9,7096.0,19.0,30.6,1572.0,1646.0,,4945.8,-204.0,12151.6,,5073.8,25161.1,1989.5,866.2,,-1004.4,1216.4,1933.4,,5918.9,1199.0,False,False,False,,False,False,False,,False,False,False,False,,False,False,False,,False,False
Idaho,7692,11912.0,12088.8,9798.0,11430.0,,7422.8,9955.0,35021.2,9798.0,16904.9,13080.6,6075.4,9245.9,,6673.1,11137.7,7255.1,12163.0,6818.6,7565.0,4220.0,4396.8,2106.0,3738.0,,-269.2,2263.0,27329.2,2106.0,9212.9,5388.6,-1616.6,1553.9,,-1018.9,3445.7,-436.9,4471.0,-873.4,-127.0,False,True,True,,True,True,False,True,False,False,True,True,,True,True,True,False,True,True
Illinois,56148,47412.0,47699.3,47384.0,62648.0,,46251.6,6237.0,74632.3,38774.0,55195.3,77020.2,33851.8,43898.9,,44376.5,28217.4,67256.0,31310.6,49942.3,42558.0,-8736.0,-8448.7,-8764.0,6500.0,,-9896.4,-49911.0,18484.3,-17374.0,-952.7,20872.2,-22296.2,-12249.1,,-11771.5,-27930.6,11108.0,-24837.4,-6205.7,-13590.0,True,False,True,,False,False,False,False,True,False,False,False,,False,False,False,False,True,False
Indiana,24885,25556.0,25881.1,25469.0,33619.0,,27684.0,8151.0,31035.7,18605.0,32913.4,30939.0,17835.7,20440.0,,21405.3,14021.6,31112.9,23781.5,22872.0,29142.0,671.0,996.1,584.0,8734.0,,2799.0,-16734.0,6150.7,-6280.0,8028.4,6054.0,-7049.3,-4445.0,,-3479.7,-10863.4,6227.9,-1103.5,-2013.0,4257.0,False,True,False,,False,False,False,False,False,False,False,False,,False,False,False,False,False,False
Iowa,22140,14120.0,14067.1,11664.0,22821.0,,10386.8,2520.0,10551.9,10121.0,14718.6,12039.6,11418.3,12765.8,,9898.7,8357.7,11488.5,14328.8,19219.9,9028.0,-8020.0,-8072.9,-10476.0,681.0,,-11753.2,-19620.0,-11588.1,-12019.0,-7421.4,-10100.4,-10721.7,-9374.2,,-12241.3,-13782.3,-10651.5,-7811.2,-2920.1,-13112.0,False,False,True,,False,False,False,False,True,False,False,False,,False,False,False,True,True,False
Kansas,14736,13688.0,13451.7,11687.0,28420.0,,,9311.0,8855.7,13206.0,16760.9,12416.0,7973.1,10579.7,,4982.0,8919.7,9185.4,17358.8,12531.0,12372.0,-1048.0,-1284.3,-3049.0,13684.0,,,-5425.0,-5880.3,-1530.0,2024.9,-2320.0,-6762.9,-4156.3,,-9754.0,-5816.3,-5550.6,2622.8,-2205.0,-2364.0,False,False,False,,,False,False,False,False,False,False,False,,False,False,False,False,False,False
Kentucky,17485,17408.0,16487.6,14684.0,25604.0,,,12371.0,40151.9,16066.0,24351.2,13656.6,8766.3,9871.8,,6317.0,12117.2,18735.4,22780.0,12622.9,14813.0,-77.0,-997.4,-2801.0,8119.0,,,-5114.0,22666.9,-1419.0,6866.2,-3828.4,-8718.7,-7613.2,,-11168.0,-5367.8,1250.4,5295.0,-4862.1,-2672.0,False,False,False,,,False,False,False,False,False,False,False,,False,False,False,False,False,False
Louisiana,20372,31964.0,27409.8,24351.0,21153.0,,,28548.0,54317.7,36874.0,24524.4,30805.6,18059.7,15912.3,,18274.0,39213.9,26418.0,,12789.8,12613.0,11592.0,7037.8,3979.0,781.0,,,8176.0,33945.7,16502.0,4152.4,10433.6,-2312.3,-4459.7,,-2098.0,18841.9,6046.0,,-7582.2,-7759.0,True,True,True,,,True,False,False,True,True,True,True,,True,False,True,,True,True
Maine,691,464.0,506.2,494.0,589.0,,,172.0,445.4,110.0,1071.1,320.7,439.1,536.5,,489.5,438.9,507.7,,832.8,387.0,-227.0,-184.8,-197.0,-102.0,,,-519.0,-245.6,-581.0,380.1,-370.3,-251.9,-154.5,,-201.5,-252.1,-183.3,,141.8,-304.0,True,True,True,,,False,False,False,False,False,False,True,,True,False,True,,True,False
