,actual_cases,COVIDhub-baseline,CU-select,Columbia_UNC-SurvCon,CovidAnalytics-DELPHI,IHME-CurveFit,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,QJHong-Encounter,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CU-select,error-Columbia_UNC-SurvCon,error-CovidAnalytics-DELPHI,error-IHME-CurveFit,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-QJHong-Encounter,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IHME-CurveFit,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-QJHong-Encounter,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Alabama,37312,54120.0,47646.0,,50084.0,57301.7,49092.3,57136.0,32192.9,,36915.8,31497.7,30523.0,16808.0,10334.0,,12772.0,19989.7,11780.3,19824.0,-5119.1,,-396.2,-5814.3,-6789.0,True,,True,False,True,False,True,,True,True,True
Alaska,2708,2385.0,1178.0,,4372.0,202.1,6008.9,5206.0,1442.9,,3305.3,1331.9,1954.0,-323.0,-1530.0,,1664.0,-2505.9,3300.9,2498.0,-1265.1,,597.3,-1376.1,-754.0,False,,False,False,False,False,False,,False,False,False
Arizona,22021,45525.0,22522.0,,41201.0,89735.0,29416.5,62397.5,21076.6,,38222.6,15826.3,14029.0,23504.0,501.0,,19180.0,67714.0,7395.5,40376.5,-944.4,,16201.6,-6194.7,-7992.0,True,,True,False,True,False,True,,True,True,True
Arkansas,21299,28190.0,32917.0,,30944.0,40959.8,24058.5,34293.0,17048.6,,20657.9,19713.4,20994.0,6891.0,11618.0,,9645.0,19660.8,2759.5,12994.0,-4250.4,,-641.1,-1585.6,-305.0,False,,False,False,True,False,True,,True,True,True
California,199943,238875.0,235620.0,,456721.0,600487.8,307820.3,203923.9,114109.1,,237998.2,150357.4,137179.0,38932.0,35677.0,,256778.0,400544.8,107877.3,3980.9,-85833.9,,38055.2,-49585.6,-62764.0,True,,False,False,False,True,False,,True,False,False
Colorado,10572,15285.0,13625.0,,3554.0,64686.7,26348.1,18085.9,9789.7,,8637.9,9538.1,10500.0,4713.0,3053.0,,-7018.0,54114.7,15776.1,7513.9,-782.3,,-1934.1,-1033.9,-72.0,True,,False,False,False,False,True,,True,True,True
Connecticut,4018,2550.0,1959.0,,56.0,10767.2,6611.3,8721.7,692.4,,7064.5,2061.0,1249.0,-1468.0,-2059.0,,-3962.0,6749.2,2593.3,4703.7,-3325.6,,3046.5,-1957.0,-2769.0,False,,False,False,False,False,False,,False,False,False
Delaware,3240,3125.0,2478.0,,288.0,3568.5,3213.3,5561.1,1810.6,,4803.8,2273.8,1673.0,-115.0,-762.0,,-2952.0,328.5,-26.7,2321.1,-1429.4,,1563.8,-966.2,-1567.0,False,,False,False,True,False,False,,False,False,False
District of Columbia,1840,2240.0,2920.0,,386.0,821.3,2457.3,4349.9,1542.7,,3401.4,2649.8,1601.0,400.0,1080.0,,-1454.0,-1018.7,617.3,2509.9,-297.3,,1561.4,809.8,-239.0,False,,False,False,False,False,True,,False,False,True
Florida,134994,232745.0,185867.0,,237996.0,351913.7,188641.1,232765.2,132961.8,,162588.4,102796.5,124140.0,97751.0,50873.0,,103002.0,216919.7,53647.1,97771.2,-2032.2,,27594.4,-32197.5,-10854.0,True,,False,False,True,False,True,,True,True,True
