,actual_cases,COVIDhub-baseline,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,IowaStateLW-STEM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Alabama,22357,20856.0,19745.5,16087.0,18940.0,,9310.2,19813.0,16816.2,20041.0,18958.8,15590.3,12674.8,13303.3,12711.0,,9751.0,42650.0,25162.0,19187.9,12935.5,12485.0,-1501.0,-2611.5,-6270.0,-3417.0,,-13046.8,-2544.0,-5540.8,-2316.0,-3398.2,-6766.7,-9682.2,-9053.7,-9646.0,,-12606.0,20293.0,2805.0,-3169.1,-9421.5,-9872.0,False,False,False,,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False
Alaska,1577,1563.0,1659.3,1420.0,1347.0,,1008.1,1527.0,1963.4,,2753.3,1131.7,1259.8,1136.2,1393.0,,1118.4,3269.1,1518.7,,1489.1,1523.0,-14.0,82.3,-157.0,-230.0,,-568.9,-50.0,386.4,,1176.3,-445.3,-317.2,-440.8,-184.0,,-458.6,1692.1,-58.3,,-87.9,-54.0,False,False,False,,False,False,False,,False,False,False,False,False,,False,False,False,,False,False
Arizona,10233,15723.0,15095.4,8804.0,17014.0,,5322.3,12878.0,9210.8,15234.0,11022.7,6679.0,8011.6,9037.4,7960.0,,4829.0,17355.6,23154.6,24986.4,7705.0,8594.0,5490.0,4862.4,-1429.0,6781.0,,-4910.7,2645.0,-1022.2,5001.0,789.7,-3554.0,-2221.4,-1195.6,-2273.0,,-5404.0,7122.6,12921.6,14753.4,-2528.0,-1639.0,True,True,False,,True,True,True,True,True,True,True,True,True,,True,False,False,False,True,True
Arkansas,13511,12621.0,13347.7,9454.0,11893.0,,8873.6,15574.0,9213.1,13359.0,10739.9,8282.8,9116.3,8475.1,8706.0,,6726.1,10567.0,11625.8,10252.6,9253.7,8709.0,-890.0,-163.3,-4057.0,-1618.0,,-4637.4,2063.0,-4297.9,-152.0,-2771.1,-5228.2,-4394.7,-5035.9,-4805.0,,-6784.9,-2944.0,-1885.2,-3258.4,-4257.3,-4802.0,True,False,False,,False,False,False,True,False,False,False,False,False,,False,False,False,False,False,False
California,94498,139323.0,134424.9,115456.0,117114.0,,110441.6,138986.0,104706.3,182975.0,134953.8,132146.3,75432.5,112777.0,117838.0,,100411.3,134416.6,132312.7,127707.2,75995.6,102697.0,44825.0,39926.9,20958.0,22616.0,,15943.6,44488.0,10208.3,88477.0,40455.8,37648.3,-19065.5,18279.0,23340.0,,5913.3,39918.6,37814.7,33209.2,-18502.4,8199.0,True,True,True,,True,True,True,False,True,True,True,True,True,,True,True,True,True,True,True
Colorado,6013,6135.0,6112.1,5578.0,6317.0,,3599.5,1872.0,7548.9,4722.0,9871.5,4879.7,4862.7,4263.3,3819.0,,5812.2,6030.3,4010.9,6147.0,5843.6,4364.0,122.0,99.1,-435.0,304.0,,-2413.5,-4141.0,1535.9,-1291.0,3858.5,-1133.3,-1150.3,-1749.7,-2194.0,,-200.8,17.3,-2002.1,134.0,-169.4,-1649.0,True,False,False,,False,False,False,False,False,False,False,False,False,,False,True,False,False,False,False
Connecticut,2807,1866.0,1641.6,1368.0,5612.0,,1630.9,173.0,1555.7,1097.0,3250.6,3091.7,729.6,1047.8,1399.0,,625.7,0.0,2006.1,,1368.2,782.0,-941.0,-1165.4,-1439.0,2805.0,,-1176.1,-2634.0,-1251.3,-1710.0,443.6,284.7,-2077.4,-1759.2,-1408.0,,-2181.3,-2807.0,-800.9,,-1438.8,-2025.0,False,False,False,,False,False,False,False,True,True,False,False,False,,False,False,True,,False,False
Delaware,1914,1296.0,1535.4,1241.0,1054.0,,1368.0,88.0,1775.3,1574.0,1557.6,2744.7,802.7,973.4,1342.0,,1212.1,747.0,1499.0,2090.7,1186.2,1020.0,-618.0,-378.6,-673.0,-860.0,,-546.0,-1826.0,-138.7,-340.0,-356.4,830.7,-1111.3,-940.6,-572.0,,-701.9,-1167.0,-415.0,176.7,-727.8,-894.0,True,False,False,,True,False,True,True,True,False,False,False,True,,False,False,True,True,False,False
District of Columbia,959,1125.0,1125.5,799.0,731.0,,954.1,234.0,1318.1,1435.0,1238.5,1059.7,521.6,613.2,857.0,,124.3,337.9,1031.7,,588.4,738.0,166.0,166.5,-160.0,-228.0,,-4.9,-725.0,359.1,476.0,279.5,100.7,-437.4,-345.8,-102.0,,-834.7,-621.1,72.7,,-370.6,-221.0,False,True,False,,True,False,False,False,False,True,False,False,True,,False,False,True,,False,False
Florida,63974,83880.0,83649.2,66591.0,59152.0,,35955.7,72102.0,72318.1,117747.0,75293.1,83440.4,49135.3,59749.4,50306.0,,53279.9,93350.7,98467.9,77481.5,48677.8,47384.0,19906.0,19675.2,2617.0,-4822.0,,-28018.3,8128.0,8344.1,53773.0,11319.1,19466.4,-14838.7,-4224.6,-13668.0,,-10694.1,29376.7,34493.9,13507.5,-15296.2,-16590.0,True,True,True,,False,True,True,False,True,True,True,True,True,,True,False,False,True,True,True
