,predicted_cases,actual_cases,error,perc_error
Columbia_UNC-SurvCon,2344937.0,2307198,37739.0,1.6%
USACE-ERDC_SEIR,2491427.1,2307198,184229.1,8.0%
USC-SI_kJalpha,1876661.0,2307198,-430537.0,-18.7%
CovidAnalytics-DELPHI,2760719.0,2307198,453521.0,19.7%
LANL-GrowthRate,1656241.3,2307198,-650956.7,-28.2%
IowaStateLW-STEM,3137916.0,2307198,830718.0,36.0%
COVIDhub-baseline,3266256.0,2307198,959058.0,41.6%
UCLA-SuEIR,3326383.5,2307198,1019185.5,44.2%
Covid19Sim-Simulator,4296300.0,2307198,1989102.0,86.2%
IHME-CurveFit,4657633.9,2307198,2350435.9,101.9%
