,count,mean,median,std,min,25%,75%,max
USACE-ERDC_SEIR,51,2168205321.9,72721904.1,8080219684.6,24396.4,6618371.5,573141636.7,54724629755.4
CovidAnalytics-DELPHI,51,2858815992.2,345327889.0,8256709020.5,104329.0,28532804.5,1308811558.5,50921081649.0
USC-SI_kJalpha,51,3044393116.0,177909411.8,12919456297.7,2271.1,16980204.2,749746378.8,90918279360.8
COVIDhub-baseline,51,4001837916.1,23746129.0,17668629157.1,2809.0,2224646.5,470980178.5,115914373444.0
UCLA-SuEIR,51,6404677690.2,147451589.8,24773483124.6,10152.7,4276756.9,1072747088.5,144787051004.7
IowaStateLW-STEM,49,11064027460.7,46376100.0,53053546679.5,361.0,19778761.0,309106186.0,323079696801.0
Covid19Sim-Simulator,51,16271585253.1,88954697.8,71758831536.8,59319.8,13421885.3,524917508.3,482705240056.4
IHME-CurveFit,51,31978817652.4,435323953.3,161735788280.0,305.6,13718269.9,2269053900.1,1131472243225.4
