,actual_cases,COVIDhub-baseline,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Geneva-DetGrowth,IQVIA_ACOE-STAN,IowaStateLW-STEM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Geneva-DetGrowth,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Geneva-DetGrowth,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Alabama,13757,18714.0,17672.8,15027.0,15592.0,,15196.7,12199.0,15358.0,9422.0,23100.0,13518.0,13691.1,11652.1,10272.1,17857.0,18249.5,20766.0,,6876.6,18324.4,14490.6,15412.6,16933.0,4957.0,3915.8,1270.0,1835.0,,1439.7,-1558.0,1601.0,-4335.0,9343.0,-239.0,-65.9,-2104.9,-3484.9,4100.0,4492.5,7009.0,,-6880.4,4567.4,733.6,1655.6,3176.0,True,True,True,,True,True,True,True,False,True,True,True,True,True,True,False,,False,True,True,True,True
Alaska,1025,1010.0,1059.7,940.0,1032.0,,922.3,927.0,761.2,492.7,,,1233.3,1680.7,774.0,910.2,859.7,1005.0,,791.6,916.5,806.2,1012.5,1011.0,-15.0,34.7,-85.0,7.0,,-102.7,-98.0,-263.8,-532.3,,,208.3,655.7,-251.0,-114.8,-165.3,-20.0,,-233.4,-108.5,-218.8,-12.5,-14.0,False,False,True,,False,False,False,False,,,False,False,False,False,False,False,,False,False,False,True,True
Arizona,6841,6784.0,6208.4,5253.0,5587.0,,9542.6,7219.0,4348.8,2924.3,9095.0,8127.0,5285.6,6431.7,3628.0,4993.0,5142.7,4570.0,,2452.6,11951.5,10816.8,4598.6,5009.0,-57.0,-632.6,-1588.0,-1254.0,,2701.6,378.0,-2492.2,-3916.7,2254.0,1286.0,-1555.4,-409.3,-3213.0,-1848.0,-1698.3,-2271.0,,-4388.4,5110.5,3975.8,-2242.4,-1832.0,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False
Arkansas,9332,8358.0,9069.1,8116.0,8988.0,,6947.1,10266.0,7074.5,4139.8,10508.0,8251.0,9954.3,6697.7,5535.2,7661.1,8108.4,10474.0,,4608.2,7837.0,6980.7,8297.9,7747.0,-974.0,-262.9,-1216.0,-344.0,,-2384.9,934.0,-2257.5,-5192.2,1176.0,-1081.0,622.3,-2634.3,-3796.8,-1670.9,-1223.6,1142.0,,-4723.8,-1495.0,-2351.3,-1034.1,-1585.0,True,False,True,,False,True,False,False,False,False,True,False,False,False,False,False,,False,False,False,False,False
California,56895,75206.0,78914.9,68873.0,67135.0,,70378.8,89124.0,71841.9,30211.5,76121.0,88095.0,66802.6,71958.6,63040.6,49878.1,60734.9,56441.0,,46915.2,75552.2,75622.6,45839.9,58430.0,18311.0,22019.9,11978.0,10240.0,,13483.8,32229.0,14946.9,-26683.5,19226.0,31200.0,9907.6,15063.6,6145.6,-7016.9,3839.9,-454.0,,-9979.8,18657.2,18727.6,-11055.1,1535.0,False,True,True,,True,False,True,False,False,False,True,True,True,True,True,True,,True,False,False,True,True
Colorado,3856,4312.0,4328.2,3648.0,4859.0,,3416.3,1006.0,3561.5,2252.1,4512.0,4960.0,3692.1,5912.2,3034.7,3092.3,3590.7,3800.0,,3282.1,3690.5,4207.2,3906.3,3677.0,456.0,472.2,-208.0,1003.0,,-439.7,-2850.0,-294.5,-1603.9,656.0,1104.0,-163.9,2056.2,-821.3,-763.7,-265.3,-56.0,,-573.9,-165.5,351.2,50.3,-179.0,False,True,False,,True,False,True,False,False,False,True,False,False,False,True,True,,False,True,True,True,True
Connecticut,1831,1952.0,2007.1,1357.0,5793.0,,881.7,88.0,823.8,1045.6,1146.0,1230.0,918.4,2058.1,1917.0,891.7,1293.9,2189.0,,292.8,2073.4,,1861.5,1830.0,121.0,176.1,-474.0,3962.0,,-949.3,-1743.0,-1007.2,-785.4,-685.0,-601.0,-912.6,227.1,86.0,-939.3,-537.1,358.0,,-1538.2,242.4,,30.5,-1.0,False,False,False,,False,False,False,False,False,False,False,False,True,False,False,False,,False,False,,True,True
Delaware,1383,1042.0,1058.5,803.0,919.0,,639.2,41.0,874.8,518.8,1483.0,916.0,521.7,861.3,1010.7,791.4,607.7,1119.0,,650.9,1038.6,1334.1,846.3,816.0,-341.0,-324.5,-580.0,-464.0,,-743.8,-1342.0,-508.2,-864.2,100.0,-467.0,-861.3,-521.7,-372.3,-591.6,-775.3,-264.0,,-732.1,-344.4,-48.9,-536.7,-567.0,True,False,False,,False,False,False,False,True,False,False,False,False,False,False,True,,False,False,True,False,False
District of Columbia,568,782.0,773.3,651.0,951.0,,632.9,156.0,779.2,386.0,740.0,878.0,334.8,773.8,671.3,592.2,642.9,718.0,,404.5,854.9,,637.8,675.0,214.0,205.3,83.0,383.0,,64.9,-412.0,211.2,-182.0,172.0,310.0,-233.2,205.8,103.3,24.2,74.9,150.0,,-163.5,286.9,,69.8,107.0,True,True,False,,True,False,True,True,True,False,False,True,True,True,True,True,,True,False,,True,True
Florida,42568,42812.0,40473.8,37785.0,36403.0,,38817.2,35474.0,33713.8,20228.4,45966.0,65127.0,38296.5,39695.3,41961.3,31042.3,34617.1,28086.0,,23776.6,55208.3,36252.9,27320.3,33125.0,244.0,-2094.2,-4783.0,-6165.0,,-3750.8,-7094.0,-8854.2,-22339.6,3398.0,22559.0,-4271.5,-2872.7,-606.7,-11525.7,-7950.9,-14482.0,,-18791.4,12640.3,-6315.1,-15247.7,-9443.0,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False
Georgia,25147,31072.0,30910.5,26406.0,33001.0,,26122.4,30666.0,26534.0,14802.0,32670.0,31074.0,25293.7,23130.7,30528.6,20189.7,24410.9,24826.0,,22653.4,29454.3,28404.1,24048.5,26435.0,5925.0,5763.5,1259.0,7854.0,,975.4,5519.0,1387.0,-10345.0,7523.0,5927.0,146.7,-2016.3,5381.6,-4957.3,-736.1,-321.0,,-2493.6,4307.3,3257.1,-1098.5,1288.0,True,True,False,,True,True,True,False,False,False,True,True,True,True,True,True,,True,True,True,True,True
Hawaii,2449,3566.0,3600.8,3563.0,4204.0,,4075.7,2867.0,5732.4,2019.2,,,3407.3,4180.0,3825.2,3493.8,3129.7,4776.0,,5214.9,3538.9,4037.1,3936.3,3797.0,1117.0,1151.8,1114.0,1755.0,,1626.7,418.0,3283.4,-429.8,,,958.3,1731.0,1376.2,1044.8,680.7,2327.0,,2765.9,1089.9,1588.1,1487.3,1348.0,False,True,False,,False,True,False,True,,,True,False,False,True,True,False,,False,True,False,False,False
Idaho,3499,4018.0,3985.5,3918.0,3677.0,,3493.5,4234.0,9307.6,1917.9,4914.0,3644.0,5651.7,5442.4,4339.0,3027.2,3361.5,2984.0,,2211.2,3917.8,3703.4,3308.2,3024.0,519.0,486.5,419.0,178.0,,-5.5,735.0,5808.6,-1581.1,1415.0,145.0,2152.7,1943.4,840.0,-471.8,-137.5,-515.0,,-1287.8,418.8,204.4,-190.8,-475.0,True,True,True,,True,False,False,False,False,True,False,False,False,True,True,True,,False,True,True,True,True
