,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IHME-CurveFit,IowaStateLW-STEM,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IHME-CurveFit,error-IowaStateLW-STEM,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Alabama,70985,106296.0,,115348.4,115289.0,73279.4,110375.0,128462.3,83779.8,61089.0,35311.0,,44363.4,44304.0,2294.4,39390.0,57477.3,12794.8,-9896.0,,False,False,True,False,False,True,True
Alaska,4950,3288.0,,6635.0,2580.0,92.6,,5859.7,6480.6,24822.0,-1662.0,,1685.0,-2370.0,-4857.4,,909.7,1530.6,19872.0,,False,False,False,,True,True,False
Arizona,66863,170680.0,,254829.4,194893.0,148809.8,146175.0,118023.7,70490.1,80201.3,103817.0,,187966.4,128030.0,81946.8,79312.0,51160.7,3627.1,13338.3,,False,False,True,True,True,True,True
Arkansas,37577,37352.0,,40173.1,37016.0,15358.7,48225.0,24330.7,27477.6,18320.4,-225.0,,2596.1,-561.0,-22218.3,10648.0,-13246.3,-10099.4,-19256.6,,False,False,False,False,False,False,False
California,378188,495872.0,,662418.1,506252.0,879088.8,497608.0,507215.3,144255.0,76661.4,117684.0,,284230.1,128064.0,500900.8,119420.0,129027.3,-233933.0,-301526.6,,False,False,False,False,False,False,False
Colorado,21108,25576.0,,38472.6,3947.0,18099.7,21530.0,66606.7,38169.9,26092.2,4468.0,,17364.6,-17161.0,-3008.3,422.0,45498.7,17061.9,4984.2,,False,False,True,True,False,False,False
Connecticut,6445,4848.0,,2737.9,152.0,4781.6,1817.0,9477.7,4099.3,1638.5,-1597.0,,-3707.1,-6293.0,-1663.4,-4628.0,3032.7,-2345.7,-4806.5,,False,False,False,False,False,False,False
Delaware,5340,5488.0,,6536.2,683.0,1701.6,2395.0,9631.7,4544.6,8226.3,148.0,,1196.2,-4657.0,-3638.4,-2945.0,4291.7,-795.4,2886.3,,False,False,False,False,False,False,False
District of Columbia,3299,3144.0,,2140.3,576.0,7067.1,2693.0,4044.4,6670.6,554.6,-155.0,,-1158.7,-2723.0,3768.1,-606.0,745.4,3371.6,-2744.4,,False,False,False,False,False,False,False
Florida,324002,664464.0,,1018771.9,475789.0,673948.2,892403.0,465619.5,328989.5,200434.7,340462.0,,694769.9,151787.0,349946.2,568401.0,141617.5,4987.5,-123567.3,,False,True,False,False,True,True,True
Georgia,153025,203832.0,,327613.0,130233.0,113342.7,146215.0,475829.4,114955.4,237756.8,50807.0,,174588.0,-22792.0,-39682.3,-6810.0,322804.4,-38069.6,84731.8,,False,True,True,True,False,True,False
Hawaii,9368,1232.0,,2449.9,166.0,15.4,,2403.0,840.3,6767.0,-8136.0,,-6918.1,-9202.0,-9352.6,,-6965.0,-8527.7,-2601.0,,True,False,False,,True,False,True
Idaho,20864,30376.0,,73612.1,15204.0,21210.6,32536.0,30594.1,29310.4,21751.9,9512.0,,52748.1,-5660.0,346.6,11672.0,9730.1,8446.4,887.9,,False,True,True,False,False,True,True
Illinois,100214,61528.0,,66426.1,1074.0,60422.7,58200.0,79862.9,97079.3,74663.1,-38686.0,,-33787.9,-99140.0,-39791.3,-42014.0,-20351.1,-3134.7,-25550.9,,True,False,False,False,True,True,True
Indiana,48907,36600.0,,49219.9,6123.0,56865.8,34582.0,87517.6,133437.7,38263.1,-12307.0,,312.9,-42784.0,7958.8,-14325.0,38610.6,84530.7,-10643.9,,True,False,True,False,False,False,True
