,actual_cases,COVIDhub-baseline,CDDEP-SEIR_MCMC,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IHME-CurveFit,IowaStateLW-STEM,LANL-GrowthRate,MITCovAlliance-SIR,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CDDEP-SEIR_MCMC,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IHME-CurveFit,error-IowaStateLW-STEM,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CDDEP-SEIR_MCMC,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
01001,487,528.0,1476.0,269.0,,,,,759.0,433.0,,483.9,,,41.0,989.0,-218.0,,,,,272.0,-54.0,,-3.1,,,False,False,,,,,False,False,,True,,
01003,1721,2850.0,4859.3,979.0,,,,,3841.0,3643.9,,3213.5,,,1129.0,3138.3,-742.0,,,,,2120.0,1922.9,,1492.5,,,False,True,,,,,False,False,,False,,
01005,178,228.0,,185.0,,,,,365.0,88.1,,286.9,,,50.0,,7.0,,,,,187.0,-89.9,,108.9,,,,True,,,,,False,False,,False,,
01007,223,288.0,,409.0,,,,,274.0,176.3,,208.9,,,65.0,,186.0,,,,,51.0,-46.7,,-14.1,,,,False,,,,,True,True,,True,,
01009,652,810.0,770.0,648.0,,,,,750.0,1232.3,,1505.3,,,158.0,118.0,-4.0,,,,,98.0,580.3,,853.3,,,True,True,,,,,True,False,,False,,
01011,137,168.0,,33.0,,,,,189.0,28.7,,75.9,,,31.0,,-104.0,,,,,52.0,-108.3,,-61.1,,,,False,,,,,False,False,,False,,
01013,132,198.0,,212.0,,,,,379.0,81.1,,99.7,,,66.0,,80.0,,,,,247.0,-50.9,,-32.3,,,,False,,,,,False,True,,True,,
01015,1482,2454.0,2442.6,3494.0,,,,,1615.0,3495.1,,2049.1,,,972.0,960.6,2012.0,,,,,133.0,2013.1,,567.1,,,True,False,,,,,True,False,,True,,
01017,216,240.0,,181.0,,,,,409.0,84.3,,232.9,,,24.0,,-35.0,,,,,193.0,-131.7,,16.9,,,,False,,,,,False,False,,True,,
01019,248,180.0,,164.0,,,,,261.0,112.2,,190.3,,,-68.0,,-84.0,,,,,13.0,-135.8,,-57.7,,,,False,,,,,True,False,,True,,
01021,653,618.0,,366.0,,,,,733.0,706.0,,2405.1,,,-35.0,,-287.0,,,,,80.0,53.0,,1752.1,,,,False,,,,,False,False,,False,,
01023,59,90.0,,123.0,,,,,229.0,15.2,,66.2,,,31.0,,64.0,,,,,170.0,-43.8,,7.2,,,,False,,,,,False,False,,True,,
01025,532,288.0,,353.0,,,,,561.0,218.1,,350.2,,,-244.0,,-179.0,,,,,29.0,-313.9,,-181.8,,,,True,,,,,True,False,,True,,
01027,262,312.0,,441.0,,,,,126.0,205.4,,202.9,,,50.0,,179.0,,,,,-136.0,-56.6,,-59.1,,,,False,,,,,False,False,,False,,
01029,223,102.0,,181.0,,,,,102.0,21.3,,218.7,,,-121.0,,-42.0,,,,,-121.0,-201.7,,-4.3,,,,True,,,,,False,False,,True,,
01031,487,462.0,455.0,340.0,,,,,869.0,258.9,,576.8,,,-25.0,-32.0,-147.0,,,,,382.0,-228.1,,89.8,,,False,False,,,,,False,False,,False,,
01033,444,1104.0,1713.4,1053.0,,,,,888.0,1047.2,,1412.0,,,660.0,1269.4,609.0,,,,,444.0,603.2,,968.0,,,False,True,,,,,True,True,,False,,
