,predicted_cases,actual_cases,error,perc_error
USACE-ERDC_SEIR,1676784.0,1864903,-188119.0,-10.1%
USC-SI_kJalpha,1618734.0,1864903,-246169.0,-13.2%
Columbia_UNC-SurvCon,1601352.0,1864903,-263551.0,-14.1%
UCLA-SuEIR,2308983.0,1864903,444080.0,23.8%
CovidAnalytics-DELPHI,2374523.0,1864903,509620.0,27.3%
LANL-GrowthRate,1309451.0,1864903,-555452.0,-29.8%
IowaStateLW-STEM,2500473.0,1864903,635570.0,34.1%
COVIDhub-baseline,2648844.0,1864903,783941.0,42.0%
Covid19Sim-Simulator,2835509.7,1864903,970606.7,52.0%
IHME-CurveFit,4285418.7,1864903,2420515.7,129.8%
