,actual_cases,COVIDhub-baseline,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,IQVIA_ACOE-STAN,IowaStateLW-STEM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,OliverWyman-Navigator,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,Yu_Group-CLEP,error-COVIDhub-baseline,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-OliverWyman-Navigator,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,error-Yu_Group-CLEP,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-OliverWyman-Navigator,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-Yu_Group-CLEP
01001,127,90.0,99.1,,92.0,49.0,,,,,,163.0,138.7,72.7,,122.9,162.0,,201.0,109.0,,24.2,58.1,,,,,153.8,292.3,-37.0,-27.9,,-35.0,-78.0,,,,,,36.0,11.7,-54.3,,-4.1,35.0,,74.0,-18.0,,-102.8,-68.9,,,,,26.8,165.3,True,,True,False,,,,,,True,True,False,,True,True,,False,True,,False,False,,,,,True,False
01003,413,540.0,539.2,,608.0,780.0,,,,,,484.0,614.7,643.9,,786.8,673.4,,840.0,814.0,,79.2,733.3,684.0,,,,826.2,1489.4,127.0,126.2,,195.0,367.0,,,,,,71.0,201.7,230.9,,373.8,260.4,,427.0,401.0,,-333.8,320.3,271.0,,,,413.2,1076.4,True,,False,False,,,,,,True,False,False,,False,False,,False,False,,False,False,False,,,,False,False
01005,37,0.0,0.0,,24.0,25.0,,,,,,110.0,34.1,43.7,,8.2,37.0,,85.0,23.0,,23.6,11.6,,,,,27.9,168.0,-37.0,-37.0,,-13.0,-12.0,,,,,,73.0,-2.9,6.7,,-28.8,-0.0,,48.0,-14.0,,-13.4,-25.4,,,,,-9.1,131.0,False,,True,True,,,,,,False,True,True,,True,True,,False,True,,True,True,,,,,True,False
01007,46,40.0,34.8,,40.0,23.0,,,,,,90.0,98.9,49.4,,33.7,52.5,,,97.0,,25.5,55.6,,,,,72.5,180.1,-6.0,-11.2,,-6.0,-23.0,,,,,,44.0,52.9,3.4,,-12.3,6.5,,,51.0,,-20.5,9.6,,,,,26.5,134.1,False,,False,False,,,,,,False,False,True,,False,False,,,False,,False,False,,,,,False,False
01009,171,146.0,145.4,,148.0,163.0,,,,,,147.0,198.3,201.1,,102.2,157.7,,203.0,416.0,,11.6,148.5,,,,,217.4,649.8,-25.0,-25.6,,-23.0,-8.0,,,,,,-24.0,27.3,30.1,,-68.8,-13.3,,32.0,245.0,,-159.4,-22.5,,,,,46.4,478.8,False,,True,True,,,,,,True,False,False,,False,True,,False,False,,False,True,,,,,False,False
01011,23,16.0,13.7,,15.0,10.0,,,,,,77.0,24.6,15.2,,5.4,18.3,,,92.0,,21.0,14.4,,,,,25.5,111.5,-7.0,-9.3,,-8.0,-13.0,,,,,,54.0,1.6,-7.8,,-17.6,-4.7,,,69.0,,-2.0,-8.6,,,,,2.5,88.5,False,,False,False,,,,,,False,True,False,,False,True,,,False,,True,False,,,,,True,False
01013,33,50.0,55.1,,42.0,31.0,,,,,,79.0,49.1,18.9,,31.6,51.9,,136.0,188.0,,30.4,35.2,,,,,64.2,89.4,17.0,22.1,,9.0,-2.0,,,,,,46.0,16.1,-14.1,,-1.4,18.9,,103.0,155.0,,-2.6,2.2,,,,,31.2,56.4,False,,True,True,,,,,,False,True,True,,True,False,,False,False,,True,True,,,,,False,False
01015,523,364.0,350.3,,363.0,451.0,,,,,,303.0,374.4,492.8,,363.2,364.7,,485.0,702.0,,196.2,339.6,,,,,558.2,779.9,-159.0,-172.7,,-160.0,-72.0,,,,,,-220.0,-148.6,-30.2,,-159.8,-158.3,,-38.0,179.0,,-326.8,-183.4,,,,,35.2,256.9,False,,False,True,,,,,,False,True,True,,False,True,,True,False,,False,False,,,,,True,False
01017,61,0.0,0.0,,10.0,0.0,,,,,,84.0,45.0,52.3,,2.9,19.0,,118.0,19.0,,9.4,10.3,,,,,12.3,165.5,-61.0,-61.0,,-51.0,-61.0,,,,,,23.0,-16.0,-8.7,,-58.1,-42.0,,57.0,-42.0,,-51.5,-50.7,,,,,-48.7,104.5,False,,True,False,,,,,,True,True,True,,True,True,,True,True,,True,True,,,,,True,False
01019,100,22.0,19.3,,26.0,24.0,,,,,,55.0,83.3,72.3,,9.8,37.2,,52.0,0.0,,24.8,24.4,,,,,46.6,179.5,-78.0,-80.7,,-74.0,-76.0,,,,,,-45.0,-16.7,-27.7,,-90.2,-62.8,,-48.0,-100.0,,-75.2,-75.6,,,,,-53.4,79.5,False,,True,True,,,,,,True,True,True,,False,True,,True,False,,True,True,,,,,True,False
01021,217,226.0,233.5,,220.0,310.0,,,,,,156.0,212.5,131.7,,312.9,295.1,,239.0,390.0,,100.8,201.9,,,,,277.3,630.5,9.0,16.5,,3.0,93.0,,,,,,-61.0,-4.5,-85.3,,95.9,78.1,,22.0,173.0,,-116.2,-15.1,,,,,60.3,413.5,False,,True,False,,,,,,False,True,False,,False,False,,False,False,,False,False,,,,,False,False
01023,12,24.0,23.7,,20.0,17.0,,,,,,41.0,37.1,19.1,,0.7,12.3,,45.0,34.0,,1.5,26.1,,,,,32.4,18.7,12.0,11.7,,8.0,5.0,,,,,,29.0,25.1,7.1,,-11.3,0.3,,33.0,22.0,,-10.5,14.1,,,,,20.4,6.7,True,,True,True,,,,,,False,False,True,,True,True,,False,False,,True,False,,,,,False,True
01025,50,64.0,61.5,,72.0,110.0,,,,,,124.0,73.8,75.4,,38.8,58.3,,,140.0,,89.5,83.3,,,,,112.9,190.7,14.0,11.5,,22.0,60.0,,,,,,74.0,23.8,25.4,,-11.2,8.3,,,90.0,,39.5,33.3,,,,,62.9,140.7,True,,False,False,,,,,,False,False,False,,True,True,,,False,,False,False,,,,,False,False
01027,107,52.0,47.1,,46.0,30.0,,,,,,40.0,52.5,32.9,,39.1,57.6,,76.0,106.0,,9.9,48.9,,,,,72.6,65.0,-55.0,-59.9,,-61.0,-77.0,,,,,,-67.0,-54.5,-74.1,,-67.9,-49.4,,-31.0,-1.0,,-97.1,-58.1,,,,,-34.4,-42.0,False,,False,False,,,,,,False,True,False,,False,True,,True,True,,False,False,,,,,True,True
01029,113,48.0,36.6,,34.0,59.0,,,,,,31.0,87.8,23.0,,11.4,30.4,,49.0,11.0,,28.7,44.5,,,,,59.8,116.6,-65.0,-76.4,,-79.0,-54.0,,,,,,-82.0,-25.2,-90.0,,-101.6,-82.6,,-64.0,-102.0,,-84.3,-68.5,,,,,-53.2,3.6,False,,False,True,,,,,,False,True,False,,False,False,,True,False,,False,False,,,,,True,True
01031,136,98.0,118.8,,97.0,121.0,,,,,,198.0,137.3,135.9,,56.2,90.4,,176.0,0.0,,12.6,95.1,,,,,156.5,231.1,-38.0,-17.2,,-39.0,-15.0,,,,,,62.0,1.3,-0.1,,-79.8,-45.6,,40.0,-136.0,,-123.4,-40.9,,,,,20.5,95.1,True,,False,True,,,,,,False,True,True,,False,False,,False,False,,False,False,,,,,True,False
01033,86,162.0,166.6,,154.0,144.0,,,,,,178.0,166.0,121.2,,118.9,142.8,,270.0,291.0,,72.1,159.1,,,,,265.8,276.0,76.0,80.6,,68.0,58.0,,,,,,92.0,80.0,35.2,,32.9,56.8,,184.0,205.0,,-13.9,73.1,,,,,179.8,190.0,False,,True,True,,,,,,False,False,True,,True,True,,False,False,,True,True,,,,,False,False
01035,27,28.0,29.9,,22.0,14.0,,,,,,56.0,35.0,28.9,,4.4,20.4,0.0,68.0,0.0,,17.6,23.4,,,,,41.8,54.6,1.0,2.9,,-5.0,-13.0,,,,,,29.0,8.0,1.9,,-22.6,-6.6,-27.0,41.0,-27.0,,-9.4,-3.6,,,,,14.8,27.6,False,,False,False,,,,,,False,False,False,,False,False,False,False,False,,False,False,,,,,False,False
01037,20,0.0,0.0,,4.0,0.0,,,,,,25.0,16.6,14.0,,2.2,5.1,11.0,13.0,6.0,,2.8,5.4,,,,,5.4,41.3,-20.0,-20.0,,-16.0,-20.0,,,,,,5.0,-3.4,-6.0,,-17.8,-14.9,-9.0,-7.0,-14.0,,-17.2,-14.6,,,,,-14.6,21.3,False,,True,False,,,,,,True,True,True,,True,True,True,True,True,,True,True,,,,,True,False
01039,154,0.0,0.0,,38.0,32.0,,,,,,154.0,51.9,98.4,,14.7,42.3,38.1,108.0,10.0,,47.6,7.1,,,,,36.9,319.5,-154.0,-154.0,,-116.0,-122.0,,,,,,0.0,-102.1,-55.6,,-139.3,-111.7,-115.9,-46.0,-144.0,,-106.4,-146.9,,,,,-117.1,165.5,False,,True,True,,,,,,True,True,True,,True,True,True,True,True,,True,True,,,,,True,False
01041,41,44.0,44.4,,29.0,15.0,,,,,,60.0,53.6,39.2,,23.7,26.9,0.0,75.0,119.0,,2.3,71.7,,,,,60.9,172.8,3.0,3.4,,-12.0,-26.0,,,,,,19.0,12.6,-1.8,,-17.3,-14.1,-41.0,34.0,78.0,,-38.7,30.7,,,,,19.9,131.8,False,,False,False,,,,,,False,False,True,,False,False,False,False,False,,False,False,,,,,False,False
01043,133,126.0,109.4,,129.0,138.0,,,,,,250.0,187.9,221.4,,66.8,131.5,82.0,242.0,280.0,,13.0,132.4,,,,,200.5,473.5,-7.0,-23.6,,-4.0,5.0,,,,,,117.0,54.9,88.4,,-66.2,-1.5,-51.0,109.0,147.0,,-120.0,-0.6,,,,,67.5,340.5,False,,True,True,,,,,,False,False,False,,False,True,False,False,False,,False,True,,,,,False,False
01045,157,96.0,114.2,,96.0,194.0,,,,,,172.0,156.0,126.7,,63.9,97.7,72.1,172.0,0.0,,78.0,69.2,,,,,156.2,313.9,-61.0,-42.8,,-61.0,37.0,,,,,,15.0,-1.0,-30.3,,-93.1,-59.3,-84.9,15.0,-157.0,,-79.0,-87.8,,,,,-0.8,156.9,True,,False,True,,,,,,True,True,True,,False,True,False,True,False,,False,False,,,,,True,False
01047,106,20.0,18.4,,38.0,38.0,,,,,,171.0,63.1,63.3,,26.6,72.9,1.4,,112.0,,41.8,28.4,,,,,54.7,200.4,-86.0,-87.6,,-68.0,-68.0,,,,,,65.0,-42.9,-42.7,,-79.4,-33.1,-104.6,,6.0,,-64.2,-77.6,,,,,-51.3,94.4,False,,True,True,,,,,,True,True,True,,True,True,False,,True,,True,True,,,,,True,False
01049,120,136.0,134.0,,118.0,104.0,,,,,,221.0,194.6,149.3,,82.9,117.1,73.5,,167.0,,79.5,180.1,,,,,245.5,409.3,16.0,14.0,,-2.0,-16.0,,,,,,101.0,74.6,29.3,,-37.1,-2.9,-46.5,,47.0,,-40.5,60.1,,,,,125.5,289.3,True,,True,False,,,,,,False,False,False,,False,True,False,,False,,False,False,,,,,False,False
