,actual_cases,COVIDhub-baseline,CDDEP-SEIR_MCMC,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IHME-CurveFit,IowaStateLW-STEM,MITCovAlliance-SIR,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CDDEP-SEIR_MCMC,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IHME-CurveFit,error-IowaStateLW-STEM,error-MITCovAlliance-SIR,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CDDEP-SEIR_MCMC,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-MITCovAlliance-SIR,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
01001,701,1072.0,1175.6,,,,,922.0,,,,,371.0,474.6,,,,,221.0,,,,,False,,,,,True,,,,
01003,2990,4712.0,4789.6,,,,,5151.0,,5661.9,,,1722.0,1799.6,,,,,2161.0,,2671.9,,,False,,,,,False,,False,,
01005,292,568.0,,,,,,414.0,,,,,276.0,,,,,,122.0,,,,,,,,,,True,,,,
01007,326,312.0,,,,,,301.0,,,,,-14.0,,,,,,-25.0,,,,,,,,,,False,,,,
01009,985,1000.0,1091.0,,,,,1218.0,,,,,15.0,106.0,,,,,233.0,,,,,False,,,,,False,,,,
01011,188,120.0,,,,,,160.0,,,,,-68.0,,,,,,-28.0,,,,,,,,,,True,,,,
01013,212,160.0,,,,,,351.0,,,,,-52.0,,,,,,139.0,,,,,,,,,,False,,,,
01015,2251,1872.0,837.6,,,,,2597.0,,,,,-379.0,-1413.4,,,,,346.0,,,,,False,,,,,True,,,,
01017,323,448.0,,,,,,416.0,,,,,125.0,,,,,,93.0,,,,,,,,,,True,,,,
01019,331,280.0,,,,,,302.0,,,,,-51.0,,,,,,-29.0,,,,,,,,,,True,,,,
01021,915,832.0,,,,,,950.0,,,,,-83.0,,,,,,35.0,,,,,,,,,,True,,,,
01023,97,184.0,,,,,,174.0,,,,,87.0,,,,,,77.0,,,,,,,,,,True,,,,
01025,651,512.0,,,,,,581.0,,,,,-139.0,,,,,,-70.0,,,,,,,,,,True,,,,
01027,360,184.0,,,,,,86.0,,,,,-176.0,,,,,,-274.0,,,,,,,,,,False,,,,
01029,259,240.0,,,,,,101.0,,,,,-19.0,,,,,,-158.0,,,,,,,,,,False,,,,
01031,672,760.0,490.7,,,,,1304.0,,,,,88.0,-181.3,,,,,632.0,,,,,False,,,,,False,,,,
01033,795,1656.0,1355.0,,,,,988.0,,,,,861.0,560.0,,,,,193.0,,,,,True,,,,,True,,,,
01035,224,392.0,,,,,,222.0,72.2,,,,168.0,,,,,,-2.0,-151.8,,,,,,,,,True,True,,,
01037,86,32.0,,,,,,34.0,,,,,-54.0,,,,,,-52.0,,,,,,,,,,True,,,,
01039,666,848.0,,,,,,1009.0,307.4,,,,182.0,,,,,,343.0,-358.6,,,,,,,,,False,False,,,
01041,343,192.0,,,,,,194.0,39.9,,,,-151.0,,,,,,-149.0,-303.1,,,,,,,,,True,False,,,
01043,932,1624.0,1597.2,,,,,2450.0,952.0,1616.6,,,692.0,665.2,,,,,1518.0,20.0,684.6,,,True,,,,,False,True,True,,
01045,721,896.0,,,,,,1045.0,447.3,,,,175.0,,,,,,324.0,-273.7,,,,,,,,,False,False,,,
01047,568,840.0,,,,,,816.0,150.4,,,,272.0,,,,,,248.0,-417.6,,,,,,,,,True,False,,,
01049,979,2640.0,2471.6,,,,,2551.0,810.0,1890.4,,,1661.0,1492.6,,,,,1572.0,-169.0,911.4,,,True,,,,,True,True,True,,
01051,1162,1544.0,2317.6,,,,,1528.0,463.3,2736.3,,,382.0,1155.6,,,,,366.0,-698.7,1574.3,,,False,,,,,True,False,False,,
01053,874,912.0,,,,,,1222.0,231.7,,,,38.0,,,,,,348.0,-642.3,,,,,,,,,False,False,,,
01055,1842,2504.0,2448.2,,,,,2912.0,1078.7,1383.6,,,662.0,606.2,,,,,1070.0,-763.3,-458.4,,,True,,,,,False,False,True,,
01057,281,280.0,,,,,,161.0,136.8,,,,-1.0,,,,,,-120.0,-144.2,,,,,,,,,False,False,,,
01059,649,632.0,,,,,,956.0,84.4,,,,-17.0,,,,,,307.0,-564.6,,,,,,,,,False,False,,,
01061,349,304.0,,,,,,701.0,207.0,,,,-45.0,,,,,,352.0,-142.0,,,,,,,,,False,False,,,
01063,69,176.0,,,,,,70.0,2.9,,,,107.0,,,,,,1.0,-66.1,,,,,,,,,True,True,,,
01065,196,360.0,,,,,,247.0,103.6,,,,164.0,,,,,,51.0,-92.4,,,,,,,,,True,True,,,
