,actual_cases,COVIDhub-baseline,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Alabama,28559,26072.0,23557.2,23418.0,138110.0,,23450.4,11847.0,37831.8,,40807.0,25621.7,32770.7,13382.9,16398.9,18275.8,22890.6,,9786.1,19724.8,26765.0,95738.7,18391.0,-2487.0,-5001.8,-5141.0,109551.0,,-5108.6,-16712.0,9272.8,,12248.0,-2937.3,4211.7,-15176.1,-12160.1,-10283.2,-5668.4,,-18772.9,-8834.2,-1794.0,67179.7,-10168.0,False,False,False,,False,False,False,,False,False,False,False,False,False,False,,False,False,True,False,False
Alaska,4141,2088.0,2088.2,2076.0,620.0,,2390.4,1692.0,4515.8,,,2454.8,2245.4,2398.9,1563.8,1843.0,2177.5,,1074.5,1333.4,2014.3,2757.9,2203.0,-2053.0,-2052.8,-2065.0,-3521.0,,-1750.6,-2449.0,374.8,,,-1686.2,-1895.6,-1742.1,-2577.2,-2298.0,-1963.5,,-3066.5,-2807.6,-2126.7,-1383.1,-1938.0,True,False,False,,True,False,True,,,True,True,True,False,False,True,,False,False,False,True,True
Arizona,16908,19256.0,18526.8,16619.0,28740.0,,13201.9,4178.0,35427.7,,12753.0,17113.1,16968.2,8304.6,19721.9,15786.5,23456.5,,5170.0,17489.6,35168.3,26436.5,24702.0,2348.0,1618.8,-289.0,11832.0,,-3706.1,-12730.0,18519.7,,-4155.0,205.1,60.2,-8603.4,2813.9,-1121.5,6548.5,,-11738.0,581.6,18260.3,9528.5,7794.0,True,True,False,,False,False,False,,False,True,True,False,False,True,False,,False,True,False,False,False
Arkansas,23262,21800.0,21803.6,21112.0,29251.0,,18732.9,13149.0,36146.3,,23438.0,25346.1,36896.6,9384.4,27237.4,15054.0,19197.2,,11643.2,16638.8,17954.6,22026.2,15632.0,-1462.0,-1458.4,-2150.0,5989.0,,-4529.1,-10113.0,12884.3,,176.0,2084.1,13634.6,-13877.6,3975.4,-8208.0,-4064.8,,-11618.8,-6623.2,-5307.4,-1235.8,-7630.0,True,False,False,,False,False,False,,True,False,False,False,False,False,False,,False,False,False,True,False
California,91724,97520.0,91672.1,80392.0,143522.0,,72247.5,73565.0,163766.3,,99165.0,68454.3,89949.5,79200.8,72854.7,61478.3,87832.2,,36982.0,82984.5,118528.9,74364.8,82461.0,5796.0,-51.9,-11332.0,51798.0,,-19476.5,-18159.0,72042.3,,7441.0,-23269.7,-1774.5,-12523.2,-18869.3,-30245.7,-3891.8,,-54742.0,-8739.5,26804.9,-17359.2,-9263.0,True,False,False,,False,False,False,,False,False,True,False,False,False,True,,False,False,False,False,False
Colorado,20013,13840.0,14002.7,11444.0,31359.0,,10456.2,689.0,28001.6,,10782.0,13134.2,12035.3,9765.4,9384.2,11000.6,17031.6,,9141.5,8968.5,10492.6,33595.3,20208.0,-6173.0,-6010.3,-8569.0,11346.0,,-9556.8,-19324.0,7988.6,,-9231.0,-6878.8,-7977.7,-10247.6,-10628.8,-9012.4,-2981.4,,-10871.5,-11044.5,-9520.4,13582.3,195.0,True,False,False,,False,False,False,,False,False,False,False,False,False,True,,False,False,False,False,True
Connecticut,7303,4804.0,4848.9,3837.0,10158.0,,4479.6,15.0,3754.1,,3781.0,4682.3,3535.2,4831.4,4588.0,1650.8,4126.9,,418.5,4520.4,6091.7,3641.8,3213.0,-2499.0,-2454.1,-3466.0,2855.0,,-2823.4,-7288.0,-3548.9,,-3522.0,-2620.7,-3767.8,-2471.6,-2715.0,-5652.2,-3176.1,,-6884.5,-2782.6,-1211.3,-3661.2,-4090.0,True,False,False,,False,False,False,,False,False,False,True,False,False,False,,False,False,True,False,False
Delaware,3493,2892.0,2968.1,2410.0,2711.0,,3500.5,8.0,3576.9,,2178.0,3457.8,2422.9,1546.4,2280.4,1603.4,2839.4,,1171.1,2234.3,3105.7,2738.1,2401.0,-601.0,-524.9,-1083.0,-782.0,,7.5,-3485.0,83.9,,-1315.0,-35.2,-1070.1,-1946.6,-1212.6,-1889.6,-653.6,,-2321.9,-1258.7,-387.3,-754.9,-1092.0,True,False,False,,True,False,True,,False,True,False,False,False,False,False,,False,False,True,False,False
District of Columbia,1432,1636.0,1742.0,1148.0,789.0,,1106.1,77.0,1392.9,,1160.0,1234.7,1568.5,1158.2,942.8,949.9,1515.9,,877.6,1433.7,,1620.8,1993.0,204.0,310.0,-284.0,-643.0,,-325.9,-1355.0,-39.1,,-272.0,-197.3,136.5,-273.8,-489.2,-482.1,83.9,,-554.4,1.7,,188.8,561.0,False,False,False,,False,False,True,,False,True,True,False,False,False,True,,False,True,,True,False
Florida,71248,78648.0,79091.2,68127.0,102371.0,,64512.5,24690.0,189861.7,,73021.0,79725.3,75480.3,45155.6,36887.6,52863.0,80382.1,,26713.8,67295.8,94781.2,62901.4,59886.0,7400.0,7843.2,-3121.0,31123.0,,-6735.5,-46558.0,118613.7,,1773.0,8477.3,4232.3,-26092.4,-34360.4,-18385.0,9134.1,,-44534.2,-3952.2,23533.2,-8346.6,-11362.0,False,True,False,,True,False,False,,True,False,True,False,False,False,False,,False,True,False,False,False
