,count,mean,median,std,min,25%,75%,max
JHUAPL-Bucky,51,5595.4,4211.7,4802.8,60.2,1846.4,8075.4,20339.7
CEID-Walk,51,5687.0,5001.8,5613.2,79.7,1414.8,7454.6,27952.5
COVIDhub-baseline,51,5860.4,4851.0,5736.8,32.0,2000.5,7470.5,27920.0
LNQ-ens1,51,6041.7,4934.3,5786.0,83.9,1952.5,8462.0,26644.4
COVIDhub-ensemble,51,6688.9,6239.0,6292.4,62.0,2122.5,8405.0,29032.0
JCB-PRM,51,7080.8,5523.3,9156.3,35.2,2163.7,8572.9,59168.8
USC-SI_kJalpha,51,7447.4,6576.0,6788.4,93.0,2066.5,9429.5,28300.0
UMich-RidgeTfReg,50,7512.3,6410.1,6894.9,13.8,1582.4,10717.7,28227.9
IowaStateLW-STEM,49,7885.0,6946.0,7248.7,76.0,2139.6,9946.0,37555.0
Covid19Sim-Simulator,51,8516.2,6740.7,10389.1,7.5,2631.8,10432.7,65464.5
Karlen-pypm,51,8691.3,5633.9,11147.6,39.4,2432.2,10388.5,65915.8
UCLA-SuEIR,51,8750.0,6853.8,8805.3,1.7,2795.1,12954.1,45954.1
CU-select,51,9255.4,5489.0,16893.5,58.0,1902.5,10332.0,109551.0
USACE-ERDC_SEIR,51,10037.2,5700.3,18027.3,33.0,1524.4,10184.1,111475.7
LANL-GrowthRate,51,10447.3,8208.0,10246.0,174.1,4318.2,12235.9,59962.8
JHU_IDD-CovidSP,51,11349.7,8995.9,13765.1,78.9,3958.0,13663.3,86027.8
RobertWalraven-ESG,51,14171.1,10464.0,17077.2,73.5,6967.8,17165.2,108160.8
CovidAnalytics-DELPHI,51,15131.4,11117.0,15855.0,44.0,4535.5,18148.0,86091.0
DDS-NBDS,51,18419.3,5506.7,30521.9,22.7,1195.7,19125.9,151288.2
