,actual_cases,COVIDhub-baseline,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,OliverWyman-Navigator,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-OliverWyman-Navigator,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-OliverWyman-Navigator,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
01001,164,108.0,141.4,,101.0,124.0,,,,,153.4,,98.0,,82.3,57.7,,59.7,93.7,94.0,38.0,,103.2,,99.9,,,58.0,136.3,-56.0,-22.6,,-63.0,-40.0,,,,,-10.6,,-66.0,,-81.7,-106.3,,-104.3,-70.3,-70.0,-126.0,,-60.8,,-64.1,,,-106.0,-27.7,True,,False,True,,,,,True,,False,,False,False,,False,False,False,False,,False,,False,,,False,True
01003,316,1142.0,1141.3,,788.0,846.0,,,,,592.6,,367.0,,1307.6,655.3,,858.3,475.0,1820.0,152.0,,320.4,,979.9,1278.0,,32.0,77.6,826.0,825.3,,472.0,530.0,,,,,276.6,,51.0,,991.6,339.3,,542.3,159.0,1504.0,-164.0,,4.4,,663.9,962.0,,-284.0,-238.4,True,,True,True,,,,,True,,True,,False,True,,True,True,False,True,,True,,True,False,,True,True
01005,61,78.0,32.2,,41.0,28.0,,,,,90.1,,41.0,,49.3,27.6,,45.8,48.0,115.0,0.0,,14.3,,52.4,,,39.0,39.5,17.0,-28.8,,-20.0,-33.0,,,,,29.1,,-20.0,,-11.7,-33.4,,-15.2,-13.0,54.0,-61.0,,-46.7,,-8.6,,,-22.0,-21.5,False,,False,False,,,,,False,,False,,True,False,,True,True,False,False,,False,,True,,,False,False
01007,100,48.0,53.3,,48.0,14.0,,,,,84.5,,44.0,,51.7,28.0,,41.0,54.1,44.0,8.0,,66.3,,40.4,,,36.0,48.4,-52.0,-46.7,,-52.0,-86.0,,,,,-15.5,,-56.0,,-48.3,-72.0,,-59.0,-45.9,-56.0,-92.0,,-33.7,,-59.6,,,-64.0,-51.6,True,,False,False,,,,,True,,False,,True,False,,False,True,False,False,,True,,False,,,False,True
01009,178,88.0,38.1,,70.0,57.0,,,,,129.6,,130.0,,69.1,87.0,,45.4,68.8,72.0,27.0,,15.0,,79.1,,,28.0,219.4,-90.0,-139.9,,-108.0,-121.0,,,,,-48.4,,-48.0,,-108.9,-91.0,,-132.6,-109.2,-106.0,-151.0,,-163.0,,-98.9,,,-150.0,41.4,False,,False,False,,,,,True,,True,,False,False,,False,False,False,False,,False,,False,,,False,True
01011,22,18.0,19.7,,17.0,4.0,,,,,73.4,,22.0,,17.7,10.9,,2.3,13.3,14.0,14.0,,9.4,,17.3,,,3.0,22.6,-4.0,-2.3,,-5.0,-18.0,,,,,51.4,,0.0,,-4.3,-11.1,,-19.7,-8.7,-8.0,-8.0,,-12.6,,-4.7,,,-19.0,0.6,True,,False,False,,,,,False,,True,,False,False,,False,False,False,False,,False,,False,,,False,True
01013,73,24.0,16.0,,20.0,0.0,,,,,114.9,,36.0,,18.9,14.3,,7.3,21.2,15.0,21.0,,50.0,,23.3,,,6.0,17.9,-49.0,-57.0,,-53.0,-73.0,,,,,41.9,,-37.0,,-54.1,-58.7,,-65.7,-51.8,-58.0,-52.0,,-23.0,,-49.7,,,-67.0,-55.1,False,,False,False,,,,,True,,True,,False,False,,False,False,False,False,,True,,False,,,False,False
01015,424,290.0,293.4,,241.0,160.0,,,,,270.4,,284.0,,240.7,263.7,,228.8,241.6,235.0,307.0,,189.3,,236.1,,,91.0,420.4,-134.0,-130.6,,-183.0,-264.0,,,,,-153.6,,-140.0,,-183.3,-160.3,,-195.2,-182.4,-189.0,-117.0,,-234.7,,-187.9,,,-333.0,-3.6,True,,False,False,,,,,False,,False,,False,False,,False,False,False,True,,False,,False,,,False,True
01017,65,80.0,140.7,,45.0,64.0,,,,,156.8,,56.0,,42.8,49.5,,35.2,47.0,34.0,0.0,,11.4,,52.4,,,30.0,49.5,15.0,75.7,,-20.0,-1.0,,,,,91.8,,-9.0,,-22.2,-15.5,,-29.8,-18.0,-31.0,-65.0,,-53.6,,-12.6,,,-35.0,-15.5,False,,False,True,,,,,False,,True,,False,False,,False,False,False,False,,False,,True,,,False,False
01019,81,62.0,34.1,,54.0,89.0,,,,,60.4,,58.0,,54.7,47.2,,32.7,44.7,64.0,13.0,,11.5,,54.7,,,31.0,137.6,-19.0,-46.9,,-27.0,8.0,,,,,-20.6,,-23.0,,-26.3,-33.8,,-48.3,-36.3,-17.0,-68.0,,-69.5,,-26.3,,,-50.0,56.6,False,,False,True,,,,,False,,False,,False,False,,False,False,True,False,,False,,False,,,False,False
01021,144,110.0,149.1,,90.0,79.0,,,,,117.6,,91.0,,100.6,81.2,,81.5,112.4,109.0,28.0,,50.4,,84.4,,,75.0,267.5,-34.0,5.1,,-54.0,-65.0,,,,,-26.4,,-53.0,,-43.4,-62.8,,-62.5,-31.6,-35.0,-116.0,,-93.6,,-59.6,,,-69.0,123.5,True,,False,False,,,,,True,,False,,False,False,,False,True,False,False,,False,,False,,,False,False
01023,20,28.0,28.5,,26.0,11.0,,,,,56.9,,29.0,,21.0,11.1,,14.8,27.3,12.0,17.0,,122.9,,25.7,,,22.0,14.5,8.0,8.5,,6.0,-9.0,,,,,36.9,,9.0,,1.0,-8.9,,-5.2,7.3,-8.0,-3.0,,102.9,,5.7,,,2.0,-5.5,False,,True,False,,,,,False,,False,,True,False,,True,True,False,True,,False,,True,,,True,True
01025,114,104.0,97.0,,88.0,72.0,,,,,95.7,,78.0,,75.1,28.1,,88.2,93.9,96.0,0.0,,118.4,,99.0,,,60.0,62.7,-10.0,-17.0,,-26.0,-42.0,,,,,-18.3,,-36.0,,-38.9,-85.9,,-25.8,-20.1,-18.0,-114.0,,4.4,,-15.0,,,-54.0,-51.3,False,,False,False,,,,,False,,False,,False,False,,False,False,False,False,,True,,False,,,False,False
01027,94,46.0,43.1,,32.0,67.0,,,,,50.7,,24.0,,33.9,24.6,,17.6,40.7,47.0,5.0,,15.8,,31.7,,,28.0,80.8,-48.0,-50.9,,-62.0,-27.0,,,,,-43.3,,-70.0,,-60.1,-69.4,,-76.4,-53.3,-47.0,-89.0,,-78.2,,-62.3,,,-66.0,-13.2,False,,False,True,,,,,True,,False,,False,False,,False,False,True,False,,False,,False,,,False,True
01029,91,88.0,91.0,,67.0,69.0,,,,,53.1,,34.0,,120.6,22.7,,40.3,67.8,104.0,10.0,,26.9,,63.2,,,105.0,74.2,-3.0,0.0,,-24.0,-22.0,,,,,-37.9,,-57.0,,29.6,-68.3,,-50.7,-23.2,13.0,-81.0,,-64.2,,-27.8,,,14.0,-16.8,True,,False,False,,,,,False,,False,,False,False,,False,False,False,False,,False,,False,,,False,False
