,actual_cases,COVIDhub-baseline,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Geneva-DetGrowth,IBF-TimeSeries,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,OliverWyman-Navigator,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,Yu_Group-CLEP,error-COVIDhub-baseline,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Geneva-DetGrowth,error-IBF-TimeSeries,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-OliverWyman-Navigator,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,error-Yu_Group-CLEP,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Geneva-DetGrowth,beat_baseline-IBF-TimeSeries,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-OliverWyman-Navigator,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-Yu_Group-CLEP
01001,551,305.0,267.7,,193.0,160.0,,,,,,,,209.0,,406.3,124.3,,208.9,209.6,,206.0,150.0,,200.7,,257.7,,,,,113.6,990.2,-246.0,-283.3,,-358.0,-391.0,,,,,,,,-342.0,,-144.7,-426.7,,-342.1,-341.4,,-345.0,-401.0,,-350.3,,-293.3,,,,,-437.4,439.2,False,,False,False,,,,,,,,False,,True,False,,False,False,,False,False,,False,,False,,,,,False,False
01003,1598,1050.0,848.6,,773.0,6894.0,,,,,,,,550.0,,1023.2,1019.4,,906.0,744.3,,488.0,612.0,,951.2,,1131.5,530.0,,,,545.0,5313.2,-548.0,-749.4,,-825.0,5296.0,,,,,,,,-1048.0,,-574.8,-578.6,,-692.0,-853.7,,-1110.0,-986.0,,-646.8,,-466.5,-1068.0,,,,-1053.0,3715.2,False,,False,False,,,,,,,,False,,False,False,,False,False,,False,False,,False,,True,False,,,,False,False
01005,358,20.0,4.7,,15.0,0.0,,,,,,,,126.0,,155.1,57.0,,3.5,17.9,,,29.0,,3.1,,,,,,,13.7,228.8,-338.0,-353.3,,-343.0,-358.0,,,,,,,,-232.0,,-202.9,-301.0,,-354.5,-340.1,,,-329.0,,-354.9,,,,,,,-344.3,-129.2,False,,False,False,,,,,,,,True,,True,True,,False,False,,,True,,False,,,,,,,False,True
01007,201,130.0,101.7,,75.0,23.0,,,,,,,,97.0,,335.6,93.0,,37.7,75.2,,,71.0,,52.1,,,,,,,61.2,1776.0,-71.0,-99.3,,-126.0,-178.0,,,,,,,,-104.0,,134.6,-108.0,,-163.3,-125.8,,,-130.0,,-148.9,,,,,,,-139.8,1575.0,False,,False,False,,,,,,,,False,,False,False,,False,False,,,False,,False,,,,,,,False,False
01009,693,260.0,202.6,,184.0,676.0,,,,,,,,183.0,,468.2,308.7,,186.0,188.6,,123.0,127.0,,111.6,,186.2,,,,,100.9,4051.4,-433.0,-490.4,,-509.0,-17.0,,,,,,,,-510.0,,-224.8,-384.3,,-507.0,-504.4,,-570.0,-566.0,,-581.4,,-506.8,,,,,-592.1,3358.4,False,,False,True,,,,,,,,False,,True,True,,False,False,,False,False,,False,,False,,,,,False,False
01011,82,40.0,27.4,,31.0,,,,,,,,,133.0,,45.9,21.8,,20.5,39.5,,,27.0,,11.9,,,,,,,16.9,327.4,-42.0,-54.6,,-51.0,,,,,,,,,51.0,,-36.1,-60.2,,-61.5,-42.5,,,-55.0,,-70.1,,,,,,,-65.1,245.4,False,,False,,,,,,,,,False,,True,False,,False,False,,,False,,False,,,,,,,False,False
01013,130,60.0,57.5,,48.0,104.0,,,,,,,,80.0,,234.2,27.9,,5.8,38.0,,,9.0,,34.6,,,,,,,41.2,63.5,-70.0,-72.5,,-82.0,-26.0,,,,,,,,-50.0,,104.2,-102.1,,-124.2,-92.0,,,-121.0,,-95.4,,,,,,,-88.8,-66.5,False,,False,True,,,,,,,,True,,False,False,,False,False,,,False,,False,,,,,,,False,True
01015,1338,905.0,668.2,,651.0,6579.0,,,,,,,,462.0,,1024.0,896.1,,741.3,784.9,,706.0,40.0,,149.1,,497.1,,,,,459.3,2223.9,-433.0,-669.8,,-687.0,5241.0,,,,,,,,-876.0,,-314.0,-441.9,,-596.7,-553.1,,-632.0,-1298.0,,-1188.9,,-840.9,,,,,-878.7,885.9,False,,False,False,,,,,,,,False,,True,False,,False,False,,False,False,,False,,False,,,,,False,False
01017,404,50.0,44.9,,37.0,41.0,,,,,,,,110.0,,188.5,97.6,,5.1,22.4,,,78.0,,12.1,,,,,,,11.3,366.6,-354.0,-359.1,,-367.0,-363.0,,,,,,,,-294.0,,-215.5,-306.4,,-398.9,-381.6,,,-326.0,,-391.9,,,,,,,-392.7,-37.4,False,,False,False,,,,,,,,True,,True,True,,False,False,,,True,,False,,,,,,,False,True
01019,321,140.0,98.4,,99.0,67.0,,,,,,,,73.0,,259.4,118.8,,148.3,147.0,,217.0,24.0,,28.9,,,,,,,24.8,1800.5,-181.0,-222.6,,-222.0,-254.0,,,,,,,,-248.0,,-61.6,-202.2,,-172.7,-174.0,,-104.0,-297.0,,-292.1,,,,,,,-296.2,1479.5,False,,False,False,,,,,,,,False,,True,False,,True,True,,True,False,,False,,,,,,,False,False
01021,545,420.0,341.6,,244.0,983.0,,,,,,,,173.0,,603.8,223.3,,291.9,239.6,,243.0,240.0,,118.4,,234.2,,,,,177.4,2628.9,-125.0,-203.4,,-301.0,438.0,,,,,,,,-372.0,,58.8,-321.7,,-253.1,-305.4,,-302.0,-305.0,,-426.6,,-310.8,,,,,-367.6,2083.9,False,,False,False,,,,,,,,False,,True,False,,False,False,,False,False,,False,,False,,,,,False,False
01023,62,20.0,15.1,,16.0,37.0,,,,,,,,35.0,,168.5,31.0,,8.0,23.0,,,16.0,,4.7,,,,,,,18.5,38.6,-42.0,-46.9,,-46.0,-25.0,,,,,,,,-27.0,,106.5,-31.0,,-54.0,-39.0,,,-46.0,,-57.3,,,,,,,-43.5,-23.4,False,,False,True,,,,,,,,True,,False,True,,False,True,,,False,,False,,,,,,,False,True
