,actual_cases,COVIDhub-baseline,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Alabama,21172,22281.0,21107.4,18409.0,20425.0,,16674.2,7924.0,30088.5,,28115.0,17699.0,21482.5,11211.0,12431.2,16084.2,19628.4,52318.0,,,3920.8,17647.5,23241.1,5454.0,19618.0,1109.0,-64.6,-2763.0,-747.0,,-4497.8,-13248.0,8916.5,,6943.0,-3473.0,310.5,-9961.0,-8740.8,-5087.8,-1543.6,31146.0,,,-17251.2,-3524.5,2069.1,-15718.0,-1554.0,True,False,True,,False,False,False,,False,False,True,False,False,False,False,False,,,False,False,False,False,False
Alaska,3436,1914.0,1903.5,1839.0,595.0,,2073.1,1434.0,3149.1,,,2276.5,1870.6,1811.7,1293.7,1921.4,1984.6,2491.0,,1542.3,1184.7,1411.0,1681.9,3148.1,2032.0,-1522.0,-1532.5,-1597.0,-2841.0,,-1362.9,-2002.0,-286.9,,,-1159.5,-1565.4,-1624.3,-2142.3,-1514.6,-1451.4,-945.0,,-1893.7,-2251.3,-2025.0,-1754.1,-287.9,-1404.0,False,False,False,,True,False,True,,,True,False,False,False,True,True,True,,False,False,False,False,True,True
Arizona,13633,9825.0,9443.7,8666.0,8618.0,,11282.5,2550.0,16969.9,,11506.0,11150.8,8482.1,8538.1,10872.9,6373.2,9055.2,14602.0,,3881.6,0.0,8518.2,23618.7,8516.4,5116.0,-3808.0,-4189.3,-4967.0,-5015.0,,-2350.5,-11083.0,3336.9,,-2127.0,-2482.2,-5150.9,-5094.9,-2760.1,-7259.8,-4577.8,969.0,,-9751.4,-13633.0,-5114.8,9985.7,-5116.6,-8517.0,False,False,False,,True,False,True,,True,True,False,False,True,False,False,True,,False,False,False,False,False,False
Arkansas,17667,16785.0,16728.2,16085.0,16614.0,,16762.3,11036.0,26517.1,,17517.0,22109.5,17421.9,7717.1,21603.4,11810.4,14810.2,22732.0,,8193.0,9113.4,13044.8,15114.2,13145.9,15252.0,-882.0,-938.8,-1582.0,-1053.0,,-904.7,-6631.0,8850.1,,-150.0,4442.5,-245.1,-9949.9,3936.4,-5856.6,-2856.8,5065.0,,-9474.0,-8553.6,-4622.2,-2552.8,-4521.1,-2415.0,False,False,False,,False,False,False,,True,False,True,False,False,False,False,False,,False,False,False,False,False,False
California,67081,72414.0,72242.4,63277.0,77394.0,,58565.8,48483.0,110417.4,,73523.0,65362.1,62800.0,71820.7,51217.7,46278.1,70329.2,77560.0,,39845.3,183062.2,59632.3,88247.8,63061.9,68435.0,5333.0,5161.4,-3804.0,10313.0,,-8515.2,-18598.0,43336.4,,6442.0,-1718.9,-4281.0,4739.7,-15863.3,-20802.9,3248.2,10479.0,,-27235.7,115981.2,-7448.7,21166.8,-4019.1,1354.0,True,True,False,,False,False,False,,False,True,True,True,False,False,True,False,,False,False,False,False,True,True
Colorado,15859,12459.0,12004.3,12007.0,24590.0,,11674.4,664.0,14874.1,,14732.0,17572.3,11979.7,11544.2,10914.1,9652.7,13659.6,20057.0,,7679.9,9975.4,9527.0,9219.7,15379.4,17826.0,-3400.0,-3854.7,-3852.0,8731.0,,-4184.6,-15195.0,-984.9,,-1127.0,1713.3,-3879.3,-4314.8,-4944.9,-6206.3,-2199.4,4198.0,,-8179.1,-5883.6,-6332.0,-6639.3,-479.6,1967.0,False,False,False,,False,False,True,,True,True,False,False,False,False,True,False,,False,False,False,False,True,True
Connecticut,6243,3180.0,3175.1,2938.0,5947.0,,3063.5,7.0,4884.0,,3151.0,2918.1,3047.4,6655.0,3633.9,1159.9,2443.0,3038.0,,295.0,0.0,2764.0,3041.9,2081.9,1909.0,-3063.0,-3067.9,-3305.0,-296.0,,-3179.5,-6236.0,-1359.0,,-3092.0,-3324.9,-3195.6,412.0,-2609.1,-5083.1,-3800.0,-3205.0,,-5948.0,-6243.0,-3479.0,-3201.1,-4161.1,-4334.0,False,False,True,,False,False,True,,False,False,False,True,True,False,False,False,,False,False,False,False,False,False
Delaware,2786,2121.0,2079.3,1721.0,1548.0,,2198.5,4.0,2401.4,,1640.0,2487.2,1726.1,1910.6,1864.4,1519.7,1991.2,2054.0,,1300.0,621.2,1637.2,2163.5,1891.7,1620.0,-665.0,-706.7,-1065.0,-1238.0,,-587.5,-2782.0,-384.6,,-1146.0,-298.8,-1059.9,-875.4,-921.6,-1266.3,-794.8,-732.0,,-1486.0,-2164.8,-1148.8,-622.5,-894.3,-1166.0,False,False,False,,True,False,True,,False,True,False,False,False,False,False,False,,False,False,False,True,False,False
District of Columbia,1119,939.0,945.3,757.0,558.0,,768.4,50.0,1061.9,,643.0,1081.8,717.4,1124.4,713.6,676.0,897.6,1025.0,,183.4,838.1,814.5,,831.4,934.0,-180.0,-173.7,-362.0,-561.0,,-350.6,-1069.0,-57.1,,-476.0,-37.2,-401.6,5.4,-405.4,-443.0,-221.4,-94.0,,-935.6,-280.9,-304.5,,-287.6,-185.0,True,False,False,,False,False,True,,False,True,False,True,False,False,False,True,,False,False,False,,False,False
Florida,53799,52347.0,49513.5,44782.0,66469.0,,44963.9,17578.0,86688.8,,48566.0,54015.5,44308.6,47720.4,25591.4,35549.4,50462.8,59852.0,,20488.6,0.0,42642.9,72460.3,40617.0,47145.0,-1452.0,-4285.5,-9017.0,12670.0,,-8835.1,-36221.0,32889.8,,-5233.0,216.5,-9490.4,-6078.6,-28207.6,-18249.6,-3336.2,6053.0,,-33310.4,-53799.0,-11156.1,18661.3,-13182.0,-6654.0,False,False,False,,False,False,False,,False,True,False,False,False,False,False,False,,False,False,False,False,False,False
