,predicted_cases,actual_cases,error,perc_error
Columbia_UNC-SurvCon,1877756.0,1869147,8609.0,0.5%
IowaStateLW-STEM,1792095.0,1869147,-77052.0,-4.1%
COVIDhub-baseline,1703256.0,1869147,-165891.0,-8.9%
IBF-TimeSeries,1489559.5,1869147,-379587.5,-20.3%
USACE-ERDC_SEIR,1448119.1,1869147,-421027.9,-22.5%
JCB-PRM,1424063.6,1869147,-445083.4,-23.8%
JHU_IDD-CovidSP,1339924.8,1869147,-529222.2,-28.3%
USC-SI_kJalpha,1236258.0,1869147,-632889.0,-33.9%
CU-select,2522875.0,1869147,653728.0,35.0%
Covid19Sim-Simulator,1187581.5,1869147,-681565.5,-36.5%
UCLA-SuEIR,1118279.2,1869147,-750867.8,-40.2%
CovidAnalytics-DELPHI,943586.0,1869147,-925561.0,-49.5%
LANL-GrowthRate,795278.2,1869147,-1073868.8,-57.5%
RobertWalraven-ESG,776729.9,1869147,-1092417.1,-58.4%
