,predicted_cases,actual_cases,error,perc_error
COVIDhub-baseline,2447576.0,2441298,6278.0,0.3%
IowaStateLW-STEM,2357509.0,2441298,-83789.0,-3.4%
UCLA-SuEIR,1951156.0,2441298,-490142.0,-20.1%
CU-select,1828433.0,2441298,-612865.0,-25.1%
QJHong-Encounter,1599420.3,2441298,-841877.7,-34.5%
JHU_IDD-CovidSP,1511834.9,2441298,-929463.1,-38.1%
Karlen-pypm,1425214.9,2441298,-1016083.1,-41.6%
Covid19Sim-Simulator,1415333.0,2441298,-1025965.0,-42.0%
CovidAnalytics-DELPHI,1360402.0,2441298,-1080896.0,-44.3%
USACE-ERDC_SEIR,1352546.3,2441298,-1088751.7,-44.6%
RobertWalraven-ESG,1350652.8,2441298,-1090645.2,-44.7%
Columbia_UNC-SurvCon,1291674.0,2441298,-1149624.0,-47.1%
CEID-Walk,1221269.3,2441298,-1220028.7,-50.0%
USC-SI_kJalpha,1180096.0,2441298,-1261202.0,-51.7%
TTU-squider,1108350.1,2441298,-1332947.9,-54.6%
DDS-NBDS,1083732.2,2441298,-1357565.8,-55.6%
LANL-GrowthRate,985851.4,2441298,-1455446.6,-59.6%
COVIDhub-ensemble,959543.0,2441298,-1481755.0,-60.7%
UMich-RidgeTfReg,954017.4,2441298,-1487280.6,-60.9%
LNQ-ens1,917151.4,2441298,-1524146.6,-62.4%
OliverWyman-Navigator,740720.0,2441298,-1700578.0,-69.7%
Geneva-DetGrowth,264866.5,2441298,-2176431.5,-89.2%
IQVIA_ACOE-STAN,,2441298,,
