,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IowaStateLW-STEM,LANL-GrowthRate,MITCovAlliance-SIR,RobertWalraven-ESG,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IowaStateLW-STEM,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IowaStateLW-STEM,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
01001,561,315.0,,,,540.0,319.3,,46.5,106.4,,,-246.0,,,,-21.0,-241.7,,-514.5,-454.6,,,,,,True,True,,False,False,,
01003,1848,1890.0,,,,1564.0,2605.9,,116.4,2740.7,,,42.0,,,,-284.0,757.9,,-1731.6,892.7,,,,,,False,False,,False,False,,
01005,226,0.0,,,,364.0,13.9,,48.7,61.6,,,-226.0,,,,138.0,-212.1,,-177.3,-164.4,,,,,,True,True,,True,True,,
01007,233,140.0,,,,296.0,82.0,,56.4,204.3,,,-93.0,,,,63.0,-151.0,,-176.6,-28.7,,,,,,True,False,,False,True,,
01009,536,511.0,,,,486.0,298.0,,21.6,422.9,,,-25.0,,,,-50.0,-238.0,,-514.4,-113.1,,,,,,False,False,,False,False,,
01011,78,56.0,,,,255.0,12.3,,54.2,39.7,,,-22.0,,,,177.0,-65.7,,-23.8,-38.3,,,,,,False,False,,False,False,,
01013,138,175.0,,,,259.0,60.1,,88.2,71.0,,,37.0,,,,121.0,-77.9,,-49.8,-67.0,,,,,,False,False,,False,False,,
01015,1571,1274.0,,,,985.0,988.9,,398.9,913.7,,,-297.0,,,,-586.0,-582.1,,-1172.1,-657.3,,,,,,False,False,,False,False,,
01017,237,0.0,,,,263.0,6.0,,14.3,63.1,,,-237.0,,,,26.0,-231.0,,-222.7,-173.9,,,,,,True,True,,True,True,,
01019,304,77.0,,,,179.0,18.6,,55.1,68.7,,,-227.0,,,,-125.0,-285.4,,-248.9,-235.3,,,,,,True,False,,False,False,,
