,actual_cases,COVIDhub-baseline,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Geneva-DetGrowth,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMich-RidgeTfReg,USC-SI_kJalpha,error-COVIDhub-baseline,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Geneva-DetGrowth,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Geneva-DetGrowth,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha
Alabama,13282,13578.0,12976.4,11488.0,13032.0,,13693.7,7422.0,11565.2,6926.0,15305.0,10716.0,12845.7,11437.0,,8119.4,8515.4,12325.1,13577.4,14427.0,,10494.3,1703.0,10083.0,14991.7,13213.0,296.0,-305.6,-1794.0,-250.0,,411.7,-5860.0,-1716.8,-6356.0,2023.0,-2566.0,-436.3,-1845.0,,-5162.6,-4766.6,-956.9,295.4,1145.0,,-2787.7,-11579.0,-3199.0,1709.7,-69.0,False,False,True,,False,False,False,False,False,False,False,False,,False,False,False,True,False,,False,False,False,False,True
Alaska,2543,1700.0,1728.4,1715.0,1709.0,,1429.4,1157.0,1467.3,851.1,,,2045.9,1750.9,2938.6,1159.7,1929.7,1824.6,2036.5,2389.0,,2371.4,760.9,1336.5,1626.3,1674.0,-843.0,-814.6,-828.0,-834.0,,-1113.6,-1386.0,-1075.7,-1691.9,,,-497.1,-792.1,395.6,-1383.3,-613.3,-718.4,-506.5,-154.0,,-171.6,-1782.1,-1206.5,-916.7,-869.0,True,True,True,,False,False,False,False,,,True,True,True,False,True,True,True,True,,True,False,False,False,False
Arizona,10060,7146.0,6718.0,6445.0,7265.0,,7847.6,1389.0,6786.9,3578.8,7487.0,5574.0,8688.3,6150.4,9171.1,4483.1,6949.4,5478.0,6066.2,7612.0,,3732.6,0.0,6900.9,11872.6,6033.0,-2914.0,-3342.0,-3615.0,-2795.0,,-2212.4,-8671.0,-3273.1,-6481.2,-2573.0,-4486.0,-1371.7,-3909.6,-888.9,-5576.9,-3110.6,-4582.0,-3993.8,-2448.0,,-6327.4,-10060.0,-3159.1,1812.6,-4027.0,False,False,True,,True,False,False,False,True,False,True,False,True,False,False,False,False,True,,False,False,False,True,False
Arkansas,11897,11540.0,11550.7,10505.0,10369.0,,12339.3,8650.0,8695.2,5918.2,12217.0,12484.0,14862.2,11980.8,10899.1,5778.8,14336.5,8423.5,10150.4,13518.0,,7294.4,5463.9,9619.9,10992.1,11115.0,-357.0,-346.3,-1392.0,-1528.0,,442.3,-3247.0,-3201.8,-5978.8,320.0,587.0,2965.2,83.8,-997.9,-6118.2,2439.5,-3473.5,-1746.6,1621.0,,-4602.6,-6433.1,-2277.1,-904.9,-782.0,True,False,False,,False,False,False,False,True,False,False,True,False,False,False,False,False,False,,False,False,False,False,False
California,44093,44140.0,44818.7,41352.0,41358.0,,43939.2,26345.0,43384.1,21921.1,45403.0,35749.0,44098.9,40699.8,58461.8,47173.8,32541.7,37455.6,45858.6,45711.0,,36932.3,10442.4,36354.5,51846.3,42969.0,47.0,725.7,-2741.0,-2735.0,,-153.8,-17748.0,-708.9,-22171.9,1310.0,-8344.0,5.9,-3393.2,14368.8,3080.8,-11551.3,-6637.4,1765.6,1618.0,,-7160.7,-33650.6,-7738.5,7753.3,-1124.0,False,False,False,,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,False,False,False,False,False
Colorado,11813,8088.0,7852.2,7869.0,8076.0,,9136.7,5749.0,9576.6,4043.5,7798.0,7482.0,11358.2,7009.8,9791.4,8842.2,7284.3,6983.3,8349.8,11406.0,,6723.1,6644.2,6319.8,6700.0,7840.0,-3725.0,-3960.8,-3944.0,-3737.0,,-2676.3,-6064.0,-2236.4,-7769.5,-4015.0,-4331.0,-454.8,-4803.2,-2021.6,-2970.8,-4528.7,-4829.7,-3463.2,-407.0,,-5089.9,-5168.8,-5493.2,-5113.0,-3973.0,False,False,False,,True,False,True,False,False,False,True,False,True,True,False,False,True,True,,False,False,False,False,False
Connecticut,4533,3420.0,3464.2,2889.0,5292.0,,2946.2,1258.0,3804.2,1449.4,2074.0,2493.0,2133.1,3289.2,,5129.6,2598.4,1884.7,2883.4,3796.0,,629.9,4187.5,3047.3,2229.8,3228.0,-1113.0,-1068.8,-1644.0,759.0,,-1586.8,-3275.0,-728.8,-3083.6,-2459.0,-2040.0,-2399.9,-1243.8,,596.6,-1934.6,-2648.3,-1649.6,-737.0,,-3903.2,-345.5,-1485.7,-2303.2,-1305.0,True,False,True,,False,False,True,False,False,False,False,False,,True,False,False,False,True,,False,True,False,False,False
Delaware,1817,1938.0,1884.7,1648.0,2781.0,,1573.4,713.0,2091.6,1022.5,1804.0,1122.0,1695.1,1527.5,,1782.7,1355.7,1616.3,2045.3,3627.0,,2420.7,377.9,1641.4,1550.7,1992.0,121.0,67.7,-169.0,964.0,,-243.6,-1104.0,274.6,-794.5,-13.0,-695.0,-121.9,-289.5,,-34.3,-461.3,-200.7,228.3,1810.0,,603.7,-1439.1,-175.6,-266.3,175.0,True,False,False,,False,False,False,False,True,False,False,False,,True,False,False,False,False,,False,False,False,False,False
District of Columbia,861,516.0,228.6,438.0,430.0,,574.8,67.0,725.8,259.3,224.0,405.0,625.9,429.3,,978.5,468.3,484.4,605.0,154.0,,355.1,531.8,461.9,,481.0,-345.0,-632.4,-423.0,-431.0,,-286.2,-794.0,-135.2,-601.7,-637.0,-456.0,-235.1,-431.7,,117.5,-392.7,-376.6,-256.0,-707.0,,-505.9,-329.2,-399.1,,-380.0,False,False,False,,True,False,True,False,False,False,True,False,,True,False,False,True,False,,False,True,False,,False
Florida,37890,31818.0,31144.1,28419.0,29896.0,,32092.8,11296.0,32925.2,15347.1,33382.0,25847.0,36162.1,28419.3,41817.7,29363.4,16000.2,24764.2,30325.3,33833.0,,21307.9,0.0,27397.4,39459.9,28764.0,-6072.0,-6745.9,-9471.0,-7994.0,,-5797.2,-26594.0,-4964.8,-22542.9,-4508.0,-12043.0,-1727.9,-9470.7,3927.7,-8526.6,-21889.8,-13125.8,-7564.7,-4057.0,,-16582.1,-37890.0,-10492.6,1569.9,-9126.0,False,False,False,,True,False,True,False,True,False,True,False,True,False,False,False,False,True,,False,False,False,True,False
