,actual_cases,COVIDhub-baseline,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,OliverWyman-Navigator,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,Yu_Group-CLEP,error-COVIDhub-baseline,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-OliverWyman-Navigator,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,error-Yu_Group-CLEP,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-OliverWyman-Navigator,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-Yu_Group-CLEP
01001,84,80.0,93.1,,68.0,59.0,,,,,,112.8,,,50.0,,68.4,24.3,,58.9,66.4,,75.0,170.0,,,,78.6,,,,61.0,94.2,,-4.0,9.1,,-16.0,-25.0,,,,,,28.8,,,-34.0,,-15.6,-59.7,,-25.1,-17.6,,-9.0,86.0,,,,-5.4,,,,-23.0,10.2,,False,,False,False,,,,,,False,,,False,,False,False,,False,False,,False,False,,,,False,,,,False,False,
01003,174,142.0,184.9,,146.0,191.0,,,,,,383.6,,,212.0,,132.9,218.5,,76.1,147.9,,,324.0,,,,130.9,235.0,,,0.0,143.2,,-32.0,10.9,,-28.0,17.0,,,,,,209.6,,,38.0,,-41.1,44.5,,-97.9,-26.1,,,150.0,,,,-43.1,61.0,,,-174.0,-30.8,,True,,True,True,,,,,,False,,,False,,False,False,,False,True,,,False,,,,False,False,,,False,True,
01005,38,21.0,14.2,,20.0,16.0,,,,,,44.0,,,21.0,,28.0,14.4,,7.1,18.1,,22.0,87.0,,,,,,,,30.0,49.5,,-17.0,-23.8,,-18.0,-22.0,,,,,,6.0,,,-17.0,,-10.0,-23.6,,-30.9,-19.9,,-16.0,49.0,,,,,,,,-8.0,11.5,,False,,False,False,,,,,,True,,,False,,True,False,,False,False,,True,False,,,,,,,,True,True,
01007,49,48.0,44.3,,42.0,19.0,,,,,,52.4,,,23.0,,43.0,13.5,,40.7,43.7,,55.0,101.0,,,,,,,,49.0,25.6,,-1.0,-4.7,,-7.0,-30.0,,,,,,3.4,,,-26.0,,-6.0,-35.5,,-8.3,-5.3,,6.0,52.0,,,,,,,,0.0,-23.4,,False,,False,False,,,,,,False,,,False,,False,False,,False,False,,False,False,,,,,,,,True,False,
01009,117,49.0,64.4,,49.0,31.0,,,,,,90.9,,,76.0,,41.4,30.8,,42.7,63.0,,48.0,77.0,,,,49.0,,,,26.0,112.7,21.7,-68.0,-52.6,,-68.0,-86.0,,,,,,-26.1,,,-41.0,,-75.6,-86.2,,-74.3,-54.0,,-69.0,-40.0,,,,-68.0,,,,-91.0,-4.3,-95.3,True,,False,False,,,,,,True,,,True,,False,False,,False,True,,False,True,,,,False,,,,False,True,False
01011,9,10.0,10.0,,9.0,0.0,,,,,,32.5,,,8.0,,9.5,4.6,,3.5,8.7,,6.0,26.0,,,,,,,,0.0,13.2,,1.0,1.0,,0.0,-9.0,,,,,,23.5,,,-1.0,,0.5,-4.4,,-5.5,-0.3,,-3.0,17.0,,,,,,,,-9.0,4.2,,False,,True,False,,,,,,False,,,False,,True,False,,False,True,,False,False,,,,,,,,False,False,
01013,39,28.0,32.5,,21.0,0.0,,,,,,54.6,,,18.0,,20.7,5.9,,22.1,29.2,,28.0,74.0,,,,,,,,21.0,15.8,,-11.0,-6.5,,-18.0,-39.0,,,,,,15.6,,,-21.0,,-18.3,-33.1,,-16.9,-9.8,,-11.0,35.0,,,,,,,,-18.0,-23.2,,True,,False,False,,,,,,False,,,False,,False,False,,False,True,,False,False,,,,,,,,False,False,
01015,242,163.0,180.2,,158.0,146.0,,,,,,211.1,,,144.0,,158.0,122.1,,111.5,139.7,,150.0,275.0,,,,166.8,,,,7.0,208.0,,-79.0,-61.8,,-84.0,-96.0,,,,,,-30.9,,,-98.0,,-84.0,-119.9,,-130.5,-102.3,,-92.0,33.0,,,,-75.2,,,,-235.0,-34.0,,True,,False,False,,,,,,True,,,False,,False,False,,False,False,,False,True,,,,True,,,,False,True,
01017,26,38.0,52.3,,38.0,45.0,,,,,,126.3,,,26.0,,42.6,19.2,,17.7,30.4,,22.0,202.0,,,,31.7,,,,53.0,38.4,,12.0,26.3,,12.0,19.0,,,,,,100.3,,,0.0,,16.6,-6.8,,-8.3,4.4,,-4.0,176.0,,,,5.7,,,,27.0,12.4,,False,,False,False,,,,,,False,,,True,,False,True,,True,True,,True,False,,,,True,,,,False,False,
01019,49,27.0,25.3,,30.0,31.0,,,,,,46.6,,,32.0,,29.1,17.7,,19.6,30.0,,26.0,51.0,,,,,,,,27.0,44.1,,-22.0,-23.7,,-19.0,-18.0,,,,,,-2.4,,,-17.0,,-19.9,-31.3,,-29.4,-19.0,,-23.0,2.0,,,,,,,,-22.0,-4.9,,False,,True,True,,,,,,True,,,True,,True,False,,False,True,,False,True,,,,,,,,False,True,
