,actual_cases,COVIDhub-baseline,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHU_IDD-CovidSP,LANL-GrowthRate,RobertWalraven-ESG,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Alabama,41223,47484.0,31629.0,,54370.0,22182.0,,39309.0,43833.2,24926.6,17133.7,9576.4,26274.0,16442.3,24171.0,6261.0,-9594.0,,13147.0,-19041.0,,-1914.0,2610.2,-16296.4,-24089.3,-31646.6,-14949.0,-24780.7,-17052.0,False,,False,False,,True,True,False,False,False,False,False,False
Alaska,5242,2970.0,2161.0,,3550.2,2315.0,,,2542.2,4336.9,2620.1,2426.0,1854.7,5440.1,2603.0,-2272.0,-3081.0,,-1691.8,-2927.0,,,-2699.8,-905.1,-2621.9,-2816.0,-3387.3,198.1,-2639.0,False,,True,False,,,False,True,False,False,False,True,False
Arizona,24942,25380.0,38731.0,,19644.7,9505.0,,20963.0,14120.6,12321.8,14583.7,3619.1,24769.9,16642.1,23316.0,438.0,13789.0,,-5297.3,-15437.0,,-3979.0,-10821.4,-12620.2,-10358.3,-21322.9,-172.1,-8299.9,-1626.0,False,,False,False,,False,False,False,False,False,True,False,False
Arkansas,33732,25872.0,42692.0,,22316.3,26746.0,,27214.0,20767.3,14783.8,19263.0,16063.9,20860.0,26918.5,17818.0,-7860.0,8960.0,,-11415.7,-6986.0,,-6518.0,-12964.7,-18948.2,-14469.0,-17668.1,-12872.0,-6813.5,-15914.0,False,,False,True,,True,False,False,False,False,False,True,False
California,138300,199656.0,256090.0,,126850.0,153449.0,,314545.0,147281.4,165903.3,95390.4,71108.6,133285.5,107902.2,106014.0,61356.0,117790.0,,-11450.0,15149.0,,176245.0,8981.4,27603.3,-42909.6,-67191.4,-5014.5,-30397.8,-32286.0,False,,True,True,,False,True,True,True,False,True,True,True
Colorado,25383,11676.0,11792.0,,10270.6,1083.0,,10236.0,9741.4,15030.0,7425.2,6508.5,6675.9,13022.6,10049.0,-13707.0,-13591.0,,-15112.4,-24300.0,,-15147.0,-15641.6,-10353.0,-17957.8,-18874.5,-18707.1,-12360.4,-15334.0,True,,False,False,,False,False,True,False,False,False,True,False
Connecticut,9465,5220.0,6994.0,,3139.8,61.0,,4703.0,5398.3,7462.4,1548.3,572.5,7685.1,4153.0,3556.0,-4245.0,-2471.0,,-6325.2,-9404.0,,-4762.0,-4066.7,-2002.6,-7916.7,-8892.5,-1779.9,-5312.0,-5909.0,True,,False,False,,False,True,True,False,False,True,False,False
Delaware,5050,3258.0,5122.0,,3440.6,31.0,,2712.0,2687.9,2240.3,2478.0,5577.1,2390.4,5177.5,8050.0,-1792.0,72.0,,-1609.4,-5019.0,,-2338.0,-2362.1,-2809.7,-2572.0,527.1,-2659.6,127.5,3000.0,True,,True,False,,False,False,False,False,True,False,True,False
District of Columbia,2096,1878.0,1604.0,,1474.5,140.0,,1805.0,1719.9,2369.0,1057.1,691.5,1727.3,1778.3,1530.0,-218.0,-492.0,,-621.5,-1956.0,,-291.0,-376.1,273.0,-1038.9,-1404.5,-368.7,-317.7,-566.0,False,,False,False,,False,False,False,False,False,False,False,False
Florida,108614,149184.0,271841.0,,105107.0,48383.0,,129290.0,95487.3,83031.0,65196.7,40474.5,124411.6,94802.6,92782.0,40570.0,163227.0,,-3507.0,-60231.0,,20676.0,-13126.7,-25583.0,-43417.3,-68139.5,15797.6,-13811.4,-15832.0,False,,True,False,,True,True,True,False,False,True,True,True
Georgia,57836,82740.0,87575.0,,64071.3,66667.0,,72754.0,55866.3,46894.5,45719.8,33645.0,55264.4,45403.0,44114.0,24904.0,29739.0,,6235.3,8831.0,,14918.0,-1969.7,-10941.5,-12116.2,-24191.0,-2571.6,-12433.0,-13722.0,False,,True,True,,True,True,True,True,True,True,True,True
Hawaii,4450,9324.0,7456.0,,8304.9,6309.0,,,8754.9,10386.7,5584.5,3294.3,18574.6,5534.5,6852.0,4874.0,3006.0,,3854.9,1859.0,,,4304.9,5936.7,1134.5,-1155.7,14124.6,1084.5,2402.0,True,,True,True,,,True,False,True,True,False,True,True
Idaho,19108,10836.0,4455.0,,9241.1,9415.0,,10553.0,7580.8,12001.1,6112.8,568.7,7219.1,1681.8,6616.0,-8272.0,-14653.0,,-9866.9,-9693.0,,-8555.0,-11527.2,-7106.9,-12995.2,-18539.3,-11888.9,-17426.2,-12492.0,False,,False,False,,False,False,True,False,False,False,False,False
Illinois,93284,102216.0,205012.0,,79329.3,14245.0,,65337.0,76731.0,75635.4,49815.7,55339.3,117013.6,132519.2,79422.0,8932.0,111728.0,,-13954.7,-79039.0,,-27947.0,-16553.0,-17648.6,-43468.3,-37944.7,23729.6,39235.2,-13862.0,False,,False,False,,False,False,False,False,False,False,False,False
Indiana,47016,39162.0,47034.0,,38867.8,27940.0,,32256.0,36310.1,41043.7,24418.6,23697.1,29574.6,33299.7,33529.0,-7854.0,18.0,,-8148.2,-19076.0,,-14760.0,-10705.9,-5972.3,-22597.4,-23318.9,-17441.4,-13716.3,-13487.0,True,,False,False,,False,False,True,False,False,False,False,False
Iowa,37008,36468.0,35726.0,,40196.0,35549.0,,38738.0,46047.2,20978.4,16573.8,14400.5,25882.5,16529.8,18866.0,-540.0,-1282.0,,3188.0,-1459.0,,1730.0,9039.2,-16029.6,-20434.2,-22607.5,-11125.5,-20478.2,-18142.0,False,,False,False,,False,False,False,False,False,False,False,False
Kansas,26993,24366.0,31713.0,,24429.1,18064.0,,22360.0,23400.4,19597.2,10317.1,8832.8,12773.6,12490.5,15041.0,-2627.0,4720.0,,-2563.9,-8929.0,,-4633.0,-3592.6,-7395.8,-16675.9,-18160.2,-14219.4,-14502.5,-11952.0,False,,True,False,,False,False,False,False,False,False,False,False
Kentucky,34333,29322.0,37555.0,,29601.9,25338.0,,31144.0,28360.9,32400.1,15564.5,13224.8,21517.6,26084.2,23707.0,-5011.0,3222.0,,-4731.1,-8995.0,,-3189.0,-5972.1,-1932.9,-18768.5,-21108.2,-12815.4,-8248.8,-10626.0,True,,True,False,,True,False,True,False,False,False,False,False
Louisiana,25367,31380.0,53135.0,,20722.4,18003.0,,29431.0,19579.2,13510.6,20498.6,13453.2,20389.3,22741.5,14409.0,6013.0,27768.0,,-4644.6,-7364.0,,4064.0,-5787.8,-11856.4,-4868.4,-11913.8,-4977.7,-2625.5,-10958.0,False,,True,False,,True,True,False,True,False,True,True,False
Maine,1280,846.0,795.0,,899.4,366.0,,858.0,1129.9,2061.9,672.8,913.6,770.4,1571.3,894.0,-434.0,-485.0,,-380.6,-914.0,,-422.0,-150.1,781.9,-607.2,-366.4,-509.6,291.3,-386.0,False,,True,False,,True,True,False,False,True,False,True,True
Maryland,23520,25878.0,40809.0,,26282.4,1192.0,,20876.0,20382.6,20136.5,15115.7,10612.2,23331.5,35411.9,24888.0,2358.0,17289.0,,2762.4,-22328.0,,-2644.0,-3137.4,-3383.5,-8404.3,-12907.8,-188.5,11891.9,1368.0,False,,False,False,,False,False,False,False,False,True,False,True
Massachusetts,20734,0.0,17690.0,,65562.5,885.0,,9735.0,13486.9,11797.2,6436.9,6411.2,5792.0,47824.2,0.0,-20734.0,-3044.0,,44828.5,-19849.0,,-10999.0,-7247.1,-8936.8,-14297.1,-14322.8,-14942.0,27090.2,-20734.0,True,,False,True,,True,True,True,True,True,True,False,False
Michigan,43914,36330.0,74268.0,,24975.9,12900.0,,31301.0,32493.5,45172.6,14009.4,2948.9,54046.7,18280.2,22656.0,-7584.0,30354.0,,-18938.1,-31014.0,,-12613.0,-11420.5,1258.6,-29904.6,-40965.1,10132.7,-25633.8,-21258.0,False,,False,False,,False,False,True,False,False,False,False,False
Minnesota,41210,33738.0,44628.0,,35164.0,2024.0,,40475.0,31994.5,25144.2,20448.1,22759.7,26701.7,33374.6,35938.0,-7472.0,3418.0,,-6046.0,-39186.0,,-735.0,-9215.5,-16065.8,-20761.9,-18450.3,-14508.3,-7835.4,-5272.0,True,,True,False,,True,False,False,False,False,False,False,True
Mississippi,23528,26694.0,25901.0,,19891.9,14037.0,,28603.0,17241.8,15590.2,14415.9,9909.4,18869.4,14094.5,15466.0,3166.0,2373.0,,-3636.1,-9491.0,,5075.0,-6286.2,-7937.8,-9112.1,-13618.6,-4658.6,-9433.5,-8062.0,True,,False,False,,False,False,False,False,False,False,False,False
Missouri,63937,60018.0,79618.0,,54417.2,42760.0,,45863.0,52730.8,40438.7,42101.3,26925.8,39023.8,80183.2,46322.0,-3919.0,15681.0,,-9519.8,-21177.0,,-18074.0,-11206.2,-23498.3,-21835.7,-37011.2,-24913.2,16246.2,-17615.0,False,,False,False,,False,False,False,False,False,False,False,False
Montana,14061,5478.0,4615.0,,5882.6,3583.0,,7630.0,5267.7,4470.5,4356.6,3385.6,2068.6,6176.2,6574.0,-8583.0,-9446.0,,-8178.4,-10478.0,,-6431.0,-8793.3,-9590.5,-9704.4,-10675.4,-11992.4,-7884.8,-7487.0,False,,True,False,,True,False,False,False,False,False,True,True
Nebraska,21527,12312.0,8659.0,,12560.1,987.0,,15251.0,12596.0,8958.6,4633.3,2743.0,10063.2,6410.0,11652.0,-9215.0,-12868.0,,-8966.9,-20540.0,,-6276.0,-8931.0,-12568.4,-16893.7,-18784.0,-11463.8,-15117.0,-9875.0,False,,True,False,,True,True,False,False,False,False,False,False
Nevada,18550,15846.0,10690.0,,15015.5,12774.0,,13637.0,12441.5,8691.7,9832.4,6089.0,10846.4,10155.1,9570.0,-2704.0,-7860.0,,-3534.5,-5776.0,,-4913.0,-6108.5,-9858.3,-8717.6,-12461.0,-7703.6,-8394.9,-8980.0,False,,False,False,,False,False,False,False,False,False,False,False
New Hampshire,2201,1068.0,2435.0,,1013.8,7.0,,723.0,839.7,2153.0,691.4,670.1,843.6,2124.7,1680.0,-1133.0,234.0,,-1187.2,-2194.0,,-1478.0,-1361.3,-48.0,-1509.6,-1530.9,-1357.4,-76.3,-521.0,True,,False,False,,False,False,True,False,False,False,True,True
New Jersey,24991,14562.0,23461.0,,8212.4,60.0,,14543.0,12425.6,22029.2,8003.3,15792.7,13423.6,11394.4,16460.0,-10429.0,-1530.0,,-16778.6,-24931.0,,-10448.0,-12565.4,-2961.8,-16987.7,-9198.3,-11567.4,-13596.6,-8531.0,True,,False,False,,False,False,True,False,True,False,False,True
New Mexico,10295,5220.0,5200.0,,4699.2,2084.0,,5033.0,4036.1,8708.3,3029.3,1765.4,4107.1,3671.1,4262.0,-5075.0,-5095.0,,-5595.8,-8211.0,,-5262.0,-6258.9,-1586.7,-7265.7,-8529.6,-6187.9,-6623.9,-6033.0,False,,False,False,,False,False,True,False,False,False,False,False
