,actual_cases,COVIDhub-baseline,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Alabama,7439,6146.0,6018.7,5883.0,6079.0,,6971.4,3673.0,6355.9,5857.1,5196.9,,6599.0,5369.0,6891.4,5887.1,3220.0,4371.2,5878.0,6340.3,6815.0,,5440.0,1726.8,5215.6,6462.6,7078.0,6769.0,-1293.0,-1420.3,-1556.0,-1360.0,,-467.6,-3766.0,-1083.1,-1581.9,-2242.1,,-840.0,-2070.0,-547.6,-1551.9,-4219.0,-3067.8,-1561.0,-1098.7,-624.0,,-1999.0,-5712.2,-2223.4,-976.4,-361.0,-670.0,False,False,False,,True,False,True,False,False,,True,False,True,False,False,False,False,True,True,,False,False,False,True,True,True
Alaska,1377,1214.0,1196.7,1154.0,1154.0,,950.4,719.0,1097.4,1228.7,1144.0,,,,1134.4,1137.3,630.5,1468.0,1422.9,1416.6,1559.0,,1334.5,500.9,1073.6,1426.4,1870.7,1148.0,-163.0,-180.3,-223.0,-223.0,,-426.6,-658.0,-279.6,-148.3,-233.0,,,,-242.6,-239.7,-746.5,91.0,45.9,39.6,182.0,,-42.5,-876.1,-303.4,49.4,493.7,-229.0,False,False,False,,False,False,False,True,False,,,,False,False,False,True,True,True,False,,True,False,False,True,False,False
Arizona,5481,4579.0,4836.0,4286.0,4701.0,,3965.2,570.0,4602.2,4456.6,2125.4,,5067.0,3493.0,4580.7,4046.7,2233.0,4480.2,4280.7,5140.3,5294.0,,3430.7,0.0,4283.9,6089.9,4750.9,4894.0,-902.0,-645.0,-1195.0,-780.0,,-1515.8,-4911.0,-878.8,-1024.4,-3355.6,,-414.0,-1988.0,-900.3,-1434.3,-3248.0,-1000.8,-1200.3,-340.7,-187.0,,-2050.3,-5481.0,-1197.1,608.9,-730.1,-587.0,True,False,True,,False,False,True,False,False,,True,False,True,False,False,False,False,True,True,,False,False,False,True,True,True
Arkansas,6202,5695.0,5702.7,5736.0,5359.0,,5893.9,4946.0,5763.6,5812.3,5883.3,,6021.0,6471.0,6531.2,5770.1,2648.2,6728.4,5214.0,5892.4,6597.0,,6083.9,2450.6,5115.8,5518.5,5791.6,5598.0,-507.0,-499.3,-466.0,-843.0,,-308.1,-1256.0,-438.4,-389.7,-318.7,,-181.0,269.0,329.2,-431.9,-3553.8,526.4,-988.0,-309.6,395.0,,-118.1,-3751.4,-1086.2,-683.5,-410.4,-604.0,True,True,False,,True,False,True,True,True,,True,True,True,True,False,False,False,True,True,,True,False,False,False,True,False
California,21632,22889.0,22894.5,21866.0,23919.0,,22844.9,15126.0,19989.1,22120.9,13493.9,,23101.0,19789.0,23637.9,21710.9,18871.0,23805.0,19449.8,22021.9,23589.0,,23031.5,3033.7,21284.2,25187.3,23059.5,23321.0,1257.0,1262.5,234.0,2287.0,,1212.9,-6506.0,-1642.9,488.9,-8138.1,,1469.0,-1843.0,2005.9,78.9,-2761.0,2173.0,-2182.2,389.9,1957.0,,1399.5,-18598.3,-347.8,3555.3,1427.5,1689.0,False,True,False,,True,False,False,True,False,,False,False,False,True,False,False,False,True,False,,False,False,True,False,False,False
Colorado,6727,5085.0,5114.3,5100.0,5447.0,,4844.6,5766.0,5475.4,5198.7,4213.5,,5353.0,4339.0,5576.3,4409.8,4217.5,5069.0,5641.7,5970.1,6255.0,,6312.9,3307.7,4595.5,4529.5,7068.5,5265.0,-1642.0,-1612.7,-1627.0,-1280.0,,-1882.4,-961.0,-1251.6,-1528.3,-2513.5,,-1374.0,-2388.0,-1150.7,-2317.2,-2509.5,-1658.0,-1085.3,-756.9,-472.0,,-414.1,-3419.3,-2131.5,-2197.5,341.5,-1462.0,True,True,True,,False,True,True,True,False,,True,False,True,False,False,False,True,True,True,,True,False,False,False,True,True
Connecticut,2792,1741.0,1793.5,1644.0,1972.0,,1620.0,917.0,2746.2,1847.8,1127.0,,1124.0,1946.0,1582.3,1737.9,2619.4,1457.5,773.9,1668.6,2165.0,,458.4,2217.8,1588.8,1261.2,1485.8,1911.0,-1051.0,-998.5,-1148.0,-820.0,,-1172.0,-1875.0,-45.8,-944.2,-1665.0,,-1668.0,-846.0,-1209.7,-1054.1,-172.6,-1334.5,-2018.1,-1123.4,-627.0,,-2333.7,-574.2,-1203.2,-1530.8,-1306.2,-881.0,True,False,True,,False,False,True,True,False,,False,True,False,False,True,False,False,False,True,,False,True,False,False,False,True
Delaware,944,873.0,886.1,828.0,808.0,,796.6,550.0,1106.8,856.1,786.4,,892.0,793.0,995.3,774.2,707.3,1032.1,849.0,957.4,1402.0,,1006.4,171.9,751.7,779.0,941.3,930.0,-71.0,-57.9,-116.0,-136.0,,-147.4,-394.0,162.8,-87.9,-157.6,,-52.0,-151.0,51.3,-169.8,-236.7,88.1,-95.0,13.4,458.0,,62.4,-772.1,-192.3,-165.0,-2.7,-14.0,True,False,False,,False,False,False,False,False,,True,False,True,False,False,False,False,True,False,,True,False,False,False,True,True
District of Columbia,416,445.0,405.9,396.0,603.0,,312.3,53.0,365.4,435.4,483.3,,458.0,227.0,371.2,386.2,404.3,240.7,408.3,454.4,474.0,,338.3,221.9,436.1,,606.5,500.0,29.0,-10.1,-20.0,187.0,,-103.7,-363.0,-50.6,19.4,67.3,,42.0,-189.0,-44.8,-29.8,-11.7,-175.3,-7.7,38.4,58.0,,-77.7,-194.1,20.1,,190.5,84.0,True,True,False,,False,False,False,True,False,,False,False,False,False,True,False,True,False,False,,False,False,True,,False,False
Florida,23560,14330.0,14408.1,14268.0,13313.0,,15992.2,5384.0,19427.3,16799.1,6609.8,,13113.0,14206.0,17995.8,15942.1,12656.8,14120.4,24809.3,21539.9,14579.0,,2116.0,0.0,13003.1,14434.9,16018.0,14014.0,-9230.0,-9151.9,-9292.0,-10247.0,,-7567.8,-18176.0,-4132.7,-6760.9,-16950.2,,-10447.0,-9354.0,-5564.2,-7617.9,-10903.2,-9439.6,1249.3,-2020.1,-8981.0,,-21444.0,-23560.0,-10556.9,-9125.1,-7542.0,-9546.0,True,False,False,,True,False,True,True,False,,False,False,True,True,False,False,True,True,True,,False,False,False,True,True,False
