,predicted_cases,actual_cases,error,perc_error
IowaStateLW-STEM,2151044.0,2159447,-8403.0,-0.4%
COVIDhub-baseline,2058168.0,2159447,-101279.0,-4.7%
UCLA-SuEIR,1881332.6,2159447,-278114.4,-12.9%
USACE-ERDC_SEIR,1530063.8,2159447,-629383.2,-29.1%
Columbia_UNC-SurvCon,1484720.0,2159447,-674727.0,-31.2%
USC-SI_kJalpha,1257373.0,2159447,-902074.0,-41.8%
CovidAnalytics-DELPHI,1197441.0,2159447,-962006.0,-44.5%
Covid19Sim-Simulator,1088483.7,2159447,-1070963.3,-49.6%
RobertWalraven-ESG,1035414.8,2159447,-1124032.2,-52.1%
LANL-GrowthRate,959511.0,2159447,-1199936.0,-55.6%
