,predicted_cases,actual_cases,error,perc_error
OliverWyman-Navigator,379372.0,388599,-9227.0,-2.4%
LNQ-ens1,371371.7,388599,-17227.3,-4.4%
JCB-PRM,366110.8,388599,-22488.2,-5.8%
QJHong-Encounter,364813.3,388599,-23785.7,-6.1%
USACE-ERDC_SEIR,364695.8,388599,-23903.2,-6.2%
UMich-RidgeTfReg,347921.0,388599,-40678.0,-10.5%
USC-SI_kJalpha,346621.0,388599,-41978.0,-10.8%
Karlen-pypm,338300.4,388599,-50298.6,-12.9%
CU-select,336441.0,388599,-52158.0,-13.4%
IQVIA_ACOE-STAN,335681.0,388599,-52918.0,-13.6%
COVIDhub-baseline,335591.0,388599,-53008.0,-13.6%
CEID-Walk,335349.2,388599,-53249.8,-13.7%
DDS-NBDS,334529.6,388599,-54069.4,-13.9%
Geneva-DetGrowth,334241.7,388599,-54357.3,-14.0%
Columbia_UNC-SurvCon,330084.0,388599,-58515.0,-15.1%
COVIDhub-ensemble,328053.0,388599,-60546.0,-15.6%
Covid19Sim-Simulator,327408.7,388599,-61190.3,-15.7%
JHUAPL-Bucky,326327.2,388599,-62271.8,-16.0%
RobertWalraven-ESG,324568.2,388599,-64030.8,-16.5%
UCLA-SuEIR,312337.6,388599,-76261.4,-19.6%
IBF-TimeSeries,300671.0,388599,-87928.0,-22.6%
LANL-GrowthRate,299696.7,388599,-88902.3,-22.9%
IowaStateLW-STEM,295806.0,388599,-92793.0,-23.9%
JHU_IDD-CovidSP,236547.0,388599,-152052.0,-39.1%
CovidAnalytics-DELPHI,195952.0,388599,-192647.0,-49.6%
TTU-squider,185170.3,388599,-203428.7,-52.3%
Google_Harvard-CPF,,388599,,
