,actual_cases,COVIDhub-baseline,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
01001,310,964.0,1027.4,,564.0,939.0,,,,,,553.0,,393.4,96.2,,974.7,328.6,,,183.9,568.1,,,,,1047.3,654.0,717.4,,254.0,629.0,,,,,,243.0,,83.4,-213.8,,664.7,18.6,,,-126.1,258.1,,,,,737.3,False,,True,True,,,,,,True,,True,True,,False,True,,,True,True,,,,,False
01003,1303,1180.0,1186.3,,896.0,2220.0,,,,,,791.0,,95.3,598.9,,982.0,568.5,,,225.6,1046.2,797.0,,,,1521.2,-123.0,-116.7,,-407.0,917.0,,,,,,-512.0,,-1207.7,-704.1,,-321.0,-734.5,,,-1077.4,-256.8,-506.0,,,,218.2,True,,False,False,,,,,,False,,False,False,,False,False,,,False,False,False,,,,False
01005,148,840.0,761.3,,351.0,75.0,,,,,,210.0,,494.4,42.8,,589.1,142.9,,,1.2,,,,,,1091.0,692.0,613.3,,203.0,-73.0,,,,,,62.0,,346.4,-105.2,,441.1,-5.1,,,-146.8,,,,,,943.0,True,,True,True,,,,,,True,,True,True,,True,True,,,True,,,,,,False
01007,148,208.0,203.9,,157.0,38.0,,,,,,261.0,,245.3,66.3,,85.6,131.8,,,55.1,,,,,,245.0,60.0,55.9,,9.0,-110.0,,,,,,113.0,,97.3,-81.7,,-62.4,-16.2,,,-92.9,,,,,,97.0,True,,True,False,,,,,,False,,False,False,,False,True,,,False,,,,,,False
01009,265,1712.0,1616.3,,858.0,472.0,,,,,,540.0,,1004.8,245.9,,1999.0,322.0,,,54.9,872.8,,,,,1984.8,1447.0,1351.3,,593.0,207.0,,,,,,275.0,,739.8,-19.1,,1734.0,57.0,,,-210.1,607.8,,,,,1719.8,True,,True,True,,,,,,True,,True,True,,False,True,,,True,True,,,,,False
01011,49,132.0,124.4,,37.0,0.0,,,,,,152.0,,2.6,18.3,,15.1,60.7,,,0.0,,,,,,123.9,83.0,75.4,,-12.0,-49.0,,,,,,103.0,,-46.4,-30.7,,-33.9,11.7,,,-49.0,,,,,,74.9,True,,True,True,,,,,,False,,True,True,,True,True,,,True,,,,,,True
01013,87,172.0,186.0,,97.0,0.0,,,,,,169.0,,130.8,23.8,,55.1,67.3,,,22.8,,,,,,181.7,85.0,99.0,,10.0,-87.0,,,,,,82.0,,43.8,-63.2,,-31.9,-19.7,,,-64.2,,,,,,94.7,False,,True,False,,,,,,True,,True,True,,True,True,,,True,,,,,,False
01015,746,2368.0,2194.5,,1803.0,7582.0,,,,,,984.0,,1078.4,577.2,,2199.1,727.4,,,152.2,1909.7,,,,,2208.1,1622.0,1448.5,,1057.0,6836.0,,,,,,238.0,,332.4,-168.8,,1453.1,-18.6,,,-593.9,1163.7,,,,,1462.1,True,,True,False,,,,,,True,,True,True,,True,True,,,True,True,,,,,True
01017,143,1040.0,1073.8,,473.0,0.0,,,,,,217.0,,635.5,68.7,,671.7,319.2,,,24.1,,,,,,1308.5,897.0,930.8,,330.0,-143.0,,,,,,74.0,,492.5,-74.3,,528.7,176.2,,,-118.9,,,,,,1165.5,False,,True,True,,,,,,True,,True,True,,True,True,,,True,,,,,,False
01019,158,652.0,583.5,,451.0,327.0,,,,,,174.0,,584.2,95.8,,825.3,216.2,,,228.7,,,,,,720.0,494.0,425.5,,293.0,169.0,,,,,,16.0,,426.2,-62.2,,667.3,58.2,,,70.7,,,,,,562.0,True,,True,True,,,,,,True,,True,True,,False,True,,,True,,,,,,False
01021,308,948.0,961.9,,639.0,2324.0,,,,,,585.0,,562.4,169.9,,935.1,334.5,,,289.2,537.3,,,,,1037.3,640.0,653.9,,331.0,2016.0,,,,,,277.0,,254.4,-138.1,,627.1,26.5,,,-18.8,229.3,,,,,729.3,False,,True,False,,,,,,True,,True,True,,True,True,,,True,True,,,,,False
01023,46,64.0,61.4,,51.0,0.0,,,,,,69.0,,110.1,20.8,,7.0,34.2,,,43.5,,,,,,69.6,18.0,15.4,,5.0,-46.0,,,,,,23.0,,64.1,-25.2,,-39.0,-11.8,,,-2.5,,,,,,23.6,True,,True,False,,,,,,False,,False,False,,False,True,,,True,,,,,,False
01025,211,456.0,466.5,,171.0,4.0,,,,,,259.0,,116.1,47.0,,225.9,94.6,,,7.9,,,,,,446.3,245.0,255.5,,-40.0,-207.0,,,,,,48.0,,-94.9,-164.0,,14.9,-116.4,,,-203.1,,,,,,235.3,False,,True,True,,,,,,True,,True,True,,True,True,,,True,,,,,,True
01027,162,460.0,415.5,,246.0,166.0,,,,,,114.0,,368.4,50.6,,300.4,174.5,,,64.0,,,,,,607.0,298.0,253.5,,84.0,4.0,,,,,,-48.0,,206.4,-111.4,,138.4,12.5,,,-98.0,,,,,,445.0,True,,True,True,,,,,,True,,True,True,,True,True,,,True,,,,,,False
01029,195,204.0,188.7,,143.0,140.0,,,,,,141.0,,416.3,44.7,,104.9,127.9,,,76.9,,,,,,254.5,9.0,-6.3,,-52.0,-55.0,,,,,,-54.0,,221.3,-150.3,,-90.1,-67.1,,,-118.1,,,,,,59.5,True,,False,False,,,,,,False,,False,False,,False,False,,,False,,,,,,False
01031,345,928.0,1025.2,,528.0,1168.0,,,,,,527.0,,488.5,159.7,,875.0,236.9,,,56.3,480.3,,,,,782.4,583.0,680.2,,183.0,823.0,,,,,,182.0,,143.5,-185.3,,530.0,-108.1,,,-288.7,135.3,,,,,437.4,False,,True,False,,,,,,True,,True,True,,True,True,,,True,True,,,,,True
01033,290,344.0,370.0,,326.0,825.0,,,,,,509.0,,68.6,123.5,,265.8,299.4,,,32.6,328.0,,,,,390.4,54.0,80.0,,36.0,535.0,,,,,,219.0,,-221.4,-166.5,,-24.2,9.4,,,-257.4,38.0,,,,,100.4,False,,True,False,,,,,,False,,False,False,,True,True,,,False,True,,,,,False
01035,32,320.0,344.9,,77.0,26.0,,,,,,77.0,,82.7,27.9,,161.0,58.4,24.3,,4.9,,,,,,234.3,288.0,312.9,,45.0,-6.0,,,,,,45.0,,50.7,-4.1,,129.0,26.4,-7.7,,-27.1,,,,,,202.3,False,,True,True,,,,,,True,,True,True,,True,True,True,,True,,,,,,True
01037,35,188.0,199.6,,124.0,285.0,,,,,,76.0,,124.1,24.0,,190.0,51.3,14.5,,67.8,,,,,,207.9,153.0,164.6,,89.0,250.0,,,,,,41.0,,89.1,-11.0,,155.0,16.3,-20.5,,32.8,,,,,,172.9,False,,True,False,,,,,,True,,True,True,,False,True,True,,True,,,,,,False
01039,338,1856.0,1661.1,,454.0,400.0,,,,,,402.0,,1039.4,135.6,,1817.2,371.7,150.8,,158.9,,,,,,1847.7,1518.0,1323.1,,116.0,62.0,,,,,,64.0,,701.4,-202.4,,1479.2,33.7,-187.2,,-179.1,,,,,,1509.7,True,,True,True,,,,,,True,,True,True,,True,True,True,,True,,,,,,True
01041,64,420.0,449.4,,101.0,24.0,,,,,,174.0,,278.8,46.2,,84.1,90.3,63.1,,2.4,,,,,,494.6,356.0,385.4,,37.0,-40.0,,,,,,110.0,,214.8,-17.8,,20.1,26.3,-0.9,,-61.6,,,,,,430.6,False,,True,True,,,,,,True,,True,True,,True,True,True,,True,,,,,,False
01043,382,1296.0,1492.0,,552.0,29.0,,,,,,1009.0,,556.0,232.2,,604.8,380.4,257.7,,71.1,687.6,,,,,1067.3,914.0,1110.0,,170.0,-353.0,,,,,,627.0,,174.0,-149.8,,222.8,-1.6,-124.3,,-310.9,305.6,,,,,685.3,False,,True,True,,,,,,True,,True,True,,True,True,True,,True,True,,,,,True
01045,277,960.0,991.7,,529.0,2747.0,,,,,,384.0,,501.7,159.2,,899.2,237.0,174.0,,5.7,581.7,,,,,966.1,683.0,714.7,,252.0,2470.0,,,,,,107.0,,224.7,-117.8,,622.2,-40.0,-103.0,,-271.4,304.7,,,,,689.1,False,,True,False,,,,,,True,,True,True,,True,True,True,,True,True,,,,,False
01047,112,1052.0,1057.0,,393.0,452.0,,,,,,372.0,,396.9,60.8,,739.0,231.4,105.5,,136.8,532.9,,,,,1135.1,940.0,945.0,,281.0,340.0,,,,,,260.0,,284.9,-51.2,,627.0,119.4,-6.5,,24.8,420.9,,,,,1023.1,False,,True,True,,,,,,True,,True,True,,True,True,True,,True,True,,,,,False
01049,749,816.0,828.7,,505.0,73.0,,,,,,705.0,,106.1,163.8,,673.2,419.2,60.4,,88.0,631.7,,,,,667.6,67.0,79.7,,-244.0,-676.0,,,,,,-44.0,,-642.9,-585.1,,-75.8,-329.8,-688.6,,-661.0,-117.3,,,,,-81.4,False,,False,False,,,,,,True,,False,False,,False,False,False,,False,False,,,,,False
01051,555,1324.0,1407.8,,721.0,4230.0,,,,,,693.0,,376.6,165.2,,747.5,487.4,322.6,,220.0,943.0,,,,,1122.5,769.0,852.8,,166.0,3675.0,,,,,,138.0,,-178.4,-389.8,,192.5,-67.6,-232.4,,-335.0,388.0,,,,,567.5,False,,True,False,,,,,,True,,True,True,,True,True,True,,True,True,,,,,True
01053,148,1076.0,1112.1,,402.0,3.0,,,,,,385.0,,502.3,102.5,,594.1,181.7,128.4,,73.9,520.6,,,,,1112.6,928.0,964.1,,254.0,-145.0,,,,,,237.0,,354.3,-45.5,,446.1,33.7,-19.6,,-74.1,372.6,,,,,964.6,False,,True,True,,,,,,True,,True,True,,True,True,True,,True,True,,,,,False
01055,617,1916.0,1928.3,,860.0,1604.0,,,,,,896.0,,626.7,388.6,,1845.9,528.6,509.4,,276.2,982.7,,,,,1603.2,1299.0,1311.3,,243.0,987.0,,,,,,279.0,,9.7,-228.4,,1228.9,-88.4,-107.6,,-340.8,365.7,,,,,986.2,False,,True,True,,,,,,True,,True,True,,True,True,True,,True,True,,,,,True
01057,118,308.0,304.8,,125.0,93.0,,,,,,123.0,,349.6,79.2,,254.6,100.8,87.3,,59.9,,,,,,281.9,190.0,186.8,,7.0,-25.0,,,,,,5.0,,231.6,-38.8,,136.6,-17.2,-30.7,,-58.1,,,,,,163.9,True,,True,True,,,,,,True,,False,True,,True,True,True,,True,,,,,,True
01059,233,396.0,385.2,,231.0,200.0,,,,,,464.0,,67.5,68.9,,156.1,198.6,212.1,,117.7,272.5,,,,,426.1,163.0,152.2,,-2.0,-33.0,,,,,,231.0,,-165.5,-164.1,,-76.9,-34.4,-20.9,,-115.3,39.5,,,,,193.1,True,,True,True,,,,,,False,,False,False,,True,True,True,,True,True,,,,,False
01061,260,608.0,633.9,,367.0,826.0,,,,,,222.0,,447.3,136.8,,410.2,157.7,87.7,,71.3,,,,,,507.0,348.0,373.9,,107.0,566.0,,,,,,-38.0,,187.3,-123.2,,150.2,-102.3,-172.3,,-188.7,,,,,,247.0,False,,True,False,,,,,,True,,True,True,,True,True,True,,True,,,,,,True
01063,30,72.0,54.9,,12.0,0.0,,,,,,34.0,,11.1,11.5,,0.3,23.4,0.0,,8.4,,,,,,63.0,42.0,24.9,,-18.0,-30.0,,,,,,4.0,,-18.9,-18.5,,-29.7,-6.6,-30.0,,-21.6,,,,,,33.0,True,,True,True,,,,,,True,,True,True,,True,True,True,,True,,,,,,True
01065,122,244.0,253.6,,90.0,36.0,,,,,,161.0,,210.6,23.3,,80.8,77.0,37.7,,5.2,,,,,,198.8,122.0,131.6,,-32.0,-86.0,,,,,,39.0,,88.6,-98.7,,-41.2,-45.0,-84.3,,-116.8,,,,,,76.8,False,,True,True,,,,,,True,,True,True,,True,True,True,,True,,,,,,True
01067,154,432.0,473.3,,122.0,93.0,,,,,,80.0,,330.7,51.3,,271.5,98.3,68.8,,104.0,,,,,,409.0,278.0,319.3,,-32.0,-61.0,,,,,,-74.0,,176.7,-102.7,,117.5,-55.7,-85.2,,-50.0,,,,,,255.0,False,,True,True,,,,,,True,,True,True,,True,True,True,,True,,,,,,True
