,actual_cases,COVIDhub-baseline,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHU_IDD-CovidSP,LANL-GrowthRate,MITCovAlliance-SIR,RobertWalraven-ESG,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
01001,612,372.0,568.0,,,,,537.0,,152.6,78.1,,201.3,349.2,,,-240.0,-44.0,,,,,-75.0,,-459.4,-533.9,,-410.6,-262.8,,,True,,,,,True,,False,False,,False,False,,
01003,1808,1410.0,1480.0,,,,,1038.0,,1279.2,691.1,,501.8,1580.6,,,-398.0,-328.0,,,,,-770.0,,-528.8,-1116.9,,-1306.2,-227.4,,,True,,,,,False,,False,False,,False,True,,
01005,362,0.0,42.0,,,,,258.0,,82.3,77.7,,7.8,22.9,,,-362.0,-320.0,,,,,-104.0,,-279.7,-284.3,,-354.2,-339.1,,,True,,,,,True,,True,True,,True,True,,
01007,227,162.0,84.0,,,,,293.0,,126.9,49.0,,37.2,164.6,,,-65.0,-143.0,,,,,66.0,,-100.1,-178.0,,-189.8,-62.4,,,False,,,,,False,,False,False,,False,True,,
01009,745,348.0,516.0,,,,,447.0,,425.7,84.9,,165.1,238.8,,,-397.0,-229.0,,,,,-298.0,,-319.3,-660.1,,-579.9,-506.2,,,True,,,,,True,,True,False,,False,False,,
01011,90,54.0,2.0,,,,,211.0,,32.9,4.7,,34.3,52.2,,,-36.0,-88.0,,,,,121.0,,-57.1,-85.3,,-55.7,-37.8,,,False,,,,,False,,False,False,,False,False,,
01013,142,156.0,155.0,,,,,180.0,,33.7,30.6,,80.9,119.5,,,14.0,13.0,,,,,38.0,,-108.3,-111.4,,-61.1,-22.5,,,True,,,,,False,,False,False,,False,False,,
01015,1519,1386.0,1704.0,,,,,884.0,,1136.8,638.4,,265.6,1031.9,,,-133.0,185.0,,,,,-635.0,,-382.2,-880.6,,-1253.4,-487.1,,,False,,,,,False,,False,False,,False,False,,
01017,414,0.0,11.0,,,,,219.0,,121.7,2.8,,16.3,25.6,,,-414.0,-403.0,,,,,-195.0,,-292.3,-411.2,,-397.7,-388.4,,,True,,,,,True,,True,True,,True,True,,
01019,349,138.0,83.0,,,,,139.0,,179.8,21.0,,51.9,106.6,,,-211.0,-266.0,,,,,-210.0,,-169.2,-328.0,,-297.1,-242.4,,,False,,,,,True,,True,False,,False,False,,
01021,629,684.0,1331.0,,,,,484.0,,297.1,253.6,,174.6,470.1,,,55.0,702.0,,,,,-145.0,,-331.9,-375.4,,-454.4,-158.9,,,False,,,,,False,,False,False,,False,False,,
01023,66,48.0,42.0,,,,,71.0,,44.7,9.4,,0.6,44.7,,,-18.0,-24.0,,,,,5.0,,-21.3,-56.6,,-65.4,-21.3,,,False,,,,,True,,False,False,,False,False,,
01025,334,78.0,88.0,,,,,250.0,,138.2,7.2,,43.8,187.8,,,-256.0,-246.0,,,,,-84.0,,-195.8,-326.8,,-290.2,-146.2,,,True,,,,,True,,True,False,,False,True,,
