,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IowaStateLW-STEM,LANL-GrowthRate,RobertWalraven-ESG,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IowaStateLW-STEM,error-LANL-GrowthRate,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IowaStateLW-STEM,beat_baseline-LANL-GrowthRate,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Alabama,47773,65499.0,,52231.2,28767.0,44265.0,42248.9,19526.2,53495.3,48431.0,34390.0,17726.0,,4458.2,-19006.0,-3508.0,-5524.1,-28246.8,5722.3,658.0,-13383.0,,True,False,True,True,False,True,True,True
Alaska,5738,3535.0,,3432.1,2803.0,,2242.7,1997.4,2431.2,3086.2,3143.0,-2203.0,,-2305.9,-2935.0,,-3495.3,-3740.6,-3306.8,-2651.8,-2595.0,,False,False,,False,False,False,False,False
Arizona,29172,23744.0,,27221.6,13648.0,23664.0,10944.1,4845.3,54435.8,8728.1,8598.0,-5428.0,,-1950.4,-15524.0,-5508.0,-18227.9,-24326.7,25263.8,-20443.9,-20574.0,,True,False,False,False,False,False,False,False
Arkansas,38044,29253.0,,22887.3,31955.0,29597.0,17857.8,10976.4,23750.0,24408.9,16998.0,-8791.0,,-15156.7,-6089.0,-8447.0,-20186.2,-27067.7,-14294.0,-13635.1,-21046.0,,False,True,True,False,False,False,False,False
California,171576,263221.0,,213079.6,246716.0,259598.0,116153.6,115886.8,247926.2,87884.3,114469.0,91645.0,,41503.6,75140.0,88022.0,-55422.4,-55689.2,76350.2,-83691.7,-57107.0,,True,True,True,True,True,True,True,True
Colorado,27326,15092.0,,10707.2,1522.0,13621.0,7034.1,9366.2,8859.9,12469.1,9927.0,-12234.0,,-16618.8,-25804.0,-13705.0,-20291.9,-17959.8,-18466.1,-14856.9,-17399.0,,False,False,False,False,False,False,False,False
Connecticut,10335,6832.0,,2659.8,119.0,2318.0,2062.9,788.2,7389.6,7402.6,7200.0,-3503.0,,-7675.2,-10216.0,-8017.0,-8272.1,-9546.8,-2945.4,-2932.4,-3135.0,,False,False,False,False,False,True,True,True
Delaware,5599,3647.0,,2144.1,58.0,2497.0,1857.6,1687.3,3266.8,2100.2,2208.0,-1952.0,,-3454.9,-5541.0,-3102.0,-3741.4,-3911.7,-2332.2,-3498.8,-3391.0,,False,False,False,False,False,False,False,False
District of Columbia,2409,2737.0,,1872.9,220.0,2828.0,1342.6,895.4,2999.6,1729.6,1811.0,328.0,,-536.1,-2189.0,419.0,-1066.4,-1513.6,590.6,-679.4,-598.0,,False,False,False,False,False,False,False,False
Florida,133478,149842.0,,110503.5,71149.0,208048.0,63443.0,44753.3,213660.9,46876.0,62885.0,16364.0,,-22974.5,-62329.0,74570.0,-70035.0,-88724.7,80182.9,-86602.0,-70593.0,,False,False,False,False,False,False,False,False
Georgia,71626,108752.0,,81660.2,82783.0,89490.0,46957.8,60510.4,92773.7,51617.2,51700.0,37126.0,,10034.2,11157.0,17864.0,-24668.2,-11115.6,21147.7,-20008.8,-19926.0,,True,True,True,True,True,True,True,True
Hawaii,5810,12481.0,,18106.0,7114.0,,9723.8,14124.8,9459.4,13247.8,12526.0,6671.0,,12296.0,1304.0,,3913.8,8314.8,3649.4,7437.8,6716.0,,False,True,,True,False,True,False,False
