,actual_cases,COVIDhub-baseline,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,OliverWyman-Navigator,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,Yu_Group-CLEP,error-COVIDhub-baseline,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-OliverWyman-Navigator,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,error-Yu_Group-CLEP,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-OliverWyman-Navigator,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-Yu_Group-CLEP
01001,219,273.0,327.7,,253.0,883.0,,,,,,271.6,,,378.0,,264.5,76.2,,102.0,174.9,,569.0,8.0,,161.5,,248.4,,,,,436.9,584.7,54.0,108.7,,34.0,664.0,,,,,,52.6,,,159.0,,45.5,-142.8,,-117.0,-44.1,,350.0,-211.0,,-57.5,,29.4,,,,,217.9,365.7,False,,True,False,,,,,,True,,,False,,True,False,,False,True,,False,False,,False,,True,,,,,False,False
01003,873,1290.0,1291.0,,1041.0,370.0,,,,,,648.3,,,655.0,,1446.7,753.9,,1149.8,667.7,,2260.0,3878.0,,424.1,,1067.5,1650.0,,,,1066.4,,417.0,418.0,,168.0,-503.0,,,,,,-224.7,,,-218.0,,573.7,-119.1,,276.8,-205.3,,1387.0,3005.0,,-448.9,,194.5,777.0,,,,193.4,,False,,True,False,,,,,,True,,,True,,False,True,,True,True,,False,False,,False,,True,False,,,,True,
01005,96,156.0,68.4,,75.0,0.0,,,,,,127.7,,,199.0,,155.8,36.2,,44.9,81.3,,353.0,17.0,,49.3,,86.0,,,,,146.2,106.9,60.0,-27.6,,-21.0,-96.0,,,,,,31.7,,,103.0,,59.8,-59.8,,-51.1,-14.7,,257.0,-79.0,,-46.7,,-10.0,,,,,50.2,10.9,True,,True,False,,,,,,True,,,False,,True,True,,True,True,,False,False,,True,,True,,,,,True,True
01007,121,78.0,83.4,,60.0,25.0,,,,,,97.8,,,198.0,,86.1,44.5,,27.0,63.0,,139.0,109.0,,48.3,,57.8,,,,,80.4,662.2,-43.0,-37.6,,-61.0,-96.0,,,,,,-23.2,,,77.0,,-34.9,-76.5,,-94.0,-58.0,,18.0,-12.0,,-72.7,,-63.2,,,,,-40.6,541.2,True,,False,False,,,,,,True,,,False,,True,False,,False,False,,True,True,,False,,False,,,,,True,False
01009,196,207.0,151.3,,163.0,457.0,,,,,,437.1,,,474.0,,237.4,127.3,,72.3,131.7,,,73.0,,61.6,,143.0,,,,,512.8,1474.9,11.0,-44.7,,-33.0,261.0,,,,,,241.1,,,278.0,,41.4,-68.7,,-123.7,-64.3,,,-123.0,,-134.4,,-53.0,,,,,316.8,1278.9,False,,False,False,,,,,,False,,,False,,False,False,,False,False,,,False,,False,,False,,,,,False,False
01011,30,57.0,59.4,,42.0,,,,,,,46.7,,,123.0,,39.4,15.0,,13.6,41.2,,44.0,31.0,,14.4,,48.4,,,,,50.4,97.8,27.0,29.4,,12.0,,,,,,,16.7,,,93.0,,9.4,-15.0,,-16.4,11.2,,14.0,1.0,,-15.6,,18.4,,,,,20.4,67.8,False,,True,,,,,,,True,,,False,,True,True,,True,True,,True,True,,True,,True,,,,,True,False
01013,79,12.0,5.7,,19.0,51.0,,,,,,57.9,,,128.0,,23.6,15.1,,2.5,21.8,,,12.0,,21.3,,19.4,,,,,36.8,61.1,-67.0,-73.3,,-60.0,-28.0,,,,,,-21.1,,,49.0,,-55.4,-63.9,,-76.5,-57.2,,,-67.0,,-57.7,,-59.6,,,,,-42.2,-17.9,False,,True,True,,,,,,True,,,True,,True,True,,False,True,,,False,,True,,True,,,,,True,True
01015,551,585.0,636.5,,464.0,670.0,,,,,,971.9,,,763.0,,614.5,453.1,,333.0,401.9,,1045.0,48.0,,381.7,,421.6,,,,,723.1,993.4,34.0,85.5,,-87.0,119.0,,,,,,420.9,,,212.0,,63.5,-97.9,,-218.0,-149.1,,494.0,-503.0,,-169.3,,-129.4,,,,,172.1,442.4,False,,False,False,,,,,,False,,,False,,False,False,,False,False,,False,False,,False,,False,,,,,False,False
01017,102,123.0,217.5,,98.0,456.0,,,,,,122.7,,,159.0,,122.7,59.6,,30.0,64.4,,,45.0,,40.9,,68.0,,,,,179.8,65.7,21.0,115.5,,-4.0,354.0,,,,,,20.7,,,57.0,,20.7,-42.4,,-72.0,-37.6,,,-57.0,,-61.1,,-34.0,,,,,77.8,-36.3,False,,True,False,,,,,,True,,,False,,True,False,,False,False,,,False,,False,,False,,,,,False,False
01019,105,159.0,152.2,,121.0,359.0,,,,,,121.5,,,163.0,,182.9,68.4,,59.4,95.2,,366.0,3.0,,31.8,,109.1,,,,,288.5,761.5,54.0,47.2,,16.0,254.0,,,,,,16.5,,,58.0,,77.9,-36.6,,-45.6,-9.8,,261.0,-102.0,,-73.2,,4.1,,,,,183.5,656.5,True,,True,False,,,,,,True,,,False,,False,True,,True,True,,False,False,,False,,True,,,,,False,False
