,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IowaStateLW-STEM,RobertWalraven-ESG,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
01001,667,464.0,,,555.0,345.1,244.6,,,-203.0,,,-112.0,-321.9,-422.4,,,,,True,False,False,,
01003,2218,1584.0,,,2260.0,378.9,970.1,,,-634.0,,,42.0,-1839.1,-1247.9,,,,,True,False,False,,
01005,266,224.0,,,327.0,23.3,182.6,,,-42.0,,,61.0,-242.7,-83.4,,,,,False,False,False,,
01007,262,272.0,,,268.0,165.3,304.1,,,10.0,,,6.0,-96.7,42.1,,,,,True,False,False,,
01009,688,616.0,,,661.0,62.1,621.9,,,-72.0,,,-27.0,-625.9,-66.1,,,,,True,False,True,,
01011,94,256.0,,,191.0,162.9,115.4,,,162.0,,,97.0,68.9,21.4,,,,,True,True,True,,
01013,178,112.0,,,240.0,122.3,95.9,,,-66.0,,,62.0,-55.7,-82.1,,,,,True,True,False,,
01015,1811,1848.0,,,1142.0,908.0,1501.3,,,37.0,,,-669.0,-903.0,-309.7,,,,,False,False,False,,
01017,291,120.0,,,302.0,68.8,130.9,,,-171.0,,,11.0,-222.2,-160.1,,,,,True,False,True,,
01019,337,248.0,,,267.0,32.7,194.5,,,-89.0,,,-70.0,-304.3,-142.5,,,,,True,False,False,,
01021,791,528.0,,,509.0,269.2,442.4,,,-263.0,,,-282.0,-521.8,-348.6,,,,,False,False,False,,
01023,71,96.0,,,135.0,70.0,93.5,,,25.0,,,64.0,-1.0,22.5,,,,,False,True,True,,
01025,334,376.0,,,334.0,203.7,290.1,,,42.0,,,0.0,-130.3,-43.9,,,,,True,False,False,,
01027,381,160.0,,,133.0,15.7,111.5,,,-221.0,,,-248.0,-365.3,-269.5,,,,,False,False,False,,
01029,325,352.0,,,117.0,43.4,138.7,,,27.0,,,-208.0,-281.6,-186.3,,,,,False,False,False,,
01031,636,752.0,,,590.0,290.4,573.7,,,116.0,,,-46.0,-345.6,-62.3,,,,,True,False,True,,
01033,532,576.0,,,655.0,257.0,197.6,,,44.0,,,123.0,-275.0,-334.4,,,,,False,False,False,,
01035,96,144.0,,,187.0,11.9,93.2,,,48.0,,,91.0,-84.1,-2.8,,,,,False,False,True,,
01037,72,48.0,,,102.0,4.4,140.3,,,-24.0,,,30.0,-67.6,68.3,,,,,False,False,False,,
01039,628,368.0,,,462.0,274.6,196.6,,,-260.0,,,-166.0,-353.4,-431.4,,,,,True,False,False,,
01041,158,152.0,,,160.0,125.5,229.9,,,-6.0,,,2.0,-32.5,71.9,,,,,True,False,False,,
01043,733,824.0,,,943.0,201.5,725.2,,,91.0,,,210.0,-531.5,-7.8,,,,,False,False,True,,
01045,604,664.0,,,529.0,219.9,404.3,,,60.0,,,-75.0,-384.1,-199.7,,,,,False,False,False,,
01047,322,312.0,,,568.0,388.1,158.5,,,-10.0,,,246.0,66.1,-163.5,,,,,False,False,False,,
01049,1065,664.0,,,935.0,185.9,497.8,,,-401.0,,,-130.0,-879.1,-567.2,,,,,True,False,False,,
01051,1068,872.0,,,685.0,123.0,808.9,,,-196.0,,,-383.0,-945.0,-259.1,,,,,False,False,False,,
01053,385,520.0,,,527.0,318.3,285.1,,,135.0,,,142.0,-66.7,-99.9,,,,,False,True,True,,
01055,1374,2008.0,,,1139.0,1296.3,1059.2,,,634.0,,,-235.0,-77.7,-314.8,,,,,True,True,True,,
01057,234,224.0,,,208.0,188.3,266.9,,,-10.0,,,-26.0,-45.7,32.9,,,,,False,False,False,,
01059,537,784.0,,,523.0,505.6,538.2,,,247.0,,,-14.0,-31.4,1.2,,,,,True,True,True,,
01061,427,536.0,,,381.0,202.9,366.3,,,109.0,,,-46.0,-224.1,-60.7,,,,,True,False,True,,
01063,54,88.0,,,102.0,14.8,49.9,,,34.0,,,48.0,-39.2,-4.1,,,,,False,False,True,,
01065,197,136.0,,,230.0,80.9,184.9,,,-61.0,,,33.0,-116.1,-12.1,,,,,True,False,True,,
01067,283,216.0,,,162.0,124.3,175.0,,,-67.0,,,-121.0,-158.7,-108.0,,,,,False,False,False,,
01069,1729,1720.0,,,1053.0,591.0,1214.5,,,-9.0,,,-676.0,-1138.0,-514.5,,,,,False,False,False,,
01071,737,704.0,,,507.0,202.8,503.0,,,-33.0,,,-230.0,-534.2,-234.0,,,,,False,False,False,,
