,actual_cases,COVIDhub-baseline,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Geneva-DetGrowth,IBF-TimeSeries,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Geneva-DetGrowth,error-IBF-TimeSeries,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Geneva-DetGrowth,beat_baseline-IBF-TimeSeries,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Alabama,34016,29215.0,20939.9,18932.0,35314.0,,36828.3,16568.0,23215.5,5925.0,,12841.0,23713.0,16535.3,29384.9,18163.1,20315.5,23419.4,22761.1,18207.0,,9535.3,10371.3,17623.8,28183.5,20365.5,17957.0,-4801.0,-13076.1,-15084.0,1298.0,,2812.3,-17448.0,-10800.5,-28091.0,,-21175.0,-10303.0,-17480.7,-4631.1,-15852.9,-13700.5,-10596.6,-11254.9,-15809.0,,-24480.7,-23644.7,-16392.2,-5832.5,-13650.5,-16059.0,False,False,True,,True,False,False,False,,False,False,False,True,False,False,False,False,False,,False,False,False,False,False,False
Alaska,4553,2650.0,2133.8,1997.0,4144.0,,3733.2,1963.0,2158.5,528.8,,,,3577.3,3156.7,3270.8,1742.2,1984.6,1806.6,1867.0,,1756.4,1802.4,1745.3,1937.8,3137.2,2774.0,-1903.0,-2419.2,-2556.0,-409.0,,-819.8,-2590.0,-2394.5,-4024.2,,,,-975.7,-1396.3,-1282.2,-2810.8,-2568.4,-2746.4,-2686.0,,-2796.6,-2750.6,-2807.7,-2615.2,-1415.8,-1779.0,False,False,True,,True,False,False,False,,,,True,True,True,False,False,False,False,,False,False,False,False,True,True
Arizona,22331,13055.0,9505.1,9251.0,15578.0,,15349.7,6429.0,9255.4,2387.0,,6209.0,15445.0,15714.8,13186.6,9611.4,3315.6,8595.2,10098.2,8110.0,,7057.6,0.0,16723.2,26472.7,10168.9,10720.0,-9276.0,-12825.9,-13080.0,-6753.0,,-6981.3,-15902.0,-13075.6,-19944.0,,-16122.0,-6886.0,-6616.2,-9144.4,-12719.6,-19015.4,-13735.8,-12232.8,-14221.0,,-15273.4,-22331.0,-5607.8,4141.7,-12162.1,-11611.0,False,False,True,,True,False,False,False,,False,True,True,True,False,False,False,False,False,,False,False,True,True,False,False
Arkansas,28712,25100.0,20182.3,17636.0,43990.0,,20395.2,21689.0,14125.3,4302.8,,10930.0,23643.0,33050.1,31165.8,10937.7,13169.4,19598.0,16264.2,22424.0,,14768.1,18427.0,19295.5,16366.1,32292.6,24254.0,-3612.0,-8529.7,-11076.0,15278.0,,-8316.8,-7023.0,-14586.7,-24409.2,,-17782.0,-5069.0,4338.1,2453.8,-17774.3,-15542.6,-9114.0,-12447.8,-6288.0,,-13943.9,-10285.0,-9416.5,-12345.9,3580.6,-4458.0,False,False,False,,False,False,False,False,,False,False,False,True,False,False,False,False,False,,False,False,False,False,True,False
California,114681,118095.0,91108.2,86267.0,154001.0,,93536.4,105932.0,88219.0,16406.9,,52273.0,141174.0,78820.3,106715.4,103268.9,102128.1,59396.3,77928.2,51147.0,,43157.0,259230.3,103812.7,121131.2,65052.6,55178.0,3414.0,-23572.8,-28414.0,39320.0,,-21144.6,-8749.0,-26462.0,-98274.1,,-62408.0,26493.0,-35860.7,-7965.6,-11412.1,-12552.9,-55284.7,-36752.8,-63534.0,,-71524.0,144549.3,-10868.3,6450.2,-49628.4,-59503.0,False,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False
Colorado,23470,9550.0,7332.1,7343.0,35227.0,,10009.7,819.0,7464.8,1887.9,,3908.0,9020.0,10088.9,9100.3,11451.6,5158.6,7546.1,9040.4,6778.0,,7742.7,13574.9,6011.9,9487.9,15961.4,11105.0,-13920.0,-16137.9,-16127.0,11757.0,,-13460.3,-22651.0,-16005.2,-21582.1,,-19562.0,-14450.0,-13381.1,-14369.7,-12018.4,-18311.4,-15923.9,-14429.6,-16692.0,,-15727.3,-9895.1,-17458.1,-13982.1,-7508.6,-12365.0,False,False,True,,True,False,False,False,,False,False,True,False,True,False,False,False,False,,False,True,False,False,True,True
Connecticut,8504,4805.0,3650.7,3051.0,28097.0,,3410.8,31.0,4493.0,1099.2,,1319.0,4221.0,2748.8,2974.9,5885.1,5379.8,2144.6,2919.7,2301.0,,483.6,0.0,6379.3,5822.6,3252.2,4042.0,-3699.0,-4853.3,-5453.0,19593.0,,-5093.2,-8473.0,-4011.0,-7404.8,,-7185.0,-4283.0,-5755.2,-5529.1,-2618.9,-3124.2,-6359.4,-5584.3,-6203.0,,-8020.4,-8504.0,-2124.7,-2681.4,-5251.8,-4462.0,False,False,False,,False,False,False,False,,False,False,False,False,True,True,False,False,False,,False,False,True,True,False,False
Delaware,4216,4170.0,2832.6,2535.0,4738.0,,4948.9,17.0,2460.4,1012.9,,1495.0,2339.0,6370.3,2777.5,1779.5,2307.1,2279.2,2994.6,3282.0,,3202.7,989.5,3318.8,3073.4,4649.6,5832.0,-46.0,-1383.4,-1681.0,522.0,,732.9,-4199.0,-1755.6,-3203.1,,-2721.0,-1877.0,2154.3,-1438.5,-2436.5,-1908.9,-1936.8,-1221.4,-934.0,,-1013.3,-3226.5,-897.2,-1142.6,433.6,1616.0,False,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False
District of Columbia,1841,1275.0,988.7,1186.0,1630.0,,1433.4,75.0,1672.8,311.1,,453.0,1865.0,666.1,1578.6,1359.7,1189.2,1001.9,1229.6,835.0,,1501.7,1303.2,973.6,,1694.9,620.0,-566.0,-852.3,-655.0,-211.0,,-407.6,-1766.0,-168.2,-1529.9,,-1388.0,24.0,-1174.9,-262.4,-481.3,-651.8,-839.1,-611.4,-1006.0,,-339.3,-537.8,-867.4,,-146.1,-1221.0,False,False,True,,True,False,True,False,,False,True,False,True,True,False,False,False,False,,True,True,False,,True,False
Florida,90910,88520.0,73788.4,55870.0,103035.0,,75983.9,34107.0,52794.7,17002.8,,37247.0,103697.0,101688.6,83335.0,57981.7,51346.5,57165.0,61730.4,51218.0,,37892.8,0.0,70419.6,95061.0,58534.0,58805.0,-2390.0,-17121.6,-35040.0,12125.0,,-14926.1,-56803.0,-38115.3,-73907.2,,-53663.0,12787.0,10778.6,-7575.0,-32928.3,-39563.5,-33745.0,-29179.6,-39692.0,,-53017.2,-90910.0,-20490.4,4151.0,-32376.0,-32105.0,False,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False
