,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IowaStateLW-STEM,RobertWalraven-ESG,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Alabama,57328,55616.0,,17413.5,50224.0,19786.1,67136.3,21308.8,18662.0,-1712.0,,-39914.5,-7104.0,-37541.9,9808.3,-36019.2,-38666.0,,False,False,False,False,False,False
Alaska,6272,4168.0,,2589.5,,2649.2,3137.8,3438.1,3193.0,-2104.0,,-3682.5,,-3622.8,-3134.2,-2833.9,-3079.0,,False,,False,False,False,False
Arizona,32564,41928.0,,10298.9,32286.0,7298.3,71120.8,10880.9,12091.0,9364.0,,-22265.1,-278.0,-25265.7,38556.8,-21683.1,-20473.0,,False,True,False,False,False,False
Arkansas,42223,33656.0,,20442.9,36834.0,13775.5,27367.1,16413.7,14328.0,-8567.0,,-21780.1,-5389.0,-28447.5,-14855.9,-25809.3,-27895.0,,False,True,False,False,False,False
California,209785,371528.0,,271112.4,416968.0,216387.7,328634.2,114701.5,165872.0,161743.0,,61327.4,207183.0,6602.7,118849.2,-95083.5,-43913.0,,True,False,True,True,True,True
Colorado,29486,16360.0,,8290.2,9315.0,13791.7,6931.8,11911.1,7400.0,-13126.0,,-21195.8,-20171.0,-15694.3,-22554.2,-17574.9,-22086.0,,False,False,False,False,False,False
Connecticut,11311,4976.0,,3746.5,1583.0,1435.4,5010.7,2697.5,1393.0,-6335.0,,-7564.5,-9728.0,-9875.6,-6300.3,-8613.5,-9918.0,,False,False,False,True,False,False
Delaware,6130,3456.0,,3226.8,3409.0,2782.0,3903.7,2148.3,1884.0,-2674.0,,-2903.2,-2721.0,-3348.0,-2226.3,-3981.7,-4246.0,,False,False,False,True,False,False
District of Columbia,2800,3000.0,,2186.3,3694.0,145.5,2372.4,895.9,1151.0,200.0,,-613.7,894.0,-2654.4,-427.6,-1904.1,-1649.0,,False,False,False,False,False,False
Florida,154884,223680.0,,80379.8,278123.0,98156.9,267137.7,68044.0,59060.0,68796.0,,-74504.2,123239.0,-56727.1,112253.7,-86840.0,-95824.0,,False,False,True,False,False,False
Georgia,87162,136432.0,,91915.6,112773.0,67859.6,112385.2,57809.7,42692.0,49270.0,,4753.6,25611.0,-19302.4,25223.2,-29352.3,-44470.0,,True,True,True,True,True,True
Hawaii,7787,12248.0,,29488.3,,9169.9,15515.8,14958.6,9240.0,4461.0,,21701.3,,1382.9,7728.8,7171.6,1453.0,,False,,True,False,False,True
Idaho,22923,17472.0,,10187.6,13856.0,8074.9,13711.1,5109.4,5510.0,-5451.0,,-12735.4,-9067.0,-14848.1,-9211.9,-17813.6,-17413.0,,False,False,False,False,False,False
Illinois,123685,110800.0,,92690.2,79625.0,95483.8,113831.7,116811.0,97474.0,-12885.0,,-30994.8,-44060.0,-28201.2,-9853.3,-6874.0,-26211.0,,False,False,False,True,True,False
Indiana,60660,45128.0,,39306.4,38011.0,26579.2,26372.9,30216.3,27992.0,-15532.0,,-21353.6,-22649.0,-34080.8,-34287.1,-30443.7,-32668.0,,False,False,False,False,False,False
Iowa,50702,31448.0,,31575.6,26000.0,26243.7,39304.7,35582.2,23061.0,-19254.0,,-19126.4,-24702.0,-24458.3,-11397.3,-15119.8,-27641.0,,True,False,False,True,True,False
Kansas,35141,28024.0,,23032.2,28714.0,16267.8,14004.3,28324.4,21841.0,-7117.0,,-12108.8,-6427.0,-18873.2,-21136.7,-6816.6,-13300.0,,False,True,False,False,True,False
Kentucky,43731,33088.0,,27227.0,33130.0,6419.2,30532.2,17034.4,29313.0,-10643.0,,-16504.0,-10601.0,-37311.8,-13198.8,-26696.6,-14418.0,,False,True,False,False,False,False
Louisiana,36006,39864.0,,14042.5,55340.0,24022.2,27809.1,11392.1,9557.0,3858.0,,-21963.5,19334.0,-11983.8,-8196.9,-24613.9,-26449.0,,False,False,False,False,False,False
Maine,1595,1392.0,,1277.3,1174.0,492.7,1042.0,4291.3,3752.0,-203.0,,-317.7,-421.0,-1102.3,-553.0,2696.3,2157.0,,False,False,False,False,False,False
Maryland,31604,30640.0,,20191.3,25731.0,22263.0,35255.1,18261.9,14677.0,-964.0,,-11412.7,-5873.0,-9341.0,3651.1,-13342.1,-16927.0,,False,False,False,False,False,False
Massachusetts,25083,17288.0,,15105.2,59915.0,6834.9,26703.0,290.6,11685.0,-7795.0,,-9977.8,34832.0,-18248.1,1620.0,-24792.4,-13398.0,,False,False,False,True,False,False
Michigan,55061,34096.0,,33277.0,32709.0,26306.9,42921.7,37622.9,14392.0,-20965.0,,-21784.0,-22352.0,-28754.1,-12139.3,-17438.1,-40669.0,,False,False,False,True,True,False
Minnesota,52223,35632.0,,29551.2,37416.0,23433.9,38848.3,43290.5,27964.0,-16591.0,,-22671.8,-14807.0,-28789.1,-13374.7,-8932.5,-24259.0,,False,True,False,True,True,False
Mississippi,32738,44104.0,,24203.3,35078.0,19519.0,50479.0,29015.9,11294.0,11366.0,,-8534.7,2340.0,-13219.0,17741.0,-3722.1,-21444.0,,True,True,False,False,True,False
Missouri,82164,63584.0,,44947.9,51518.0,31238.0,20524.6,33449.7,35778.0,-18580.0,,-37216.1,-30646.0,-50926.0,-61639.4,-48714.3,-46386.0,,False,False,False,False,False,False
Montana,15849,5736.0,,6718.9,9935.0,2049.3,2834.2,4124.9,4540.0,-10113.0,,-9130.1,-5914.0,-13799.7,-13014.8,-11724.1,-11309.0,,True,True,False,False,False,False
Nebraska,25552,12312.0,,11146.8,13391.0,6396.9,12530.4,5270.6,5686.0,-13240.0,,-14405.2,-12161.0,-19155.1,-13021.6,-20281.4,-19866.0,,False,True,False,True,False,False
Nevada,24583,35688.0,,19701.5,26649.0,17126.9,30244.1,14648.0,14296.0,11105.0,,-4881.5,2066.0,-7456.1,5661.1,-9935.0,-10287.0,,True,True,True,True,True,True
New Hampshire,2531,912.0,,581.2,956.0,568.2,827.6,642.3,375.0,-1619.0,,-1949.8,-1575.0,-1962.8,-1703.4,-1888.7,-2156.0,,False,True,False,False,False,False
New Jersey,33868,15232.0,,17246.2,12053.0,27247.7,13169.9,12587.8,5092.0,-18636.0,,-16621.8,-21815.0,-6620.3,-20698.1,-21280.2,-28776.0,,True,False,True,False,False,False
New Mexico,12041,8000.0,,3041.3,7924.0,5863.8,4964.8,7907.2,3516.0,-4041.0,,-8999.7,-4117.0,-6177.2,-7076.2,-4133.8,-8525.0,,False,False,False,False,False,False
