,predicted_cases,actual_cases,error,perc_error
CU-select,1861494.0,1627925,233569.0,14.3%
IowaStateLW-STEM,1333628.0,1627925,-294297.0,-18.1%
JHUAPL-Bucky,1307731.9,1627925,-320193.1,-19.7%
Columbia_UNC-SurvCon,1208259.0,1627925,-419666.0,-25.8%
COVIDhub-baseline,1201220.0,1627925,-426705.0,-26.2%
JCB-PRM,1179463.3,1627925,-448461.7,-27.5%
Karlen-pypm,1156535.9,1627925,-471389.1,-29.0%
USACE-ERDC_SEIR,1136271.8,1627925,-491653.2,-30.2%
IBF-TimeSeries,1066969.0,1627925,-560956.0,-34.5%
JHU_IDD-CovidSP,1006706.3,1627925,-621218.7,-38.2%
QJHong-Encounter,998085.1,1627925,-629839.9,-38.7%
Covid19Sim-Simulator,957367.3,1627925,-670557.7,-41.2%
USC-SI_kJalpha,842771.0,1627925,-785154.0,-48.2%
LANL-GrowthRate,801715.8,1627925,-826209.2,-50.8%
UCLA-SuEIR,747432.9,1627925,-880492.1,-54.1%
CovidAnalytics-DELPHI,720620.0,1627925,-907305.0,-55.7%
RobertWalraven-ESG,619924.8,1627925,-1008000.2,-61.9%
