,actual_cases,COVIDhub-baseline,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IowaStateLW-STEM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Alabama,36652,37035.0,23073.0,,25024.2,30638.0,39072.0,37883.5,24208.4,17827.7,,16504.1,43075.3,12357.4,13514.0,383.0,-13579.0,,-11627.8,-6014.0,2420.0,1231.5,-12443.6,-18824.3,,-20147.9,6423.3,-24294.6,-23138.0,False,,False,False,False,False,False,False,,False,False,False,False
Alaska,2680,2715.0,2735.0,,2900.4,2640.0,,5222.6,1589.5,2455.9,,1991.4,3184.8,4562.8,1880.0,35.0,55.0,,220.4,-40.0,,2542.6,-1090.5,-224.1,,-688.6,504.8,1882.8,-800.0,False,,False,False,,False,False,False,,False,False,False,False
Arizona,20897,32735.0,27598.0,,14138.4,26920.0,27688.0,25882.6,32369.5,17302.4,,17235.9,36358.2,10954.7,13255.0,11838.0,6701.0,,-6758.6,6023.0,6791.0,4985.6,11472.5,-3594.6,,-3661.1,15461.2,-9942.3,-7642.0,True,,True,True,True,True,True,True,,True,False,True,True
Arkansas,23168,15905.0,17249.0,,20851.4,25520.0,26767.0,21283.9,30901.2,9681.1,,12778.2,11072.9,15157.2,9597.0,-7263.0,-5919.0,,-2316.6,2352.0,3599.0,-1884.1,7733.2,-13486.9,,-10389.8,-12095.1,-8010.8,-13571.0,True,,True,True,True,True,False,False,,False,False,False,False
California,165319,318030.0,604422.0,,219608.5,351001.0,283622.0,264910.2,202355.3,145184.7,,188693.8,287840.2,277396.8,175407.0,152711.0,439103.0,,54289.5,185682.0,118303.0,99591.2,37036.3,-20134.3,,23374.8,122521.2,112077.8,10088.0,False,,True,False,True,True,True,True,,True,True,True,True
Colorado,11518,12565.0,12476.0,,10827.1,2876.0,10120.0,22350.1,9083.3,7502.4,,9036.3,14257.2,7956.0,8694.0,1047.0,958.0,,-690.9,-8642.0,-1398.0,10832.1,-2434.7,-4015.6,,-2481.7,2739.2,-3562.0,-2824.0,True,,True,False,False,False,False,False,,False,False,False,False
Connecticut,4642,2885.0,3578.0,,3473.9,42.0,1840.0,5294.4,6484.3,823.0,,955.2,3846.2,1922.2,1205.0,-1757.0,-1064.0,,-1168.1,-4600.0,-2802.0,652.4,1842.3,-3819.0,,-3686.8,-795.8,-2719.8,-3437.0,True,,True,False,False,True,False,False,,False,True,False,False
Delaware,3069,4470.0,13481.0,,2386.1,180.0,2110.0,3086.9,4884.6,2761.6,,2379.7,3388.7,6440.1,1268.0,1401.0,10412.0,,-682.9,-2889.0,-959.0,17.9,1815.6,-307.4,,-689.3,319.7,3371.1,-1801.0,False,,True,False,True,True,False,True,,True,True,False,False
District of Columbia,1743,2530.0,2541.0,,2338.3,319.0,2280.0,2104.8,4230.8,1343.8,,,3416.7,2127.2,2031.0,787.0,798.0,,595.3,-1424.0,537.0,361.8,2487.8,-399.2,,,1673.7,384.2,288.0,False,,True,False,True,True,False,True,,,False,True,True
Florida,111596,215300.0,256465.0,,100466.6,147998.0,135994.0,155547.1,157641.5,99813.4,,104133.9,162817.5,114807.5,86020.0,103704.0,144869.0,,-11129.4,36402.0,24398.0,43951.1,46045.5,-11782.6,,-7462.1,51221.5,3211.5,-25576.0,False,,True,True,True,True,True,True,,True,True,True,True
