,count,mean,median,std,min,25%,75%,max
LNQ-ens1,3141,78.3,21.6,228.6,0.0,7.3,61.4,4300.5
COVIDhub-ensemble,3141,81.5,23.0,226.4,0.0,7.0,63.0,3794.0
COVIDhub-baseline,3141,96.5,24.0,337.4,0.0,7.0,65.0,7221.0
CEID-Walk,3141,98.8,23.8,357.1,0.0,7.6,67.4,7193.7
JHU_IDD-CovidSP,3139,107.1,28.9,276.4,0.0,9.3,82.6,5460.8
UCLA-SuEIR,2906,109.1,25.9,431.9,0.0,8.4,74.7,12136.5
OliverWyman-Navigator,2671,114.3,29.0,333.4,0.0,9.0,86.0,7772.0
LANL-GrowthRate,2951,114.8,39.9,308.4,0.0,13.2,102.3,6499.1
JHUAPL-Bucky,3141,116.3,31.3,319.6,0.0,9.7,93.3,7609.7
IowaStateLW-STEM,3103,118.3,26.0,684.8,0.0,8.0,80.0,25453.0
USC-SI_kJalpha,2784,133.2,31.0,663.6,0.0,10.0,87.0,20073.0
CU-select,3096,151.0,33.0,494.8,0.0,11.0,100.0,12520.0
MITCovAlliance-SIR,2237,157.9,36.6,567.7,0.0,11.8,109.0,16575.5
RobertWalraven-ESG,3141,162.1,39.4,476.5,0.0,12.0,116.9,6760.6
UVA-Ensemble,2781,242.4,37.6,1483.1,0.0,10.3,131.7,66229.5
Yu_Group-CLEP,3139,483.7,80.8,1675.2,0.1,27.2,276.3,41452.2
