,actual_cases,COVIDhub-baseline,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,IowaStateLW-STEM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Alabama,19423,28071.0,26207.0,21926.0,27269.0,,22744.8,16920.0,22225.6,19926.0,19797.8,16663.1,14350.7,24756.0,27621.1,32736.0,,10752.8,26625.3,22440.4,23239.0,23366.0,8648.0,6784.0,2503.0,7846.0,,3321.8,-2503.0,2802.6,503.0,374.8,-2759.9,-5072.3,5333.0,8198.1,13313.0,,-8670.2,7202.3,3017.4,3816.0,3943.0,True,True,True,,True,True,True,True,True,True,True,True,True,False,,False,True,True,True,True
Alaska,1597,1515.0,1621.0,1391.0,1723.0,,1412.1,1353.0,1114.1,,2173.3,2507.6,1110.2,1282.3,1260.7,1451.0,,1126.5,1292.0,1227.3,1487.6,1493.0,-82.0,24.0,-206.0,126.0,,-184.9,-244.0,-482.9,,576.3,910.6,-486.8,-314.7,-336.3,-146.0,,-470.5,-305.0,-369.7,-109.4,-104.0,True,False,False,,False,False,False,,False,False,False,False,False,False,,False,False,False,False,False
Arizona,12264,10176.0,10179.0,7453.0,7765.0,,13874.5,9470.0,5681.0,11688.0,7588.2,9330.8,4614.2,6795.9,7343.1,5825.0,,3191.3,20368.4,18346.5,6020.5,6396.0,-2088.0,-2085.0,-4811.0,-4499.0,,1610.5,-2794.0,-6583.0,-576.0,-4675.8,-2933.2,-7649.8,-5468.1,-4920.9,-6439.0,,-9072.7,8104.4,6082.5,-6243.5,-5868.0,True,False,False,,True,False,False,True,False,False,False,False,False,False,,False,False,False,False,False
Arkansas,14782,12537.0,13482.6,12059.0,14896.0,,10353.7,15124.0,10194.3,12473.0,16831.4,9731.9,7818.8,10662.4,12279.0,16846.0,,6327.2,11383.3,10803.6,12241.1,10762.0,-2245.0,-1299.4,-2723.0,114.0,,-4428.3,342.0,-4587.7,-2309.0,2049.4,-5050.1,-6963.2,-4119.6,-2503.0,2064.0,,-8454.8,-3398.7,-3978.4,-2540.9,-4020.0,True,False,True,,False,True,False,False,True,False,False,False,False,True,,False,False,False,False,False
California,81275,112809.0,114667.8,101447.0,103631.0,,102952.7,128028.0,103574.2,126824.0,101048.8,106211.5,89750.5,68862.7,88201.2,74723.0,,65308.1,113392.5,115133.1,60191.7,77703.0,31534.0,33392.8,20172.0,22356.0,,21677.7,46753.0,22299.2,45549.0,19773.8,24936.5,8475.5,-12412.3,6926.2,-6552.0,,-15966.9,32117.5,33858.1,-21083.3,-3572.0,False,True,True,,True,False,True,False,True,True,True,True,True,True,,True,False,False,True,True
Colorado,7316,6468.0,6395.9,5379.0,7810.0,,5041.0,1235.0,5156.9,7028.0,5464.2,8949.8,4240.2,4253.1,5321.6,5364.0,,4688.8,5051.8,6699.7,5775.3,5244.0,-848.0,-920.1,-1937.0,494.0,,-2275.0,-6081.0,-2159.1,-288.0,-1851.8,1633.8,-3075.8,-3062.9,-1994.4,-1952.0,,-2627.2,-2264.2,-616.3,-1540.7,-2072.0,False,False,True,,False,False,False,True,False,False,False,False,False,False,,False,False,True,False,False
Connecticut,3032,2928.0,2929.1,2000.0,12509.0,,1295.9,104.0,1173.4,1608.0,1178.6,3131.9,2958.9,1238.6,1936.6,3585.0,,414.9,3126.1,,2878.8,2839.0,-104.0,-102.9,-1032.0,9477.0,,-1736.1,-2928.0,-1858.6,-1424.0,-1853.4,99.9,-73.1,-1793.4,-1095.4,553.0,,-2617.1,94.1,,-153.2,-193.0,True,False,False,,False,False,False,False,False,True,True,False,False,False,,False,True,,False,False
Delaware,2106,1563.0,1579.8,1141.0,1510.0,,975.7,50.0,1278.6,1296.0,760.8,1260.6,1469.6,1109.9,921.6,1702.0,,914.7,1521.2,2112.2,1184.4,1167.0,-543.0,-526.2,-965.0,-596.0,,-1130.3,-2056.0,-827.4,-810.0,-1345.2,-845.4,-636.4,-996.1,-1184.4,-404.0,,-1191.3,-584.8,6.2,-921.6,-939.0,True,False,False,,False,False,False,False,False,False,False,False,False,True,,False,False,True,False,False
District of Columbia,977,1173.0,1170.1,963.0,1589.0,,921.4,187.0,1177.9,1288.0,427.9,1156.6,969.4,815.8,955.4,1031.0,,549.8,1312.1,,911.4,964.0,196.0,193.1,-14.0,612.0,,-55.6,-790.0,200.9,311.0,-549.1,179.6,-7.6,-161.2,-21.6,54.0,,-427.2,335.1,,-65.6,-13.0,True,True,False,,True,False,False,False,False,True,True,True,True,True,,False,False,,True,True
Florida,62230,64218.0,61145.3,53733.0,54638.0,,56033.5,47235.0,45728.2,95546.0,57504.6,56180.0,57606.5,41400.1,50447.2,36069.0,,31219.4,88082.5,56505.8,34853.5,43551.0,1988.0,-1084.7,-8497.0,-7592.0,,-6196.5,-14995.0,-16501.8,33316.0,-4725.4,-6050.0,-4623.5,-20829.9,-11782.8,-26161.0,,-31010.6,25852.5,-5724.2,-27376.5,-18679.0,True,False,False,,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False
Georgia,37263,46608.0,46387.2,38877.0,51827.0,,38592.9,43721.0,37795.0,44469.0,36673.1,33192.9,43856.1,27889.1,36178.6,33502.0,,32544.3,43479.6,43536.2,32701.7,35449.0,9345.0,9124.2,1614.0,14564.0,,1329.9,6458.0,532.0,7206.0,-589.9,-4070.1,6593.1,-9373.9,-1084.4,-3761.0,,-4718.7,6216.6,6273.2,-4561.3,-1814.0,True,True,False,,True,True,True,True,True,True,True,False,True,True,,True,True,True,True,True
Hawaii,3346,5349.0,5449.6,5470.0,6870.0,,6428.5,4022.0,10283.6,,5385.5,6420.6,5934.9,5101.5,4632.1,7610.0,,7845.1,5083.4,6720.6,5999.5,5740.0,2003.0,2103.6,2124.0,3524.0,,3082.5,676.0,6937.6,,2039.5,3074.6,2588.9,1755.5,1286.1,4264.0,,4499.1,1737.4,3374.6,2653.5,2394.0,False,False,False,,False,True,False,,False,False,False,True,True,False,,False,True,False,False,False
Idaho,5579,6027.0,5972.6,5789.0,5708.0,,5167.8,6054.0,13484.8,5311.0,9989.8,7908.3,6263.4,4197.4,4901.9,3908.0,,2971.5,5773.5,5682.4,4596.3,4076.0,448.0,393.6,210.0,129.0,,-411.2,475.0,7905.8,-268.0,4410.8,2329.3,684.4,-1381.6,-677.1,-1671.0,,-2607.5,194.5,103.4,-982.7,-1503.0,True,True,True,,True,False,False,True,False,False,False,False,False,False,,False,True,True,False,False
Illinois,41975,40095.0,40068.3,38001.0,39304.0,,38251.1,8893.0,51843.3,39022.0,30737.1,39467.6,61561.5,32593.5,36502.7,44513.0,,29774.8,43425.7,32243.2,37181.1,36629.0,-1880.0,-1906.7,-3974.0,-2671.0,,-3723.9,-33082.0,9868.3,-2953.0,-11237.9,-2507.4,19586.5,-9381.5,-5472.3,2538.0,,-12200.2,1450.7,-9731.8,-4793.9,-5346.0,False,False,False,,False,False,False,False,False,False,False,False,False,False,,False,True,False,False,False
Indiana,18325,21351.0,21175.4,19895.0,31486.0,,18660.6,14920.0,20723.1,17312.0,15383.7,24033.2,21912.1,15395.6,18940.3,22580.0,,14915.5,22435.3,15972.8,22417.7,22516.0,3026.0,2850.4,1570.0,13161.0,,335.6,-3405.0,2398.1,-1013.0,-2941.3,5708.2,3587.1,-2929.4,615.3,4255.0,,-3409.5,4110.3,-2352.2,4092.7,4191.0,True,True,False,,True,False,True,True,True,False,False,True,True,False,,False,False,True,False,False
Iowa,16192,22848.0,22096.4,21782.0,38515.0,,21027.6,19077.0,22118.8,16665.0,26528.0,10094.2,28557.2,19151.7,19513.4,37941.0,,23873.1,20438.5,13692.8,39187.2,22039.0,6656.0,5904.4,5590.0,22323.0,,4835.6,2885.0,5926.8,473.0,10336.0,-6097.8,12365.2,2959.7,3321.4,21749.0,,7681.1,4246.5,-2499.2,22995.2,5847.0,True,True,False,,True,True,True,True,False,True,False,True,True,False,,False,True,True,False,True
Kansas,10891,12621.0,12506.3,10997.0,17230.0,,11562.1,8331.0,12501.0,12558.0,16196.2,11373.4,11033.3,7527.8,9180.8,17286.0,,7376.4,9397.9,10620.9,8781.3,12138.0,1730.0,1615.3,106.0,6339.0,,671.1,-2560.0,1610.0,1667.0,5305.2,482.4,142.3,-3363.2,-1710.2,6395.0,,-3514.6,-1493.1,-270.1,-2109.7,1247.0,True,True,False,,True,False,True,True,False,True,True,False,True,False,,False,True,True,False,True
Kentucky,13529,13533.0,13586.9,13456.0,19169.0,,13298.0,12721.0,25083.1,14501.0,14956.6,15270.1,13661.9,10464.3,13218.8,15137.0,,9229.0,11898.5,10034.7,15033.4,14322.0,4.0,57.9,-73.0,5640.0,,-231.0,-808.0,11554.1,972.0,1427.6,1741.1,132.9,-3064.7,-310.2,1608.0,,-4300.0,-1630.5,-3494.3,1504.4,793.0,False,False,False,,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False
Louisiana,14378,13569.0,13269.9,12624.0,13130.0,,10659.1,13573.0,22161.8,14899.0,5481.1,8229.4,7800.0,13793.7,13126.0,5918.0,,2369.7,13330.3,15373.3,10915.4,7799.0,-809.0,-1108.1,-1754.0,-1248.0,,-3718.9,-805.0,7783.8,521.0,-8896.9,-6148.6,-6578.0,-584.3,-1252.0,-8460.0,,-12008.3,-1047.7,995.3,-3462.6,-6579.0,False,False,False,,False,True,False,True,False,False,False,True,False,False,,False,False,False,False,False
Maine,543,522.0,550.6,512.0,1133.0,,510.6,286.0,461.4,321.0,713.2,982.2,232.8,454.4,527.4,1019.0,,415.7,471.7,520.7,857.5,619.0,-21.0,7.6,-31.0,590.0,,-32.4,-257.0,-81.6,-222.0,170.2,439.2,-310.2,-88.6,-15.6,476.0,,-127.3,-71.3,-22.3,314.5,76.0,True,False,False,,False,False,False,False,False,False,False,False,True,False,,False,False,False,False,False
Maryland,12450,11313.0,11103.4,9924.0,12459.0,,9364.5,1753.0,10896.4,11223.0,7191.4,11388.3,8848.3,8497.8,9923.7,8471.0,,5916.6,8751.2,,11138.3,10052.0,-1137.0,-1346.6,-2526.0,9.0,,-3085.5,-10697.0,-1553.6,-1227.0,-5258.6,-1061.7,-3601.7,-3952.2,-2526.3,-3979.0,,-6533.4,-3698.8,,-1311.7,-2398.0,False,False,True,,False,False,False,False,False,True,False,False,False,False,,False,False,,False,False
Massachusetts,7050,8010.0,7969.2,6253.0,6603.0,,5376.9,1615.0,6459.0,6854.0,2343.2,6171.2,8965.8,5172.7,7122.3,8439.0,,25734.2,9015.5,,315.1,7472.0,960.0,919.2,-797.0,-447.0,,-1673.1,-5435.0,-591.0,-196.0,-4706.8,-878.8,1915.8,-1877.3,72.3,1389.0,,18684.2,1965.5,,-6734.9,422.0,True,True,True,,False,False,True,True,False,True,False,False,True,False,,False,False,,False,True
Michigan,16951,15276.0,15580.1,15786.0,17409.0,,15710.3,8021.0,16957.7,16951.0,10581.7,24138.9,17033.1,16700.2,15707.1,12477.0,,11388.1,19000.7,,19418.5,16105.0,-1675.0,-1370.9,-1165.0,458.0,,-1240.7,-8930.0,6.7,0.0,-6369.3,7187.9,82.1,-250.8,-1243.9,-4474.0,,-5562.9,2049.7,,2467.5,-846.0,True,True,True,,True,False,True,True,False,False,True,True,True,False,,False,False,,False,True
Minnesota,14464,16170.0,16158.4,15870.0,21534.0,,15793.0,2657.0,21690.6,18182.0,13146.0,13680.0,13084.0,15543.2,17366.9,19353.0,,12780.6,15359.0,12306.4,26846.5,17299.0,1706.0,1694.4,1406.0,7070.0,,1329.0,-11807.0,7226.6,3718.0,-1318.0,-784.0,-1380.0,1079.2,2902.9,4889.0,,-1683.4,895.0,-2157.6,12382.5,2835.0,True,True,False,,True,False,False,False,True,True,True,True,False,False,,True,True,False,False,False
Mississippi,11058,14283.0,14203.4,11399.0,16033.0,,12082.5,10896.0,13403.0,14982.0,8718.0,10629.5,10194.4,9596.2,12984.3,11972.0,,7156.8,11405.0,13231.5,11149.9,10433.0,3225.0,3145.4,341.0,4975.0,,1024.5,-162.0,2345.0,3924.0,-2340.0,-428.5,-863.6,-1461.8,1926.3,914.0,,-3901.2,347.0,2173.5,91.9,-625.0,True,True,False,,True,True,True,False,True,True,True,True,True,True,,False,True,True,True,True
Missouri,29696,24648.0,23141.1,23075.0,26210.0,,26189.7,20660.0,24766.7,22204.0,24449.3,23845.6,20291.9,23843.0,23005.2,25588.0,,19805.2,17924.6,24589.9,31390.6,23451.0,-5048.0,-6554.9,-6621.0,-3486.0,,-3506.3,-9036.0,-4929.3,-7492.0,-5246.7,-5850.4,-9404.1,-5853.0,-6690.8,-4108.0,,-9890.8,-11771.4,-5106.1,1694.6,-6245.0,False,False,True,,True,False,True,False,False,False,False,False,False,True,,False,False,False,True,False
Montana,2912,2625.0,2607.4,2534.0,2550.0,,2456.9,2084.0,1961.8,3233.0,3713.4,2597.0,2480.7,2385.5,2517.4,3046.0,,2836.4,1859.4,2440.0,3622.4,2527.0,-287.0,-304.6,-378.0,-362.0,,-455.1,-828.0,-950.2,321.0,801.4,-315.0,-431.3,-526.5,-394.6,134.0,,-75.6,-1052.6,-472.0,710.4,-385.0,False,False,False,,False,False,False,False,False,False,False,False,False,True,,True,False,False,False,False
Nebraska,7044,5919.0,5750.4,6092.0,9121.0,,6165.1,1421.0,7649.2,6156.0,7778.1,4747.7,7814.0,5359.8,6209.1,6829.0,,3649.8,5603.2,4869.5,9173.0,5349.0,-1125.0,-1293.6,-952.0,2077.0,,-878.9,-5623.0,605.2,-888.0,734.1,-2296.3,770.0,-1684.2,-834.9,-215.0,,-3394.2,-1440.8,-2174.5,2129.0,-1695.0,False,True,False,,True,False,True,True,True,False,True,False,True,True,,False,False,False,False,False
