,actual_cases,COVIDhub-baseline,CDDEP-SEIR_MCMC,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,LANL-GrowthRate,MITCovAlliance-SIR,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CDDEP-SEIR_MCMC,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CDDEP-SEIR_MCMC,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
01001,712,616.0,1783.1,,,,880.0,499.6,,546.6,,,-96.0,1071.1,,,,168.0,-212.4,,-165.4,,,False,,,,False,False,,False,,
01003,1952,3325.0,6025.4,,,,4482.0,4339.4,,3578.1,,,1373.0,4073.4,,,,2530.0,2387.4,,1626.1,,,False,,,,False,False,,False,,
01005,310,266.0,,,,,421.0,95.6,,332.1,,,-44.0,,,,,111.0,-214.4,,22.1,,,,,,,False,False,,True,,
01007,269,336.0,,,,,318.0,203.5,,231.6,,,67.0,,,,,49.0,-65.5,,-37.4,,,,,,,True,True,,True,,
01009,847,945.0,906.4,,,,875.0,1502.4,,1799.7,,,98.0,59.4,,,,28.0,655.4,,952.7,,,True,,,,True,False,,False,,
01011,152,196.0,,,,,216.0,31.5,,81.6,,,44.0,,,,,64.0,-120.5,,-70.4,,,,,,,False,False,,False,,
01013,169,231.0,,,,,436.0,86.2,,108.0,,,62.0,,,,,267.0,-82.8,,-61.0,,,,,,,False,False,,True,,
01015,1882,2863.0,3006.7,,,,1887.0,4063.9,,2234.6,,,981.0,1124.7,,,,5.0,2181.9,,352.6,,,False,,,,True,False,,True,,
01017,351,280.0,,,,,469.0,93.8,,262.5,,,-71.0,,,,,118.0,-257.2,,-88.5,,,,,,,False,False,,False,,
01019,338,210.0,,,,,305.0,125.7,,218.0,,,-128.0,,,,,-33.0,-212.3,,-120.0,,,,,,,True,False,,True,,
01021,809,721.0,,,,,856.0,839.2,,3032.6,,,-88.0,,,,,47.0,30.2,,2223.6,,,,,,,True,True,,False,,
01023,74,105.0,,,,,266.0,16.3,,74.9,,,31.0,,,,,192.0,-57.7,,0.9,,,,,,,False,False,,True,,
01025,586,336.0,,,,,655.0,254.4,,411.0,,,-250.0,,,,,69.0,-331.6,,-175.0,,,,,,,True,False,,True,,
01027,341,364.0,,,,,145.0,227.4,,226.5,,,23.0,,,,,-196.0,-113.6,,-114.5,,,,,,,False,False,,False,,
01029,208,119.0,,,,,119.0,23.3,,250.8,,,-89.0,,,,,-89.0,-184.7,,42.8,,,,,,,False,False,,True,,
01031,584,539.0,529.6,,,,1017.0,295.5,,693.1,,,-45.0,-54.4,,,,433.0,-288.5,,109.1,,,False,,,,False,False,,False,,
01033,543,1288.0,2077.3,,,,1032.0,1193.5,,1660.6,,,745.0,1534.3,,,,489.0,650.5,,1117.6,,,False,,,,True,True,,False,,
01035,167,238.0,,,,,319.0,112.2,99.3,110.9,,,71.0,,,,,152.0,-54.8,-67.7,-56.1,,,,,,,False,True,True,True,,
01037,80,56.0,,,,,73.0,4.7,,66.3,,,-24.0,,,,,-7.0,-75.3,,-13.7,,,,,,,True,False,,True,,
01039,663,413.0,,,,,970.0,408.7,278.9,195.8,,,-250.0,,,,,307.0,-254.3,-384.1,-467.2,,,,,,,False,False,False,False,,
01041,247,392.0,,,,,239.0,296.0,77.9,205.4,,,145.0,,,,,-8.0,49.0,-169.1,-41.6,,,,,,,True,True,False,True,,
