,actual_cases,COVIDhub-baseline,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Geneva-DetGrowth,IBF-TimeSeries,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,OliverWyman-Navigator,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,Yu_Group-CLEP,error-COVIDhub-baseline,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Geneva-DetGrowth,error-IBF-TimeSeries,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-OliverWyman-Navigator,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,error-Yu_Group-CLEP,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Geneva-DetGrowth,beat_baseline-IBF-TimeSeries,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-OliverWyman-Navigator,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-Yu_Group-CLEP
01001,241,61.0,64.2,,53.0,29.0,,,,,,,,42.0,,82.9,32.8,,48.9,56.1,,62.0,76.0,,49.6,,59.3,,,,,28.1,129.8,-180.0,-176.8,,-188.0,-212.0,,,,,,,,-199.0,,-158.1,-208.2,,-192.1,-184.9,,-179.0,-165.0,,-191.3,,-181.7,,,,,-212.9,-111.2,True,,False,False,,,,,,,,False,,True,False,,False,False,,True,True,,False,,False,,,,,False,True
01003,295,210.0,223.4,,204.0,410.0,,,,,,,,133.0,,242.6,244.9,,195.9,194.7,,179.0,324.0,,203.8,,227.2,164.0,,,,136.3,427.1,-85.0,-71.6,,-91.0,115.0,,,,,,,,-162.0,,-52.4,-50.1,,-99.1,-100.3,,-116.0,29.0,,-91.2,,-67.8,-131.0,,,,-158.7,132.1,True,,False,False,,,,,,,,False,,True,True,,False,False,,False,True,,False,,True,False,,,,False,False
01005,210,4.0,3.2,,4.0,0.0,,,,,,,,25.0,,20.0,15.3,,2.4,5.4,,,11.0,,1.0,,,,,,,4.0,51.2,-206.0,-206.8,,-206.0,-210.0,,,,,,,,-185.0,,-190.0,-194.7,,-207.6,-204.6,,,-199.0,,-209.0,,,,,,,-206.0,-158.8,False,,False,False,,,,,,,,True,,True,True,,False,True,,,True,,False,,,,,,,True,True
01007,53,26.0,24.6,,19.0,7.0,,,,,,,,21.0,,54.3,23.5,,9.6,18.5,,,40.0,,14.2,,,,,,,16.9,60.7,-27.0,-28.4,,-34.0,-46.0,,,,,,,,-32.0,,1.3,-29.5,,-43.4,-34.5,,,-13.0,,-38.8,,,,,,,-36.1,7.7,False,,False,False,,,,,,,,False,,True,False,,False,False,,,True,,False,,,,,,,False,True
01009,428,52.0,52.6,,51.0,68.0,,,,,,,,41.0,,87.4,76.9,,41.1,48.6,,46.0,68.0,,31.8,,49.6,,,,,28.2,158.5,-376.0,-375.4,,-377.0,-360.0,,,,,,,,-387.0,,-340.6,-351.1,,-386.9,-379.4,,-382.0,-360.0,,-396.2,,-378.4,,,,,-399.8,-269.5,True,,False,True,,,,,,,,False,,True,True,,False,False,,False,True,,False,,False,,,,,False,True
01011,33,8.0,8.0,,9.0,,,,,,,,,27.0,,12.4,5.8,,9.5,13.5,,,14.0,,4.7,,,,,,,4.9,31.7,-25.0,-25.0,,-24.0,,,,,,,,,-6.0,,-20.6,-27.2,,-23.5,-19.5,,,-19.0,,-28.3,,,,,,,-28.1,-1.3,True,,True,,,,,,,,,True,,True,False,,True,True,,,True,,False,,,,,,,False,True
01013,43,12.0,13.9,,12.0,19.0,,,,,,,,17.0,,40.4,7.9,,2.4,9.4,,,6.0,,10.0,,,,,,,11.8,15.9,-31.0,-29.1,,-31.0,-24.0,,,,,,,,-26.0,,-2.6,-35.1,,-40.6,-33.6,,,-37.0,,-33.0,,,,,,,-31.2,-27.1,True,,False,True,,,,,,,,True,,True,False,,False,False,,,False,,False,,,,,,,False,True
01015,592,181.0,184.6,,183.0,314.0,,,,,,,,99.0,,232.0,210.9,,196.7,213.7,,241.0,40.0,,49.2,,156.9,,,,,125.9,347.9,-411.0,-407.4,,-409.0,-278.0,,,,,,,,-493.0,,-360.0,-381.1,,-395.3,-378.3,,-351.0,-552.0,,-542.8,,-435.1,,,,,-466.1,-244.1,True,,True,True,,,,,,,,False,,True,True,,True,True,,True,False,,False,,False,,,,,False,True
01017,261,10.0,11.4,,10.0,6.0,,,,,,,,21.0,,27.4,24.1,,1.1,4.6,,,40.0,,4.0,,,,,,,3.3,70.0,-251.0,-249.6,,-251.0,-255.0,,,,,,,,-240.0,,-233.6,-236.9,,-259.9,-256.4,,,-221.0,,-257.0,,,,,,,-257.7,-191.0,True,,False,False,,,,,,,,True,,True,True,,False,False,,,True,,False,,,,,,,False,True
01019,163,28.0,27.8,,28.0,13.0,,,,,,,,16.0,,40.0,28.5,,41.3,45.1,,56.0,13.0,,8.3,,,,,,,6.9,89.5,-135.0,-135.2,,-135.0,-150.0,,,,,,,,-147.0,,-123.0,-134.5,,-121.7,-117.9,,-107.0,-150.0,,-154.7,,,,,,,-156.1,-73.5,False,,False,False,,,,,,,,False,,True,True,,True,True,,True,False,,False,,,,,,,False,True
