,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Alabama,66034,103168.0,,139020.3,127008.5,99463.0,104129.1,42696.4,57221.0,37134.0,,72986.3,60974.5,33429.0,38095.1,-23337.6,-8813.0,,False,False,True,False,True,True
Alaska,4772,4344.0,,6414.3,29.3,,6524.7,16933.4,10125.0,-428.0,,1642.3,-4742.7,,1752.7,12161.4,5353.0,,False,False,,False,False,False
Arizona,53510,150208.0,,176898.7,122695.3,102368.0,95524.4,67072.8,54520.0,96698.0,,123388.7,69185.3,48858.0,42014.4,13562.8,1010.0,,False,True,True,True,True,True
Arkansas,37579,43584.0,,50539.5,31937.8,52700.0,27537.3,33573.4,30712.0,6005.0,,12960.5,-5641.2,15121.0,-10041.7,-4005.6,-6867.0,,False,True,False,False,True,False
California,336861,525656.0,,702085.6,774793.6,488964.0,508839.0,257423.3,321177.0,188795.0,,365224.6,437932.6,152103.0,171978.0,-79437.7,-15684.0,,False,False,True,True,True,True
Colorado,20565,32008.0,,45360.3,65800.3,17990.0,98877.0,78924.9,29815.0,11443.0,,24795.3,45235.3,-2575.0,78312.0,58359.9,9250.0,,False,False,True,False,False,True
Connecticut,6763,7064.0,,3346.8,19423.9,2293.0,12104.6,9010.3,11679.0,301.0,,-3416.2,12660.9,-4470.0,5341.6,2247.3,4916.0,,False,False,False,False,False,False
Delaware,5290,5968.0,,7769.3,2273.3,2287.0,6924.6,5768.5,4117.0,678.0,,2479.3,-3016.7,-3003.0,1634.6,478.5,-1173.0,,False,False,False,False,True,False
District of Columbia,3185,4184.0,,3625.2,7676.6,2428.0,7683.1,5926.3,4862.0,999.0,,440.2,4491.6,-757.0,4498.1,2741.3,1677.0,,True,False,True,False,False,False
Florida,266722,615536.0,,880096.1,679496.2,493269.0,372317.1,342810.2,188140.0,348814.0,,613374.1,412774.2,226547.0,105595.1,76088.2,-78582.0,,False,False,True,True,True,True
Georgia,139833,202464.0,,276754.3,315502.8,144929.0,203190.3,114456.5,83075.0,62631.0,,136921.3,175669.8,5096.0,63357.3,-25376.5,-56758.0,,False,False,True,False,True,True
Hawaii,9706,2128.0,,2833.3,56.7,,3358.7,37794.9,6993.0,-7578.0,,-6872.7,-9649.3,,-6347.3,28088.9,-2713.0,,True,False,,True,False,True
Idaho,19421,23696.0,,63665.7,21575.8,24870.0,17788.4,11904.8,11449.0,4275.0,,44244.7,2154.8,5449.0,-1632.6,-7516.2,-7972.0,,False,True,False,True,False,False
Illinois,103919,74696.0,,98606.0,64075.8,61849.0,104217.6,145763.0,90932.0,-29223.0,,-5313.0,-39843.2,-42070.0,298.6,41844.0,-12987.0,,True,False,False,True,False,True
