,actual_cases,COVIDhub-baseline,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,IowaStateLW-STEM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,Yu_Group-CLEP,error-COVIDhub-baseline,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,error-Yu_Group-CLEP,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-Yu_Group-CLEP
01001,373,135.0,150.0,,136.0,63.0,,,,,241.0,205.4,101.9,,166.6,233.2,,334.0,,31.8,73.3,,,,,222.8,503.2,-238.0,-223.0,,-237.0,-310.0,,,,,-132.0,-167.6,-271.1,,-206.4,-139.8,,-39.0,,-341.2,-299.7,,,,,-150.2,130.2,True,,True,False,,,,,True,True,False,,True,True,,True,,False,False,,,,,True,True
01003,740,810.0,811.1,,891.0,1385.0,,,,,711.0,897.4,925.3,,1160.2,989.6,,1295.0,,96.2,1154.6,1085.0,,,,1287.1,3214.0,70.0,71.1,,151.0,645.0,,,,,-29.0,157.4,185.3,,420.2,249.6,,555.0,,-643.9,414.6,345.0,,,,547.1,2474.0,False,,False,False,,,,,True,False,False,,False,False,,False,,False,False,False,,,,False,False
01005,221,0.0,0.0,,35.0,36.0,,,,,162.0,53.7,61.1,,9.9,55.7,,147.0,,31.5,22.4,,,,,43.3,265.6,-221.0,-221.0,,-186.0,-185.0,,,,,-59.0,-167.3,-159.9,,-211.1,-165.3,,-74.0,,-189.5,-198.6,,,,,-177.7,44.6,False,,True,True,,,,,True,True,True,,True,True,,True,,True,True,,,,,True,True
01007,106,60.0,54.2,,60.0,30.0,,,,,133.0,161.2,70.8,,45.1,75.3,,,,34.7,88.3,,,,,108.0,512.7,-46.0,-51.8,,-46.0,-76.0,,,,,27.0,55.2,-35.2,,-60.9,-30.7,,,,-71.3,-17.7,,,,,2.0,406.7,False,,False,False,,,,,True,False,True,,False,True,,,,False,True,,,,,True,False
01009,547,219.0,215.3,,218.0,261.0,,,,,217.0,310.5,289.3,,145.5,229.0,,309.0,,14.9,215.2,,,,,339.0,1682.9,-328.0,-331.7,,-329.0,-286.0,,,,,-330.0,-236.5,-257.7,,-401.5,-318.0,,-238.0,,-532.1,-331.8,,,,,-208.0,1135.9,False,,False,True,,,,,False,True,True,,False,True,,True,,False,False,,,,,True,False
01011,51,24.0,18.9,,22.0,10.0,,,,,114.0,33.9,21.2,,7.3,28.3,,,,29.3,20.7,,,,,37.6,219.1,-27.0,-32.1,,-29.0,-41.0,,,,,63.0,-17.1,-29.8,,-43.7,-22.7,,,,-21.7,-30.3,,,,,-13.4,168.1,False,,False,False,,,,,False,True,False,,False,True,,,,True,False,,,,,True,False
01013,82,75.0,80.6,,60.0,49.0,,,,,117.0,67.9,26.1,,40.5,77.3,,221.0,,43.9,45.0,,,,,94.0,160.5,-7.0,-1.4,,-22.0,-33.0,,,,,35.0,-14.1,-55.9,,-41.5,-4.7,,139.0,,-38.1,-37.0,,,,,12.0,78.5,True,,False,False,,,,,False,False,False,,False,True,,False,,False,False,,,,,False,False
01015,1004,546.0,481.7,,529.0,737.0,,,,,446.0,551.2,713.7,,520.0,539.4,,732.0,,261.1,487.1,,,,,797.9,1371.2,-458.0,-522.3,,-475.0,-267.0,,,,,-558.0,-452.8,-290.3,,-484.0,-464.6,,-272.0,,-742.9,-516.9,,,,,-206.1,367.2,False,,False,True,,,,,False,True,True,,False,False,,True,,False,False,,,,,True,True
01017,281,0.0,1.3,,16.0,0.0,,,,,122.0,69.8,74.6,,3.7,29.1,,205.0,,11.6,20.9,,,,,19.4,287.6,-281.0,-279.7,,-265.0,-281.0,,,,,-159.0,-211.2,-206.4,,-277.3,-251.9,,-76.0,,-269.4,-260.1,,,,,-261.6,6.6,True,,True,False,,,,,True,True,True,,True,True,,True,,True,True,,,,,True,True
01019,214,33.0,25.9,,37.0,31.0,,,,,81.0,143.8,104.9,,12.3,55.3,,87.0,,33.7,36.1,,,,,69.3,428.6,-181.0,-188.1,,-177.0,-183.0,,,,,-133.0,-70.2,-109.1,,-201.7,-158.7,,-127.0,,-180.3,-177.9,,,,,-144.7,214.6,False,,True,False,,,,,True,True,True,,False,True,,True,,True,True,,,,,True,False
01021,446,339.0,349.8,,325.0,542.0,,,,,228.0,310.2,187.8,,468.8,438.5,,352.0,,149.5,281.5,,,,,409.0,1260.1,-107.0,-96.2,,-121.0,96.0,,,,,-218.0,-135.8,-258.2,,22.8,-7.5,,-94.0,,-296.5,-164.5,,,,,-37.0,814.1,True,,False,True,,,,,False,False,False,,True,True,,True,,False,False,,,,,True,False
01023,28,36.0,35.1,,30.0,26.0,,,,,60.0,55.3,28.0,,0.9,19.4,,77.0,,1.7,39.4,,,,,50.1,28.0,8.0,7.1,,2.0,-2.0,,,,,32.0,27.3,-0.0,,-27.1,-8.6,,49.0,,-26.3,11.4,,,,,22.1,0.0,True,,True,True,,,,,False,False,True,,False,False,,False,,False,False,,,,,False,True
01025,144,96.0,95.4,,104.0,159.0,,,,,178.0,103.2,106.0,,54.3,84.3,,,,121.9,132.6,,,,,169.4,320.0,-48.0,-48.6,,-40.0,15.0,,,,,34.0,-40.8,-38.0,,-89.7,-59.7,,,,-22.1,-11.4,,,,,25.4,176.0,False,,True,True,,,,,True,True,True,,False,False,,,,True,True,,,,,True,False
01027,194,78.0,69.6,,65.0,42.0,,,,,58.0,76.8,47.2,,51.3,84.6,,111.0,,11.6,68.4,,,,,109.4,115.5,-116.0,-124.4,,-129.0,-152.0,,,,,-136.0,-117.2,-146.8,,-142.7,-109.4,,-83.0,,-182.4,-125.6,,,,,-84.6,-78.5,False,,False,False,,,,,False,False,False,,False,True,,True,,False,False,,,,,True,True
01029,120,72.0,56.1,,51.0,98.0,,,,,45.0,146.0,33.7,,16.6,45.1,,70.0,,42.2,64.2,,,,,88.1,298.9,-48.0,-63.9,,-69.0,-22.0,,,,,-75.0,26.0,-86.3,,-103.4,-74.9,,-50.0,,-77.8,-55.8,,,,,-31.9,178.9,False,,False,True,,,,,False,True,False,,False,False,,False,,False,False,,,,,True,False
01031,331,147.0,174.8,,145.0,185.0,,,,,293.0,205.8,194.5,,80.3,137.7,,275.0,,16.0,138.6,,,,,228.5,379.9,-184.0,-156.2,,-186.0,-146.0,,,,,-38.0,-125.2,-136.5,,-250.7,-193.3,,-56.0,,-315.0,-192.4,,,,,-102.5,48.9,True,,False,True,,,,,True,True,True,,False,False,,True,,False,False,,,,,True,True
01033,175,243.0,250.6,,227.0,227.0,,,,,266.0,239.3,171.2,,169.5,213.1,,419.0,,106.0,231.9,,,,,429.7,472.0,68.0,75.6,,52.0,52.0,,,,,91.0,64.3,-3.8,,-5.5,38.1,,244.0,,-69.0,56.9,,,,,254.7,297.0,False,,True,True,,,,,False,True,True,,True,True,,False,,False,True,,,,,False,False
01035,95,42.0,45.2,,31.0,21.0,,,,,82.0,47.0,40.5,,5.8,32.4,0.0,112.0,,23.9,32.6,,,,,63.0,82.0,-53.0,-49.8,,-64.0,-74.0,,,,,-13.0,-48.0,-54.5,,-89.2,-62.6,-95.0,17.0,,-71.1,-62.4,,,,,-32.0,-13.0,True,,False,False,,,,,True,True,False,,False,False,False,True,,False,False,,,,,True,True
01037,56,0.0,0.0,,6.0,0.0,,,,,37.0,32.0,20.0,,2.3,6.7,15.3,26.0,,3.7,12.3,,,,,7.9,95.3,-56.0,-56.0,,-50.0,-56.0,,,,,-19.0,-24.0,-36.0,,-53.7,-49.3,-40.7,-30.0,,-52.3,-43.7,,,,,-48.1,39.3,False,,True,False,,,,,True,True,True,,True,True,True,True,,True,True,,,,,True,True
01039,512,0.0,0.0,,52.0,46.0,,,,,229.0,85.3,139.0,,19.5,62.1,51.3,189.0,,66.5,17.0,,,,,57.1,594.8,-512.0,-512.0,,-460.0,-466.0,,,,,-283.0,-426.7,-373.0,,-492.5,-449.9,-460.7,-323.0,,-445.5,-495.0,,,,,-454.9,82.8,False,,True,True,,,,,True,True,True,,True,True,True,True,,True,True,,,,,True,True
01041,136,66.0,66.4,,41.0,22.0,,,,,88.0,80.8,55.9,,33.2,36.7,0.0,117.0,,2.6,121.3,,,,,93.0,375.5,-70.0,-69.6,,-95.0,-114.0,,,,,-48.0,-55.2,-80.2,,-102.8,-99.3,-136.0,-19.0,,-133.4,-14.7,,,,,-43.0,239.5,True,,False,False,,,,,True,True,False,,False,False,False,True,,False,True,,,,,True,False
01043,421,189.0,139.8,,192.0,217.0,,,,,372.0,291.8,320.6,,84.0,193.6,113.3,389.0,,15.6,196.0,,,,,302.6,865.3,-232.0,-281.2,,-229.0,-204.0,,,,,-49.0,-129.2,-100.4,,-337.0,-227.4,-307.7,-32.0,,-405.4,-225.0,,,,,-118.4,444.3,False,,True,True,,,,,True,True,True,,False,True,False,True,,False,True,,,,,True,False
01045,331,144.0,180.4,,144.0,333.0,,,,,254.0,229.1,180.6,,90.0,147.5,100.7,275.0,,116.9,91.9,,,,,245.1,510.6,-187.0,-150.6,,-187.0,2.0,,,,,-77.0,-101.9,-150.4,,-241.0,-183.5,-230.3,-56.0,,-214.1,-239.1,,,,,-85.9,179.6,True,,False,True,,,,,True,True,True,,False,True,False,True,,False,False,,,,,True,True
01047,327,30.0,28.3,,54.0,57.0,,,,,251.0,87.5,87.5,,33.5,109.3,1.7,,,56.9,45.1,,,,,83.3,342.2,-297.0,-298.7,,-273.0,-270.0,,,,,-76.0,-239.5,-239.5,,-293.5,-217.7,-325.3,,,-270.1,-281.9,,,,,-243.7,15.2,False,,True,True,,,,,True,True,True,,True,True,False,,,True,True,,,,,True,True
01049,302,204.0,194.2,,176.0,149.0,,,,,323.0,280.7,211.9,,119.7,175.0,97.2,,,103.5,287.5,,,,,384.4,702.8,-98.0,-107.8,,-126.0,-153.0,,,,,21.0,-21.3,-90.1,,-182.3,-127.0,-204.8,,,-198.6,-14.5,,,,,82.4,400.8,False,,False,False,,,,,True,True,True,,False,False,False,,,False,True,,,,,True,False
01051,529,249.0,255.6,,249.0,264.0,,,,,300.0,315.2,172.8,,175.3,281.3,111.6,532.0,,92.2,208.9,,,,,442.5,768.5,-280.0,-273.4,,-280.0,-265.0,,,,,-229.0,-213.8,-356.2,,-353.7,-247.7,-417.4,3.0,,-436.8,-320.1,,,,,-86.5,239.5,True,,False,True,,,,,True,True,False,,False,True,False,True,,False,False,,,,,True,True
01053,354,120.0,120.2,,95.0,45.0,,,,,279.0,169.4,148.3,,24.5,92.2,0.7,300.0,,42.4,84.0,,,,,227.3,1124.0,-234.0,-233.8,,-259.0,-309.0,,,,,-75.0,-184.6,-205.7,,-329.5,-261.8,-353.3,-54.0,,-311.6,-270.0,,,,,-126.7,770.0,True,,False,False,,,,,True,True,True,,False,False,False,True,,False,False,,,,,True,False
01055,690,495.0,450.1,,411.0,429.0,,,,,407.0,506.2,549.9,,279.1,354.9,234.0,733.0,,366.7,368.4,,,,,672.1,1696.2,-195.0,-239.9,,-279.0,-261.0,,,,,-283.0,-183.8,-140.1,,-410.9,-335.1,-456.0,43.0,,-323.3,-321.6,,,,,-17.9,1006.2,False,,False,False,,,,,False,True,True,,False,False,False,True,,False,False,,,,,True,False
