,predicted_cases,actual_cases,error,perc_error
IowaStateLW-STEM,288858.0,283825,5033.0,1.8%
JHUAPL-Bucky,262043.5,283825,-21781.5,-7.7%
OliverWyman-Navigator,253297.0,283825,-30528.0,-10.8%
JCB-PRM,253215.1,283825,-30609.9,-10.8%
USACE-ERDC_SEIR,253108.8,283825,-30716.2,-10.8%
Columbia_UNC-SurvCon,248822.0,283825,-35003.0,-12.3%
IQVIA_ACOE-STAN,248334.0,283825,-35491.0,-12.5%
Karlen-pypm,247055.2,283825,-36769.8,-13.0%
LNQ-ens1,245593.8,283825,-38231.2,-13.5%
CU-select,245367.0,283825,-38458.0,-13.5%
DDS-NBDS,241423.6,283825,-42401.4,-14.9%
COVIDhub-baseline,240244.0,283825,-43581.0,-15.4%
COVIDhub-ensemble,240244.0,283825,-43581.0,-15.4%
UMich-RidgeTfReg,238645.3,283825,-45179.7,-15.9%
CEID-Walk,238612.5,283825,-45212.5,-15.9%
USC-SI_kJalpha,234281.0,283825,-49544.0,-17.5%
Covid19Sim-Simulator,231850.1,283825,-51974.9,-18.3%
LANL-GrowthRate,229573.1,283825,-54251.9,-19.1%
QJHong-Encounter,228486.6,283825,-55338.4,-19.5%
UCLA-SuEIR,215591.5,283825,-68233.5,-24.0%
JHU_IDD-CovidSP,213602.2,283825,-70222.8,-24.7%
IBF-TimeSeries,212935.0,283825,-70890.0,-25.0%
Geneva-DetGrowth,204616.0,283825,-79209.0,-27.9%
TTU-squider,376246.0,283825,92421.0,32.6%
CovidAnalytics-DELPHI,188151.0,283825,-95674.0,-33.7%
RobertWalraven-ESG,168405.8,283825,-115419.2,-40.7%
