,actual_cases,COVIDhub-baseline,CU-select,Columbia_UNC-SurvCon,CovidAnalytics-DELPHI,IHME-CurveFit,LANL-GrowthRate,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CU-select,error-Columbia_UNC-SurvCon,error-CovidAnalytics-DELPHI,error-IHME-CurveFit,error-LANL-GrowthRate,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IHME-CurveFit,beat_baseline-LANL-GrowthRate,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Alabama,43724,64944.0,57609.0,,57815.0,69542.0,35463.9,41787.2,34376.5,32813.0,21220.0,13885.0,,14091.0,25818.0,-8260.1,-1936.8,-9347.5,-10911.0,True,,True,False,True,True,True,True
Alaska,3262,2862.0,1366.0,,5417.0,206.0,1566.4,3894.3,1438.8,2174.0,-400.0,-1896.0,,2155.0,-3056.0,-1695.6,632.3,-1823.2,-1088.0,False,,False,False,False,False,False,False
Arizona,27444,54630.0,25779.0,,45170.0,99055.2,22752.6,44510.1,16415.3,14247.0,27186.0,-1665.0,,17726.0,71611.2,-4691.4,17066.1,-11028.7,-13197.0,True,,True,False,True,True,True,True
Arkansas,26749,33828.0,40197.0,,37114.0,50190.4,19008.7,23501.3,22119.6,23674.0,7079.0,13448.0,,10365.0,23441.4,-7740.3,-3247.7,-4629.4,-3075.0,False,,False,False,False,True,True,True
California,224712,286650.0,284679.0,,550958.0,726564.5,123831.8,275794.8,164877.4,147863.0,61938.0,59967.0,,326246.0,501852.5,-100880.2,51082.8,-59834.6,-76849.0,True,,False,False,False,True,True,False
Colorado,14032,18342.0,16397.0,,3685.0,83713.2,10819.7,9545.6,10590.0,11632.0,4310.0,2365.0,,-10347.0,69681.2,-3212.3,-4486.4,-3442.0,-2400.0,True,,False,False,True,False,True,True
Connecticut,5219,3060.0,2336.0,,57.0,12872.3,745.4,9281.6,2320.9,1324.0,-2159.0,-2883.0,,-5162.0,7653.3,-4473.6,4062.6,-2898.1,-3895.0,False,,False,False,False,False,False,False
Delaware,3963,3750.0,2975.0,,295.0,4362.3,1993.9,5953.8,2578.6,1823.0,-213.0,-988.0,,-3668.0,399.3,-1969.1,1990.8,-1384.4,-2140.0,False,,False,False,False,False,False,False
District of Columbia,2249,2688.0,3573.0,,395.0,943.5,1700.4,4240.8,3106.8,1778.0,439.0,1324.0,,-1854.0,-1305.5,-548.6,1991.8,857.8,-471.0,False,,False,False,False,False,False,False
Florida,154656,279294.0,220272.0,,271564.0,392259.9,143895.9,183847.1,107546.7,132141.0,124638.0,65616.0,,116908.0,237603.9,-10760.1,29191.1,-47109.3,-22515.0,True,,True,False,True,True,True,True
Georgia,91594,140490.0,157244.0,,113049.0,455529.2,94654.7,110868.0,96865.5,72851.0,48896.0,65650.0,,21455.0,363935.2,3060.7,19274.0,5271.5,-18743.0,False,,True,False,True,True,True,True
Hawaii,8139,6894.0,9777.0,,4385.0,24.3,8372.4,6108.0,28002.3,24542.0,-1245.0,1638.0,,-3754.0,-8114.7,233.4,-2031.0,19863.3,16403.0,False,,False,False,True,False,False,False
Idaho,12750,20322.0,31314.0,,14927.0,29657.7,11161.2,14448.4,12939.2,16949.0,7572.0,18564.0,,2177.0,16907.7,-1588.8,1698.4,189.2,4199.0,False,,True,False,True,True,True,True
Illinois,81043,73464.0,112674.0,,2845.0,79369.4,42968.0,91994.2,90563.8,80612.0,-7579.0,31631.0,,-78198.0,-1673.6,-38075.0,10951.2,9520.8,-431.0,False,,False,True,False,False,False,True
Indiana,37472,36990.0,56617.0,,8744.0,51503.5,28189.5,36355.4,68485.3,36220.0,-482.0,19145.0,,-28728.0,14031.5,-9282.5,-1116.6,31013.3,-1252.0,False,,False,False,False,False,False,False
Iowa,31269,19452.0,24096.0,,2992.0,26970.2,11831.9,14016.7,16675.7,14998.0,-11817.0,-7173.0,,-28277.0,-4298.8,-19437.1,-17252.3,-14593.3,-16271.0,True,,False,True,False,False,False,False
Kansas,21983,17226.0,22334.0,,12216.0,52170.5,8695.7,17027.7,9565.2,12846.0,-4757.0,351.0,,-9767.0,30187.5,-13287.3,-4955.3,-12417.8,-9137.0,True,,False,False,False,False,False,False
Kentucky,26528,23130.0,32103.0,,14296.0,65677.8,14030.1,19871.1,17243.3,17192.0,-3398.0,5575.0,,-12232.0,39149.8,-12497.9,-6656.9,-9284.7,-9336.0,False,,False,False,False,False,False,False
Louisiana,32576,74796.0,74106.0,,42336.0,175463.5,45140.7,56874.9,30480.9,19479.0,42220.0,41530.0,,9760.0,142887.5,12564.7,24298.9,-2095.1,-13097.0,True,,True,False,True,True,True,True
Maine,1007,546.0,695.0,,202.0,1105.3,262.0,483.5,403.1,353.0,-461.0,-312.0,,-805.0,98.3,-745.0,-523.5,-603.9,-654.0,True,,False,True,False,False,False,False
Maryland,25163,31296.0,22386.0,,8227.0,49481.7,19501.3,31248.8,21824.3,17962.0,6133.0,-2777.0,,-16936.0,24318.7,-5661.7,6085.8,-3338.7,-7201.0,True,,False,False,True,True,True,False
Massachusetts,13411,16026.0,16338.0,,75.0,43434.7,8273.7,28876.6,20226.6,15025.0,2615.0,2927.0,,-13336.0,30023.7,-5137.3,15465.6,6815.6,1614.0,False,,False,False,False,False,False,True
Michigan,31896,29154.0,28244.0,,5135.0,41873.9,16743.1,21474.0,20574.8,20271.0,-2742.0,-3652.0,,-26761.0,9977.9,-15152.9,-10422.0,-11321.2,-11625.0,False,,False,False,False,False,False,False
Minnesota,28620,29478.0,36383.0,,5500.0,21312.8,20995.6,29805.1,33244.8,23909.0,858.0,7763.0,,-23120.0,-7307.2,-7624.4,1185.1,4624.8,-4711.0,False,,False,False,False,False,False,False
