,predicted_cases,actual_cases,error,perc_error
UCLA-SuEIR,1400332.5,1410620,-10287.5,-0.7%
CovidAnalytics-DELPHI,1393568.0,1410620,-17052.0,-1.2%
Columbia_UNC-SurvCon,1344151.0,1410620,-66469.0,-4.7%
USACE-ERDC_SEIR,1314379.7,1410620,-96240.3,-6.8%
IowaStateLW-STEM,1542638.0,1410620,132018.0,9.4%
Covid19Sim-Simulator,1252828.5,1410620,-157791.5,-11.2%
Karlen-pypm,1644914.2,1410620,234294.2,16.6%
USC-SI_kJalpha,1142359.0,1410620,-268261.0,-19.0%
RobertWalraven-ESG,1022409.1,1410620,-388210.9,-27.5%
QJHong-Encounter,1799358.5,1410620,388738.5,27.6%
COVIDhub-baseline,1816180.0,1410620,405560.0,28.8%
LANL-GrowthRate,995205.8,1410620,-415414.2,-29.4%
JHU_IDD-CovidSP,1868677.4,1410620,458057.4,32.5%
CU-select,2233769.0,1410620,823149.0,58.4%
