,actual_cases,COVIDhub-baseline,CDDEP-SEIR_MCMC,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IowaStateLW-STEM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,MITCovAlliance-SIR,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CDDEP-SEIR_MCMC,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CDDEP-SEIR_MCMC,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
01001,423,600.0,571.3,1009.0,,,,382.0,289.0,,125.8,,,303.4,459.7,,,177.0,148.3,586.0,,,,-41.0,-134.0,,-297.2,,,-119.6,36.7,,,True,False,,,,True,True,,False,,,True,True,,
01003,1106,1685.0,4976.7,1826.0,,,,2297.0,2171.2,,1238.9,,,561.9,1071.2,,,579.0,3870.7,720.0,,,,1191.0,1065.2,,132.9,,,-544.1,-34.8,,,False,False,,,,False,False,,True,,,True,True,,
01005,159,125.0,,37.0,,,,213.0,114.9,,63.3,,,48.7,157.3,,,-34.0,,-122.0,,,,54.0,-44.1,,-95.7,,,-110.3,-1.7,,,,False,,,,False,False,,False,,,False,True,,
01007,142,215.0,,209.0,,,,152.0,226.1,,80.2,,,34.7,232.2,,,73.0,,67.0,,,,10.0,84.1,,-61.8,,,-107.3,90.2,,,,True,,,,True,False,,True,,,False,False,,
01009,550,330.0,980.6,158.0,,,,373.0,571.4,,186.9,,,163.5,689.2,,,-220.0,430.6,-392.0,,,,-177.0,21.4,,-363.1,,,-386.5,139.2,,,False,False,,,,True,True,,False,,,False,True,,
01011,86,160.0,,35.0,,,,115.0,51.3,,22.7,,,109.9,85.6,,,74.0,,-51.0,,,,29.0,-34.7,,-63.3,,,23.9,-0.4,,,,True,,,,True,True,,True,,,True,True,,
01013,98,150.0,,110.0,,,,180.0,50.8,,42.8,,,112.7,141.7,,,52.0,,12.0,,,,82.0,-47.2,,-55.2,,,14.7,43.7,,,,True,,,,False,True,,False,,,True,True,,
01015,1289,710.0,2327.5,218.0,,,,861.0,1621.9,,405.2,,,185.7,741.8,,,-579.0,1038.5,-1071.0,,,,-428.0,332.9,,-883.8,,,-1103.3,-547.2,,,False,False,,,,True,True,,False,,,False,True,,
01017,194,70.0,,29.0,,,,230.0,166.3,,12.7,,,42.6,84.9,,,-124.0,,-165.0,,,,36.0,-27.7,,-181.3,,,-151.4,-109.1,,,,False,,,,True,True,,False,,,False,True,,
01019,212,145.0,,126.0,,,,166.0,219.1,,83.9,,,146.7,90.0,,,-67.0,,-86.0,,,,-46.0,7.1,,-128.1,,,-65.3,-122.0,,,,False,,,,True,True,,False,,,True,False,,
