,actual_cases,COVIDhub-baseline,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Geneva-DetGrowth,IBF-TimeSeries,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Geneva-DetGrowth,error-IBF-TimeSeries,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Geneva-DetGrowth,beat_baseline-IBF-TimeSeries,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Alabama,6412,5843.0,5540.5,5138.0,4816.0,,7400.7,4721.0,6090.5,5925.0,,6449.0,5065.0,5563.0,6288.9,4493.1,5119.4,6736.5,6480.0,6499.0,,3182.7,3922.2,5184.9,7154.6,4996.7,5460.0,-569.0,-871.5,-1274.0,-1596.0,,988.7,-1691.0,-321.5,-487.0,,37.0,-1347.0,-849.0,-123.1,-1918.9,-1292.6,324.5,68.0,87.0,,-3229.3,-2489.8,-1227.1,742.6,-1415.3,-952.0,False,False,False,,False,False,True,True,,True,False,False,True,False,False,True,True,True,,False,False,False,False,False,False
Alaska,554,530.0,532.9,530.0,556.0,,648.9,441.0,456.8,528.8,,,,636.4,599.6,702.5,397.4,538.5,473.5,564.0,,475.3,487.4,490.3,490.4,592.5,583.0,-24.0,-21.1,-24.0,2.0,,94.9,-113.0,-97.2,-25.2,,,,82.4,45.6,148.5,-156.6,-15.5,-80.5,10.0,,-78.7,-66.6,-63.7,-63.6,38.5,29.0,True,False,True,,False,False,False,False,,,,False,False,False,False,True,False,True,,False,False,False,False,False,False
Arizona,5423,2611.0,2513.1,2648.0,3072.0,,2895.3,2251.0,2505.1,2387.0,,3127.0,3670.0,3632.5,3046.7,2197.3,1207.9,2790.9,2685.5,2949.0,,1500.4,0.0,3041.6,5053.2,2723.0,2896.0,-2812.0,-2909.9,-2775.0,-2351.0,,-2527.7,-3172.0,-2917.9,-3036.0,,-2296.0,-1753.0,-1790.5,-2376.3,-3225.7,-4215.1,-2632.1,-2737.5,-2474.0,,-3922.6,-5423.0,-2381.4,-369.8,-2700.0,-2527.0,False,True,True,,True,False,False,False,,True,True,True,True,False,False,True,True,True,,False,False,True,True,True,True
Arkansas,5450,5020.0,5029.5,4850.0,5181.0,,4559.6,4858.0,3720.9,4302.8,,5419.0,4476.0,6399.7,5235.4,2551.2,3081.1,5208.5,4284.4,5731.0,,4032.1,5246.5,4842.7,4081.6,6109.2,5061.0,-430.0,-420.5,-600.0,-269.0,,-890.4,-592.0,-1729.1,-1147.2,,-31.0,-974.0,949.7,-214.6,-2898.8,-2368.9,-241.5,-1165.6,281.0,,-1417.9,-203.5,-607.3,-1368.4,659.2,-389.0,True,False,True,,False,False,False,False,,True,False,False,True,False,False,True,False,True,,False,True,False,False,False,True
California,24769,23619.0,23886.2,23684.0,21974.0,,20875.8,28325.0,25362.6,16406.9,,25832.0,33139.0,19264.7,23748.0,23373.4,25508.8,19268.2,21328.8,20496.0,,14046.1,64773.7,23771.5,29282.6,19884.9,19501.0,-1150.0,-882.8,-1085.0,-2795.0,,-3893.2,3556.0,593.6,-8362.1,,1063.0,8370.0,-5504.3,-1021.0,-1395.6,739.8,-5500.8,-3440.2,-4273.0,,-10722.9,40004.7,-997.5,4513.6,-4884.1,-5268.0,True,True,False,,False,False,True,False,,True,False,False,True,False,True,False,False,False,,False,False,True,False,False,False
Colorado,3460,1910.0,1869.9,1905.0,2588.0,,2115.8,363.0,1941.0,1887.9,,1990.0,2192.0,2066.9,1900.5,2381.6,1332.5,2243.5,2404.6,2227.0,,1804.7,3344.9,1741.5,2273.9,2574.7,2118.0,-1550.0,-1590.1,-1555.0,-872.0,,-1344.2,-3097.0,-1519.0,-1572.1,,-1470.0,-1268.0,-1393.1,-1559.5,-1078.4,-2127.5,-1216.5,-1055.4,-1233.0,,-1655.3,-115.1,-1718.5,-1186.1,-885.3,-1342.0,False,False,True,,True,False,True,False,,True,True,True,False,True,False,True,True,True,,False,True,False,True,True,True
Connecticut,1201,961.0,964.1,777.0,1153.0,,701.3,16.0,1339.0,1099.2,,685.0,1067.0,844.2,777.3,1133.4,975.2,552.3,740.0,727.0,,187.1,0.0,1108.0,1380.0,723.3,854.0,-240.0,-236.9,-424.0,-48.0,,-499.7,-1185.0,138.0,-101.8,,-516.0,-134.0,-356.8,-423.7,-67.6,-225.8,-648.7,-461.0,-474.0,,-1013.9,-1201.0,-93.0,179.0,-477.7,-347.0,True,False,True,,False,False,True,True,,False,True,False,False,True,True,False,False,False,,False,False,True,True,False,False
Delaware,723,834.0,758.8,717.0,851.0,,911.8,9.0,591.3,1012.9,,775.0,528.0,1036.8,679.5,396.4,508.1,676.9,766.4,874.0,,780.5,303.9,810.3,763.8,755.4,950.0,111.0,35.8,-6.0,128.0,,188.8,-714.0,-131.7,289.9,,52.0,-195.0,313.8,-43.5,-326.6,-214.9,-46.1,43.4,151.0,,57.5,-419.1,87.3,40.8,32.4,227.0,True,True,False,,False,False,False,False,,True,False,False,True,False,False,True,True,False,,True,False,True,True,True,False
District of Columbia,409,255.0,253.5,317.0,312.0,,344.8,37.0,395.3,311.1,,233.0,405.0,219.6,325.4,298.4,281.6,330.6,366.5,342.0,,323.0,364.7,240.8,,352.3,204.0,-154.0,-155.5,-92.0,-97.0,,-64.2,-372.0,-13.7,-97.9,,-176.0,-4.0,-189.4,-83.6,-110.6,-127.4,-78.4,-42.5,-67.0,,-86.0,-44.3,-168.2,,-56.7,-205.0,False,True,True,,True,False,True,True,,False,True,False,True,True,True,True,True,True,,True,True,False,,True,False
Florida,19662,17704.0,17384.5,16867.0,20087.0,,16223.5,11359.0,14707.7,17002.8,,18949.0,23871.0,19388.8,18107.7,14655.6,14750.8,16683.6,17050.0,17784.0,,11133.0,0.0,17210.8,22150.9,16626.6,17485.0,-1958.0,-2277.5,-2795.0,425.0,,-3438.5,-8303.0,-4954.3,-2659.2,,-713.0,4209.0,-273.2,-1554.3,-5006.4,-4911.2,-2978.4,-2612.0,-1878.0,,-8529.0,-19662.0,-2451.2,2488.9,-3035.4,-2177.0,False,False,True,,False,False,False,False,,True,False,True,True,False,False,False,False,True,,False,False,False,False,False,False
