,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,LANL-GrowthRate,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-LANL-GrowthRate,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-LANL-GrowthRate,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Alabama,53279,78533.0,,131587.1,132006.7,80120.0,64330.0,163311.4,53639.5,30699.0,25254.0,,78308.1,78727.7,26841.0,11051.0,110032.4,360.5,-22580.0,,False,False,False,True,False,True,True
Alaska,3817,5579.0,,7394.7,44.3,,5019.9,9918.0,12618.0,7643.0,1762.0,,3577.7,-3772.7,,1202.9,6101.0,8801.0,3826.0,,False,False,,True,False,False,False
Arizona,36549,118727.0,,74616.2,210264.7,103251.0,53421.5,74009.9,53231.1,41918.0,82178.0,,38067.2,173715.7,66702.0,16872.5,37460.9,16682.1,5369.0,,True,False,True,True,True,True,True
Arkansas,32387,36344.0,,38206.3,28908.4,44568.0,20203.0,29174.6,21547.8,18482.0,3957.0,,5819.3,-3478.6,12181.0,-12184.0,-3212.4,-10839.2,-13905.0,,False,True,False,False,True,False,False
California,276700,421127.0,,427032.7,462544.8,449776.0,172221.7,439695.5,193093.5,202438.0,144427.0,,150332.7,185844.8,173076.0,-104478.3,162995.5,-83606.5,-74262.0,,False,False,False,True,False,True,True
Colorado,17089,24346.0,,35590.9,48109.5,19480.0,12334.4,17927.9,14973.9,15891.0,7257.0,,18501.9,31020.5,2391.0,-4754.6,838.9,-2115.1,-1198.0,,False,False,True,True,True,True,True
Connecticut,5729,7238.0,,7038.2,21402.4,3148.0,3034.6,6879.9,9258.4,15395.0,1509.0,,1309.2,15673.4,-2581.0,-2694.4,1150.9,3529.4,9666.0,,True,False,False,False,True,False,False
Delaware,4588,4914.0,,4444.0,6648.4,3647.0,1958.7,7157.9,2832.1,4211.0,326.0,,-144.0,2060.4,-941.0,-2629.3,2569.9,-1755.9,-377.0,,True,False,False,False,False,False,False
District of Columbia,2697,2380.0,,4552.1,3674.1,3596.0,424.0,4463.6,628.6,783.0,-317.0,,1855.1,977.1,899.0,-2273.0,1766.6,-2068.4,-1914.0,,False,False,False,False,False,False,False
Florida,201205,458619.0,,487060.5,535712.7,414912.0,207839.5,268505.4,163491.2,177875.0,257414.0,,285855.5,334507.7,213707.0,6634.5,67300.4,-37713.8,-23330.0,,False,False,True,True,True,True,True
Georgia,115009,173768.0,,165003.3,493418.5,137374.0,101005.4,138633.9,107476.1,100330.0,58759.0,,49994.3,378409.5,22365.0,-14003.6,23624.9,-7532.9,-14679.0,,True,False,True,True,True,True,True
Hawaii,9288,4039.0,,4662.8,69.2,,4136.7,3890.9,28043.7,18013.0,-5249.0,,-4625.2,-9218.8,,-5151.3,-5397.1,18755.7,8725.0,,True,False,,True,False,False,False
Idaho,16137,22988.0,,30986.0,12358.6,19402.0,7385.9,15155.7,6493.8,13779.0,6851.0,,14849.0,-3778.4,3265.0,-8751.1,-981.3,-9643.2,-2358.0,,False,True,True,False,True,False,True
Illinois,93287,74424.0,,95782.8,42085.4,65053.0,43645.9,95878.3,103952.5,62509.0,-18863.0,,2495.8,-51201.6,-28234.0,-49641.1,2591.3,10665.5,-30778.0,,True,False,False,False,True,True,False
Indiana,43637,39214.0,,48500.6,58786.5,38249.0,23490.8,44136.3,35588.6,29825.0,-4423.0,,4863.6,15149.5,-5388.0,-20146.2,499.3,-8048.4,-13812.0,,False,False,False,False,True,False,False
Iowa,34511,23849.0,,25716.8,41309.0,19661.0,14612.4,18648.0,20401.0,16140.0,-10662.0,,-8794.2,6798.0,-14850.0,-19898.6,-15863.0,-14110.0,-18371.0,,True,True,False,False,False,False,False
Kansas,24894,18081.0,,28151.4,14319.6,25676.0,7818.9,13153.4,7815.9,9492.0,-6813.0,,3257.4,-10574.4,782.0,-17075.1,-11740.6,-17078.1,-15402.0,,True,False,True,False,False,False,False
Kentucky,30383,27713.0,,42528.0,21506.5,29477.0,17218.8,21028.7,22806.4,24922.0,-2670.0,,12145.0,-8876.5,-906.0,-13164.2,-9354.3,-7576.6,-5461.0,,False,False,True,False,False,False,False
Louisiana,45042,87822.0,,93538.9,151641.7,89937.0,80118.0,60724.8,36213.9,27839.0,42780.0,,48496.9,106599.7,44895.0,35076.0,15682.8,-8828.1,-17203.0,,False,False,False,True,True,True,True
Maine,1098,1029.0,,759.6,1131.4,722.0,608.1,1041.7,1542.1,1792.0,-69.0,,-338.4,33.4,-376.0,-489.9,-56.3,444.1,694.0,,False,True,False,False,True,False,False
Maryland,30379,44177.0,,58551.8,31015.1,28294.0,26269.9,89706.2,50433.3,38211.0,13798.0,,28172.8,636.1,-2085.0,-4109.1,59327.2,20054.3,7832.0,,False,True,True,True,False,False,True
Massachusetts,15473,19404.0,,22706.1,50998.8,14831.0,11068.4,35557.3,48465.6,28295.0,3931.0,,7233.1,35525.8,-642.0,-4404.6,20084.3,32992.6,12822.0,,False,False,True,False,False,False,False
Michigan,36755,39970.0,,39943.2,23709.2,43524.0,17840.1,55744.9,34064.3,41537.0,3215.0,,3188.2,-13045.8,6769.0,-18914.9,18989.9,-2690.7,4782.0,,True,False,False,False,False,True,False
Minnesota,33533,34279.0,,47096.0,20107.2,45286.0,21879.3,40476.0,36952.8,34060.0,746.0,,13563.0,-13425.8,11753.0,-11653.7,6943.0,3419.8,527.0,,False,False,False,False,False,False,True
Mississippi,33206,62300.0,,76020.7,111790.9,57370.0,26301.2,49112.5,27514.9,23288.0,29094.0,,42814.7,78584.9,24164.0,-6904.8,15906.5,-5691.1,-9918.0,,False,False,True,True,True,True,True
