,actual_cases,COVIDhub-baseline,CDDEP-SEIR_MCMC,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,MITCovAlliance-SIR,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CDDEP-SEIR_MCMC,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-MITCovAlliance-SIR,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CDDEP-SEIR_MCMC,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-MITCovAlliance-SIR,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
01001,722,720.0,745.0,,,,1170.0,,306.9,,,-2.0,23.0,,,,448.0,,-415.1,,,False,,,,False,,False,,
01003,2354,6592.0,9570.8,,,,5720.0,,4720.3,,,4238.0,7216.8,,,,3366.0,,2366.3,,,False,,,,True,,True,,
01005,268,408.0,,,,,439.0,,285.1,,,140.0,,,,,171.0,,17.1,,,,,,,False,,True,,
01007,299,416.0,,,,,330.0,,441.7,,,117.0,,,,,31.0,,142.7,,,,,,,True,,False,,
01009,910,1184.0,1411.8,,,,1023.0,,1307.1,,,274.0,501.8,,,,113.0,,397.1,,,False,,,,True,,False,,
01011,175,128.0,,,,,175.0,,62.6,,,-47.0,,,,,0.0,,-112.4,,,,,,,True,,False,,
01013,179,312.0,,,,,589.0,,184.3,,,133.0,,,,,410.0,,5.3,,,,,,,False,,True,,
01015,2203,2440.0,3381.1,,,,2408.0,,824.9,,,237.0,1178.1,,,,205.0,,-1378.1,,,False,,,,True,,False,,
01017,301,296.0,,,,,530.0,,219.3,,,-5.0,,,,,229.0,,-81.7,,,,,,,False,,False,,
01019,340,272.0,,,,,274.0,,250.9,,,-68.0,,,,,-66.0,,-89.1,,,,,,,True,,False,,
