,actual_cases,COVIDhub-baseline,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,IowaStateLW-STEM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Alabama,28769,27808.0,26067.4,19943.0,26655.0,,11523.0,24534.0,21167.6,26301.0,24179.9,19299.8,15553.2,16650.2,,12085.3,33943.6,26117.8,15587.3,14674.0,-961.0,-2701.6,-8826.0,-2114.0,,-17246.0,-4235.0,-7601.4,-2468.0,-4589.1,-9469.2,-13215.8,-12118.8,,-16683.7,5174.6,-2651.2,-13181.7,-14095.0,False,False,False,,False,False,False,False,False,False,False,False,,False,False,False,False,False
Alaska,2131,2084.0,2231.3,1841.0,1874.0,,1337.2,2000.0,2894.0,,3617.5,1434.1,1564.7,1442.1,,1448.0,1929.7,,1942.6,1956.0,-47.0,100.3,-290.0,-257.0,,-793.8,-131.0,763.0,,1486.5,-696.9,-566.3,-688.9,,-683.0,-201.3,,-188.4,-175.0,False,False,False,,False,False,False,,False,False,False,False,,False,False,,False,False
Arizona,15656,20964.0,19717.0,10620.0,23478.0,,6670.6,15169.0,11632.3,19267.0,14070.6,7631.8,9557.3,11688.4,,5527.8,32602.7,35102.6,8883.0,9909.0,5308.0,4061.0,-5036.0,7822.0,,-8985.4,-487.0,-4023.7,3611.0,-1585.4,-8024.2,-6098.7,-3967.6,,-10128.2,16946.7,19446.6,-6773.0,-5747.0,True,True,False,,False,True,True,True,True,False,False,True,,False,False,False,False,False
Arkansas,18961,16828.0,17750.2,12073.0,16393.0,,11492.1,20432.0,11795.6,17997.0,13922.3,10348.5,11294.2,10812.2,,8402.8,14998.0,13939.5,11373.3,10512.0,-2133.0,-1210.8,-6888.0,-2568.0,,-7468.9,1471.0,-7165.4,-964.0,-5038.7,-8612.5,-7666.8,-8148.8,,-10558.2,-3963.0,-5021.5,-7587.7,-8449.0,True,False,False,,False,True,False,True,False,False,False,False,,False,False,False,False,False
California,118878,185764.0,176546.5,151226.0,152884.0,,145005.8,177890.0,133410.1,234746.0,176937.7,170709.9,89605.8,142336.3,,127133.6,174342.9,172557.1,89323.0,123848.0,66886.0,57668.5,32348.0,34006.0,,26127.8,59012.0,14532.1,115868.0,58059.7,51831.9,-29272.2,23458.3,,8255.6,55464.9,53679.1,-29555.0,4970.0,True,True,True,,True,True,True,False,True,True,True,True,,True,True,True,True,True
Colorado,9473,8180.0,8142.1,7117.0,8693.0,,4673.3,2094.0,10105.8,5883.0,13386.8,6067.6,5925.9,5329.5,,7509.5,4800.0,8652.3,7382.3,5286.0,-1293.0,-1330.9,-2356.0,-780.0,,-4799.7,-7379.0,632.8,-3590.0,3913.8,-3405.4,-3547.1,-4143.5,,-1963.5,-4673.0,-820.7,-2090.7,-4187.0,False,False,True,,False,False,True,False,False,False,False,False,,False,False,True,False,False
Connecticut,4008,2488.0,2326.6,1769.0,9018.0,,2109.1,186.0,2432.2,1272.0,4380.5,4275.5,891.6,1346.0,,802.8,2654.7,,1714.0,956.0,-1520.0,-1681.4,-2239.0,5010.0,,-1898.9,-3822.0,-1575.8,-2736.0,372.5,267.5,-3116.4,-2662.0,,-3205.2,-1353.3,,-2294.0,-3052.0,False,False,False,,False,False,False,False,True,True,False,False,,False,True,,False,False
Delaware,2637,1728.0,2030.0,1594.0,1300.0,,1781.3,97.0,2410.0,1997.0,2033.3,3762.9,944.8,1243.4,,1562.5,2017.7,2884.1,1459.8,1265.0,-909.0,-607.0,-1043.0,-1337.0,,-855.7,-2540.0,-227.0,-640.0,-603.7,1125.9,-1692.2,-1393.6,,-1074.5,-619.3,247.1,-1177.2,-1372.0,True,False,False,,True,False,True,True,True,False,False,False,,False,True,True,False,False
District of Columbia,1368,1500.0,1497.0,1036.0,924.0,,1232.9,255.0,1829.4,1894.0,1661.8,1362.1,623.1,793.9,,133.7,1337.5,,692.6,875.0,132.0,129.0,-332.0,-444.0,,-135.1,-1113.0,461.4,526.0,293.8,-5.9,-744.9,-574.1,,-1234.3,-30.5,,-675.4,-493.0,True,False,False,,False,False,False,False,False,True,False,False,,False,True,,False,False
Florida,83636,111840.0,113363.0,81801.0,74585.0,,46385.6,87068.0,91104.1,152369.0,95018.5,103541.1,58176.4,74959.2,,64749.9,133364.5,104977.1,56008.6,52694.0,28204.0,29727.0,-1835.0,-9051.0,,-37250.4,3432.0,7468.1,68733.0,11382.5,19905.1,-25459.6,-8676.8,,-18886.1,49728.5,21341.1,-27627.4,-30942.0,False,True,True,,False,True,True,False,True,True,True,True,,True,False,True,True,False
