,actual_cases,COVIDhub-baseline,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Geneva-DetGrowth,IowaStateLW-STEM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,OliverWyman-Navigator,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Geneva-DetGrowth,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-OliverWyman-Navigator,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Geneva-DetGrowth,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-OliverWyman-Navigator,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
01021,559,264.0,268.9,,235.0,178.0,,,,,,267.0,269.6,,202.4,254.7,127.0,212.0,,156.9,,270.9,,,,,245.0,-295.0,-290.1,,-324.0,-381.0,,,,,,-292.0,-289.4,,-356.6,-304.3,-432.0,-347.0,,-402.1,,-288.1,,,,,-314.0,True,,False,False,,,,,,True,True,,False,False,False,False,,False,,True,,,,,False
01023,41,48.0,46.7,,40.0,30.0,,,,,,77.0,41.3,,13.6,40.1,32.0,26.0,,39.0,,46.4,,,,,51.3,7.0,5.7,,-1.0,-11.0,,,,,,36.0,0.3,,-27.4,-0.9,-9.0,-15.0,,-2.0,,5.4,,,,,10.3,True,,True,False,,,,,,False,True,,False,True,False,False,,True,,True,,,,,False
01025,176,188.0,206.7,,149.0,374.0,,,,,,189.0,142.3,,97.4,132.8,105.0,8.0,,144.4,,161.3,,,,,220.7,12.0,30.7,,-27.0,198.0,,,,,,13.0,-33.7,,-78.6,-43.2,-71.0,-168.0,,-31.6,,-14.7,,,,,44.7,False,,False,False,,,,,,False,False,,False,False,False,False,,False,,False,,,,,False
01027,224,80.0,65.2,,54.0,74.0,,,,,,71.0,82.0,,8.5,43.6,33.0,86.0,,15.0,,73.1,,,,,117.2,-144.0,-158.8,,-170.0,-150.0,,,,,,-153.0,-142.0,,-215.5,-180.4,-191.0,-138.0,,-209.0,,-150.9,,,,,-106.8,False,,False,False,,,,,,False,True,,False,False,False,True,,False,,False,,,,,True
01029,144,176.0,153.6,,71.0,84.0,,,,,,61.0,54.3,,82.4,74.4,51.0,129.0,,25.6,,98.9,,,,,92.5,32.0,9.6,,-73.0,-60.0,,,,,,-83.0,-89.7,,-61.6,-69.6,-93.0,-15.0,,-118.4,,-45.1,,,,,-51.5,True,,False,False,,,,,,False,False,,False,False,False,True,,False,,False,,,,,False
01031,380,376.0,407.9,,276.0,580.0,,,,,,302.0,283.7,,143.8,248.5,135.0,155.0,,161.7,,337.1,,,,,307.6,-4.0,27.9,,-104.0,200.0,,,,,,-78.0,-96.3,,-236.2,-131.5,-245.0,-225.0,,-218.3,,-42.9,,,,,-72.4,False,,False,False,,,,,,False,False,,False,False,False,False,,False,,False,,,,,False
01033,256,288.0,312.2,,193.0,172.0,,,,,,339.0,263.7,,111.9,231.0,153.0,247.0,,135.8,,143.3,,,,,317.4,32.0,56.2,,-63.0,-84.0,,,,,,83.0,7.7,,-144.1,-25.0,-103.0,-9.0,,-120.2,,-112.7,,,,,61.4,False,,False,False,,,,,,False,True,,False,True,False,True,,False,,False,,,,,False
01035,109,72.0,77.6,,43.0,28.0,,,,,,99.0,53.6,,19.1,51.3,49.0,25.0,,10.0,,57.7,,,,,95.7,-37.0,-31.4,,-66.0,-81.0,,,,,,-10.0,-55.4,,-89.9,-57.7,-60.0,-84.0,,-99.0,,-51.3,,,,,-13.3,True,,False,False,,,,,,True,False,,False,False,False,False,,False,,False,,,,,True
01037,57,24.0,26.6,,13.0,3.0,,,,,,53.0,33.0,,2.9,15.0,,35.0,,3.1,,51.4,,,,,28.7,-33.0,-30.4,,-44.0,-54.0,,,,,,-4.0,-24.0,,-54.1,-42.0,,-22.0,,-53.9,,-5.6,,,,,-28.3,True,,False,False,,,,,,True,True,,False,False,,True,,False,,True,,,,,True
01039,530,184.0,195.1,,148.0,64.0,,,,,,236.0,231.6,,84.3,149.9,96.0,89.0,,140.9,,126.7,,,,,178.3,-346.0,-334.9,,-382.0,-466.0,,,,,,-294.0,-298.4,,-445.7,-380.1,-434.0,-441.0,,-389.1,,-403.3,,,,,-351.7,True,,False,False,,,,,,True,True,,False,False,False,False,,False,,False,,,,,False
01041,159,76.0,76.1,,61.0,36.0,,,,,,83.0,72.0,,21.6,46.6,40.0,92.0,,76.4,,110.9,,,,,70.0,-83.0,-82.9,,-98.0,-123.0,,,,,,-76.0,-87.0,,-137.4,-112.4,-119.0,-67.0,,-82.6,,-48.1,,,,,-89.0,True,,False,False,,,,,,True,False,,False,False,False,True,,True,,True,,,,,False
01043,485,412.0,327.4,,319.0,675.0,,,,,,481.0,452.1,,124.5,271.0,165.0,310.0,,120.3,,422.1,,,,,368.0,-73.0,-157.6,,-166.0,190.0,,,,,,-4.0,-32.9,,-360.5,-214.0,-320.0,-175.0,,-364.7,,-62.9,,,,,-117.0,False,,False,False,,,,,,True,True,,False,False,False,False,,False,,True,,,,,False
01045,382,332.0,408.1,,246.0,515.0,,,,,,271.0,227.7,,236.5,232.4,130.0,40.0,,128.8,,261.9,,,,,337.9,-50.0,26.1,,-136.0,133.0,,,,,,-111.0,-154.3,,-145.5,-149.6,-252.0,-342.0,,-253.2,,-120.1,,,,,-44.1,True,,False,False,,,,,,False,False,,False,False,False,False,,False,,False,,,,,True
01047,356,156.0,155.3,,118.0,76.0,,,,,,309.0,122.7,,60.8,130.5,140.0,172.0,,196.7,,102.2,,,,,183.4,-200.0,-200.7,,-238.0,-280.0,,,,,,-47.0,-233.3,,-295.2,-225.5,-216.0,-184.0,,-159.3,,-253.8,,,,,-172.6,False,,False,False,,,,,,True,False,,False,False,False,True,,True,,False,,,,,True
01049,370,332.0,313.5,,257.0,187.0,,,,,,489.0,317.3,,178.0,269.3,220.0,152.0,,146.0,,290.4,,,,,344.8,-38.0,-56.5,,-113.0,-183.0,,,,,,119.0,-52.7,,-192.0,-100.7,-150.0,-218.0,,-224.0,,-79.6,,,,,-25.2,False,,False,False,,,,,,False,False,,False,False,False,False,,False,,False,,,,,True
01051,616,436.0,451.1,,306.0,438.0,,,,,,362.0,262.5,,217.2,255.6,212.0,413.0,,101.4,,439.5,,,,,514.9,-180.0,-164.9,,-310.0,-178.0,,,,,,-254.0,-353.5,,-398.8,-360.4,-404.0,-203.0,,-514.6,,-176.5,,,,,-101.1,True,,False,True,,,,,,False,False,,False,False,False,False,,False,,True,,,,,True
01053,400,260.0,262.0,,178.0,70.0,,,,,,281.0,268.1,,89.4,149.4,132.0,263.0,,169.5,,186.0,,,,,301.8,-140.0,-138.0,,-222.0,-330.0,,,,,,-119.0,-131.9,,-310.6,-250.6,-268.0,-137.0,,-230.5,,-214.0,,,,,-98.2,True,,False,False,,,,,,True,True,,False,False,False,True,,False,,False,,,,,True
01055,855,1004.0,948.2,,732.0,2062.0,,,,,,593.0,762.9,,748.8,788.0,360.0,507.0,,706.2,,699.5,,,,,893.2,149.0,93.2,,-123.0,1207.0,,,,,,-262.0,-92.1,,-106.2,-67.0,-495.0,-348.0,,-148.8,,-155.5,,,,,38.2,True,,True,False,,,,,,False,True,,True,True,False,False,,True,,False,,,,,True
01057,153,112.0,118.5,,100.0,96.0,,,,,,108.0,112.7,,81.8,100.7,38.0,83.0,,100.7,,109.9,,,,,111.7,-41.0,-34.5,,-53.0,-57.0,,,,,,-45.0,-40.3,,-71.2,-52.3,-115.0,-70.0,,-52.3,,-43.1,,,,,-41.3,True,,False,False,,,,,,False,True,,False,False,False,False,,False,,False,,,,,False
01059,318,392.0,390.2,,265.0,344.0,,,,,,275.0,99.2,,158.1,241.9,167.0,420.0,,254.2,,305.6,,,,,402.0,74.0,72.2,,-53.0,26.0,,,,,,-43.0,-218.8,,-159.9,-76.1,-151.0,102.0,,-63.8,,-12.4,,,,,84.0,True,,True,True,,,,,,True,False,,False,False,False,False,,True,,True,,,,,False
01061,223,268.0,301.7,,188.0,389.0,,,,,,192.0,197.9,,142.8,187.6,81.0,126.0,,110.2,,213.2,,,,,167.5,45.0,78.7,,-35.0,166.0,,,,,,-31.0,-25.1,,-80.2,-35.4,-142.0,-97.0,,-112.8,,-9.8,,,,,-55.5,False,,True,False,,,,,,True,True,,False,True,False,False,,False,,True,,,,,False
01063,34,44.0,47.7,,25.0,28.0,,,,,,58.0,25.3,,10.6,24.6,30.0,45.0,,10.2,,31.1,,,,,48.0,10.0,13.7,,-9.0,-6.0,,,,,,24.0,-8.7,,-23.4,-9.4,-4.0,11.0,,-23.8,,-2.9,,,,,14.0,False,,True,True,,,,,,False,True,,False,True,True,False,,False,,True,,,,,False
01065,106,68.0,70.9,,52.0,45.0,,,,,,126.0,45.4,,18.4,51.7,52.0,90.0,,46.2,,91.1,,,,,88.5,-38.0,-35.1,,-54.0,-61.0,,,,,,20.0,-60.6,,-87.6,-54.3,-54.0,-16.0,,-59.8,,-14.9,,,,,-17.5,True,,False,False,,,,,,True,False,,False,False,False,True,,False,,True,,,,,True
01067,169,108.0,103.8,,79.0,60.0,,,,,,84.0,60.4,,56.1,88.3,47.0,0.0,,67.4,,97.3,,,,,89.5,-61.0,-65.2,,-90.0,-109.0,,,,,,-85.0,-108.6,,-112.9,-80.7,-122.0,-169.0,,-101.6,,-71.7,,,,,-79.5,False,,False,False,,,,,,False,False,,False,False,False,False,,False,,False,,,,,False
01069,974,860.0,832.2,,661.0,3216.0,,,,,,536.0,589.8,,772.6,586.5,296.0,309.0,,343.3,,747.9,,,,,846.8,-114.0,-141.8,,-313.0,2242.0,,,,,,-438.0,-384.2,,-201.4,-387.5,-678.0,-665.0,,-630.7,,-226.1,,,,,-127.2,False,,False,False,,,,,,False,False,,False,False,False,False,,False,,False,,,,,False
01071,288,352.0,385.2,,265.0,188.0,,,,,,268.0,419.6,,187.3,254.1,158.0,156.0,,155.7,,317.0,,,,,348.6,64.0,97.2,,-23.0,-100.0,,,,,,-20.0,131.6,,-100.7,-33.9,-130.0,-132.0,,-132.3,,29.0,,,,,60.6,False,,True,False,,,,,,True,False,,False,True,False,False,,False,,True,,,,,True
01073,4332,2696.0,2448.2,2990.6,1977.0,1678.0,,,,,,2995.0,2925.8,,1777.9,1614.4,1559.0,1966.0,,720.9,,2163.2,990.0,,,,3677.2,-1636.0,-1883.8,-1341.4,-2355.0,-2654.0,,,,,,-1337.0,-1406.2,,-2554.1,-2717.6,-2773.0,-2366.0,,-3611.1,,-2168.8,-3342.0,,,,-654.8,False,True,False,False,,,,,,True,True,,False,False,False,False,,False,,False,False,,,,True
01075,87,80.0,74.7,,55.0,54.0,,,,,,83.0,71.1,,25.2,56.9,31.0,46.0,,23.5,,62.0,,,,,90.0,-7.0,-12.3,,-32.0,-33.0,,,,,,-4.0,-15.9,,-61.8,-30.1,-56.0,-41.0,,-63.5,,-25.0,,,,,3.0,False,,False,False,,,,,,True,False,,False,False,False,False,,False,,False,,,,,True
01077,321,356.0,335.0,,312.0,282.0,,,,,,485.0,460.1,,189.6,312.1,171.0,83.0,,213.5,,362.4,,,,,332.6,35.0,14.0,,-9.0,-39.0,,,,,,164.0,139.1,,-131.4,-8.9,-150.0,-238.0,,-107.5,,41.4,,,,,11.6,True,,True,False,,,,,,False,False,,False,True,False,False,,False,,False,,,,,True
01079,186,116.0,113.9,,106.0,39.0,,,,,,242.0,160.9,,83.0,112.1,57.0,62.0,,82.5,,124.7,,,,,99.1,-70.0,-72.1,,-80.0,-147.0,,,,,,56.0,-25.1,,-103.0,-73.9,-129.0,-124.0,,-103.5,,-61.3,,,,,-86.9,False,,False,False,,,,,,True,True,,False,False,False,False,,False,,True,,,,,False
01081,2813,624.0,606.8,,557.0,842.0,,,,,,652.0,775.6,,215.9,384.5,341.0,469.0,,252.2,,557.2,215.0,,,,709.4,-2189.0,-2206.2,,-2256.0,-1971.0,,,,,,-2161.0,-2037.4,,-2597.1,-2428.5,-2472.0,-2344.0,,-2560.8,,-2255.8,-2598.0,,,,-2103.6,False,,False,True,,,,,,True,True,,False,False,False,False,,False,,False,False,,,,True
01083,452,360.0,346.2,,246.0,243.0,,,,,,483.0,333.3,,206.3,249.7,177.0,232.0,,214.6,,303.4,,,,,440.2,-92.0,-105.8,,-206.0,-209.0,,,,,,31.0,-118.7,,-245.7,-202.3,-275.0,-220.0,,-237.4,,-148.6,,,,,-11.8,False,,False,False,,,,,,True,False,,False,False,False,False,,False,,False,,,,,True
01085,69,32.0,16.0,,23.0,2.0,,,,,,66.0,17.4,,2.5,31.2,51.0,14.0,,133.1,,27.3,,,,,51.4,-37.0,-53.0,,-46.0,-67.0,,,,,,-3.0,-51.6,,-66.5,-37.8,-18.0,-55.0,,64.1,,-41.7,,,,,-17.6,False,,False,False,,,,,,True,False,,False,False,True,False,,False,,False,,,,,True
01087,105,112.0,98.7,,77.0,77.0,,,,,,86.0,87.0,,19.4,78.3,50.0,52.0,,35.9,,101.1,,,,,91.6,7.0,-6.3,,-28.0,-28.0,,,,,,-19.0,-18.0,,-85.6,-26.7,-55.0,-53.0,,-69.1,,-3.9,,,,,-13.4,True,,False,False,,,,,,False,False,,False,False,False,False,,False,,True,,,,,False
01089,1629,868.0,868.8,786.6,703.0,563.0,,,,,,1543.0,1802.8,,569.5,701.8,596.0,535.0,,393.5,,729.9,287.0,,,,1130.7,-761.0,-760.2,-842.4,-926.0,-1066.0,,,,,,-86.0,173.8,,-1059.5,-927.2,-1033.0,-1094.0,,-1235.5,,-899.1,-1342.0,,,,-498.3,True,False,False,False,,,,,,True,True,,False,False,False,False,,False,,False,False,,,,True
